GVOG	num_proteins_in_GVOG	Mean_Length	consensus_NCVOG	NCVOG_descs	consensus_NOGs	nog_descs	nog_categories	consensus_pfams	pfam_descs
GVOG13519	9	168	NCVOG0317	Thioredoxin	KOG0190 | KOG4277 | KOG0191 | arCOG01972 | KOG0910	intramolecular oxidoreductase activity, transposing S-S bonds | peptidyl-cysteine oxidation | cell redox homeostasis | Thioredoxin | glycerol ether metabolic process	CO | O	PF00085	Thioredoxin; Thioredoxin; Thioredoxin
GVOG04180	9	156	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00080	9	181	no_annot	no_annotation	KOG1725 | KOG1726	endoplasmic reticulum tubular network membrane organization | mitotic nuclear envelope reassembly	U	PF03134	; TB2_DP1_HVA22; TB2/DP1, HVA22 family
GVOG05189	9	228	no_annot	no_annotation	KOG4561 | KOG4474	glutamate reuptake | TLC domain	C | M	PF03798	; TRAM_LAG1_CLN8; TLC domain
GVOG05448	9	82	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00603	9	339	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06835	9	277	NCVOG0651	translation initiation factor 4E	KOG1669 | KOG1670	translation initiation factor activity | translation initiation factor activity	J	PF01652	eIF4e; IF4E; Eukaryotic initiation factor 4E
GVOG02837	9	109	no_annot	no_annotation	3461Y	Protein of unknown function (DUF3574)	S	PF12098	; DUF3574; Protein of unknown function (DUF3574)
GVOG11128	9	138	NCVOG0155 | NCVOG0156 | NCVOG0153 | NCVOG4443 | NCVOG0152	uncharacterized protein | uncharacterized protein | uncharacterized protein | uncharacterized protein | uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05934	9	482	NCVOG2991	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06421	9	124	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01019	9	197	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01541	9	326	no_annot	no_annotation	32C04 | 2RXA6 | 2ZT4M | 2QTGS	Glycosyl hydrolase family 45 | Glycosyl hydrolase family 45 | Glycosyl hydrolase family 45 | Glycosyl hydrolase family 45	S	PF02015	DPBB; Glyco_hydro_45; Glycosyl hydrolase family 45
GVOG04091	9	764	NCVOG0607	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06947	9	226	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00741	9	293	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02096	9	255	NCVOG4021	uncharacterized protein	COG3836 | arCOG04974	Belongs to the HpcH HpaI aldolase family | COG3836 2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	G	PF03328	PK_TIM; HpcH_HpaI; HpcH/HpaI aldolase/citrate lyase family
GVOG01915	9	245	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07558	9	276	NCVOG1049	short chain dehydrogenase	KOG1430 | arCOG04627 | COG1091 | COG1898 | arCOG01367	3-beta-hydroxy-delta5-steroid dehydrogenase activity | Catalyzes the two-step NADP-dependent conversion of GDP- 4-dehydro-6-deoxy-D-mannose to GDP-fucose, involving an epimerase and a reductase reaction | dTDP-4-dehydrorhamnose reductase activity | dTDP-4-dehydrorhamnose 3,5-epimerase activity | dTDP-4-dehydrorhamnose reductase	M | GM	PF01370 | PF04321	NADP_Rossmann; Epimerase; NAD dependent epimerase/dehydratase family | NADP_Rossmann; RmlD_sub_bind; RmlD substrate binding domain
GVOG05347	9	164	no_annot	no_annotation	2RGV9 | 2SU7N	unknown | unknown	S	no_annot	no_annote
GVOG09876	9	425	NCVOG4533 | NCVOG4587 | NCVOG4584 | NCVOG0021	collagen triple helix repeat motif-containing protein | uncharacterized protein | collagen triple helix repeat motif-containing protein | collagen triple helix repeat containing protein	31NKK | 2QV37 | 2QT1U | 2S76I | 309P3 | 2RRBA | 32QYM | 2TCUH | 33B0P | 2QSK2 | 2QRY3 | 2RIZH | 2RTNK | 2QRST | 2QQKQ | 2R68F | 2QS5V | 2ZRGM | 2REGW | 2ZPHS | 2QRFR | 2QUW0 | 2RZM2 | 2QT5D | 2ZQ3I | 33E85 | 2R2C0 | 33F5M | KOG3546 | 2SDVG | KOG4295 | 300KR | 2RUDW | 2ZPVI | 30I51 | 2RYR2 | 2QSM1 | 33S9Q | 310DR | 338JJ | KOG2804 | COG5164 | 2QSR5 | 2ZG6U | 2S2X9 | 2QWN1 | 32T5J | KOG3544 | 2QVBU | 2QRPC | 2SHDX | 2SK5K | 2R9YJ	Collagen triple helix repeat (20 copies) | unknown | protein heterotrimerization | Collagen triple helix repeat (20 copies) | unknown | Complement component C1q domain. | unknown | unknown | unknown | positive regulation of adiponectin secretion | negative regulation of metanephric mesenchymal cell migration | integrin binding involved in cell-matrix adhesion | unknown | epithelial cell proliferation | toll-like receptor 3 signaling pathway | Complement component C1q domain. | skeletal system development | unknown | Dictyostelium spore coat protein, N terminus | Collagen triple helix repeat (20 copies) | angiogenesis | positive regulation of cholesterol storage | complement activation, classical pathway | protein heterotrimerization | unknown | Collagen triple helix repeat (20 copies) | positive regulation of cell-substrate adhesion | unknown | biological adhesion | unknown | serine-type endopeptidase inhibitor activity | unknown | unknown | unknown | unknown | complement activation, classical pathway | ferritin receptor activity | unknown | unknown | unknown | choline-phosphate cytidylyltransferase activity | cell wall organization | EMI domain | Collagen triple helix repeat (20 copies) | Complement component C1q domain. | amyloid-beta clearance | Domain of unknown function (DUF4183) | structural constituent of cuticle | negative regulation of cell size | otolin 1 | Complement component C1q domain. | protein HP-25 homolog | Collagen triple helix repeat (20 copies)	S | U | O | L | D | K | IM	PF01391	; Collagen; Collagen triple helix repeat (20 copies)
GVOG05936	9	66	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG11501	9	94	NCVOG4031	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00200	9	3643	NCVOG4155	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG06305	9	86	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05381	8	337.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG12498	8	88	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG12004	8	235	NCVOG4533 | NCVOG4587 | NCVOG0021	collagen triple helix repeat motif-containing protein | uncharacterized protein | collagen triple helix repeat containing protein	2R2C0 | 31NKK | 2QT1U | KOG3546 | 2S76I | 309P3 | 2RRBA | 2SDVG | KOG4295 | 2QSKV | 2RUDW | 2ZPVI | 33B0P | 2RYR2 | 2QSM1 | 310DR | KOG3544 | 2QRY3 | KOG2804 | 2SHDX | COG5164 | 2QSR5 | 33NDP | 2QRPC | 2ZG6U | 2QQKQ | 2R68F | 2QS5V | 2QWN1 | 2ZPHS | 2RTNK | 2QRFR | 2QSK2 | 2QUW0 | 2QVBU | 2S2X9 | 2RZM2 | 2QRST | 2QT5D | 2ZQ3I | 32QYM | 2SK5K | 2R9YJ | 33F5M | 33E85	positive regulation of cell-substrate adhesion | Collagen triple helix repeat (20 copies) | protein heterotrimerization | biological adhesion | Collagen triple helix repeat (20 copies) | unknown | Complement component C1q domain. | unknown | serine-type endopeptidase inhibitor activity | motor learning | unknown | unknown | unknown | complement activation, classical pathway | ferritin receptor activity | unknown | structural constituent of cuticle | negative regulation of metanephric mesenchymal cell migration | choline-phosphate cytidylyltransferase activity | Complement component C1q domain. | cell wall organization | EMI domain | unknown | otolin 1 | Collagen triple helix repeat (20 copies) | toll-like receptor 3 signaling pathway | Complement component C1q domain. | skeletal system development | amyloid-beta clearance | Collagen triple helix repeat (20 copies) | unknown | angiogenesis | positive regulation of adiponectin secretion | positive regulation of cholesterol storage | negative regulation of cell size | Complement component C1q domain. | complement activation, classical pathway | epithelial cell proliferation | protein heterotrimerization | unknown | unknown | protein HP-25 homolog | Collagen triple helix repeat (20 copies) | unknown | Collagen triple helix repeat (20 copies)	S | U | O | L | D | K | IM	PF01391	; Collagen; Collagen triple helix repeat (20 copies)
GVOG03082	8	95.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00333	8	74.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG05507	8	130.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02944	8	62.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG00942	8	123	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG07299	8	97.5	no_annot	no_annotation	COG0580 | KOG0224 | KOG0223 | arCOG04431	Belongs to the MIP aquaporin (TC 1.A.8) family | glycerol channel activity | water channel activity | Major Intrinsic Protein	U | G	PF00230	; MIP; Major intrinsic protein
GVOG07868	8	405.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG11122	8	219	NCVOG0635	DNA directed RNA polymerase subunit L	arCOG04241 | KOG1521 | KOG1522	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates | transcription by RNA polymerase I | DNA-directed 5'-3' RNA polymerase activity	K	PF01193 | PF01000	RBP11-like; RNA_pol_L; RNA polymerase Rpb3/Rpb11 dimerisation domain | ; RNA_pol_A_bac; RNA polymerase Rpb3/RpoA insert domain
GVOG01625	8	226.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03572	8	327.5	no_annot	no_annotation	337VQ	unknown	S	no_annot	no_annote
GVOG00475	8	115.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02931	8	79	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG08885	8	95.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG11485	8	83.5	NCVOG2216	putative DNA-directed RNA polymerase II subunit N	arCOG04244	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	F	PF01194	; RNA_pol_N; RNA polymerases N / 8 kDa subunit
GVOG07924	8	76.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG02610	8	70	NCVOG0482	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG13581	8	269.5	no_annot	no_annotation	KOG4179 | COG3306 | 2RFEY | 2R73R | 2SHPA	procollagen galactosyltransferase activity | glycosyltransferase involved in LPS biosynthesis | unknown | Glycosyltransferase family 25 (LPS biosynthesis protein) | unknown	M | S | G	PF01755	GT-A; Glyco_transf_25; Glycosyltransferase family 25 (LPS biosynthesis protein)
GVOG03375	8	47.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01848	8	182	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG01378	8	199.5	no_annot	no_annotation	2Z8HI	unknown	S	PF18753	; Nmad2; Nucleotide modification associated domain 2
GVOG09868	8	251.5	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG09359	8	148	no_annot	no_annotation	33AHA	unknown	S	no_annot	no_annote
GVOG04323	8	148.5	NCVOG1401	uncharacterized protein	no_annot	no_annote	no_annote	PF10918	; DUF2718; Protein of unknown function (DUF2718)
GVOG02292	8	183	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG09872	8	188	NCVOG0231	MORN repeat proteins and some others	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG03601	8	244	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG14118	8	359.5	NCVOG2058 | NCVOG0699 | NCVOG4462 | NCVOG4344 | NCVOG2860 | NCVOG4111 | NCVOG4414 | NCVOG2734 | NCVOG2443 | NCVOG4116 | NCVOG4001 | NCVOG2900 | NCVOG4468 | NCVOG4115 | NCVOG4421 | NCVOG4123 | NCVOG4445 | NCVOG4372 | NCVOG2775 | NCVOG0822 | NCVOG0451 | NCVOG4676 | NCVOG4371 | NCVOG4441 | NCVOG4430 | NCVOG0710 | NCVOG4122	ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein | ankyrin repeat protein | uncharacterized protein | ankyrin repeat protein	KOG0509 | 2TART | 2S56H | 2RBM7 | 2R4UA | KOG1709 | 2RCJE | 2SDWP | 2RKX2 | 2S48R | 2SD9J | 2SXAG | KOG0506 | 2QPWC | 2S3QK | 2SZZ8 | 2RI0J | 2S6G5 | 2TMD9 | 2T9RW | 2QUTG | 2T53U | 2QW3G | KOG0522 | KOG0676 | 2RDDS | 2TGTB | 2TCB0 | 2SGF8 | 2T321 | 2RT3C | 2S1IC | KOG0503 | 2QRZ2 | 2QUEG | 2SZ3G | 2SNTY | 2SDMN | 2RP98 | KOG0505 | KOG3836 | 2QXWS | 2SDAG | 2RPUM | KOG0515 | 2S9R3 | 2Z87K | 2SQRQ | 2QR0R | 2SUDD | 2SKJ7 | 2QQ81 | KOG1487 | 2SG6K | 2S3SA | 2TE7C | 2S1WH | 2R9K7 | 2SEUP | 2QRMC | 2SFAC | 2TMNC | KOG0510 | 2T0UZ | 2TGQN | KOG0514 | 2RRJB | 2S0Q0 | 2SCU4 | 2SGMQ | 2SEKI | 2SQZW | KOG0502 | 2QRTX | 2RRCB | 2TDDH | 2RKAZ | 2R2Y7 | 2S11V | 2SBUM | 30JSS | 2SFYF | 2R36Z | 2QR1Y | 2ZS4Q | KOG2421 | 30IPN | 2RA5W | KOG4214 | KOG1037 | 2SFXD | 2SGWP | 2S5AQ | 2SBX1 | 2QWG2 | 2SWCJ | 2T2CY | 31M12 | 2QZCI | 2SH3E | 2QYD8 | 2QSQY | 2S098 | KOG2988 | 2S104 | 2SK1J | 2QRRT | 2RTAH | 2SX4G | 322ET | KOG0705 | 2SY3D | 2QQJP | KOG0508 | 2RRDI | 2RV4I | 2T032 | 2QUT2 | KOG4375 | KOG4591 | 2SGEC | 33ZS6 | 2RVMY | 2S4H1 | 2RB0K | 2SDQK | 2SZH0 | 2QQG5 | 30JSU | 2SCCH | 2RPVH | KOG1734 | 2SKHS | 2SA1H | 2RX9V | 2SHSU | 2TMSE | 2T363 | KOG2384 | 2QVDE | 2S4K7 | 2RS4T | 2SFAS | 2RXAT | KOG0507 | 2S5BG | 2SGQS | 2RX9F | 2ZI8S | 2SX9X | 2QWPF | 2SREV | 2SAWZ | 2QSMY | 2S93D | KOG4412 | 2QTJR | 2SDGK | KOG3609 | KOG0045 | 2R16Z | 2SAPU | 2S5MP | KOG2209 | 2QT8J | KOG4335 | KOG3737 | 2S7JB | 2SEUK | 2T33M | 2S4MW | COG5627 | KOG0695 | 2T2RG | 2RWTC | 2RHBR | 2RFYX | KOG0195 | 2QS0Y | 2T339 | 2SDUB | KOG4369 | 2RS6K | 2SC0H | 33YJW | 2S2EY | 2QTMZ | KOG0843 | 2SBC5 | 2QTZB | 2S01I | 2SJ8N | 2QQ0K | 2SG4C | KOG1103 | 2SM5C | arCOG04004 | 2RM5K | 2T3ZI | 2R0Z5 | KOG0520 | 2T01U | 2SUVW | 2RJK4 | KOG1710 | KOG0817 | 2SDKM | 2SUNN | 2SQR9 | 2SW0U | 3166X | KOG0782 | 2SWMV | 2QPYN | 2QVYS | KOG0783 | KOG0512 | 2QT4A | 2RN7Z | 2TMN1 | KOG0818 | 2RNRB | 2SRF2	protein-cysteine S-palmitoyltransferase activity | Ankyrin repeats (many copies) | unknown | ankyrin repeats | Ankyrin repeats (many copies) | protein-arginine N5-methyltransferase activity | ankyrin repeats | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | ankyrin repeats | Domain of unknown function (DUF3447) | Ankyrin repeat | glutamine catabolic process | positive regulation of transcription involved in G1/S transition of mitotic cell cycle | Ankyrin repeats (3 copies) | ankyrin repeats | Ankyrin repeats (many copies) | Ankyrin repeat | unknown | Ankyrin repeats (3 copies) | KilA-N | ankyrin repeats | Ankyrin repeat | protein retention in ER lumen | ATP binding | DnaJ molecular chaperone homology domain | unknown | Ankyrin repeat | Ankyrin repeats (3 copies) | ankyrin repeats | unknown | ankyrin repeats | asparagine catabolic process | Ankyrin Repeat | spermatogenesis | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | Ankyrin repeat | ankyrin repeats | positive regulation of myosin-light-chain-phosphatase activity | positive regulation of unsaturated fatty acid biosynthetic process by positive regulation of transcription from RNA polymerase II promoter | Ankyrin Repeat | ankyrin repeats | ankyrin repeats | apoptotic process | Ankyrin repeats (many copies) | COG0666 FOG Ankyrin repeat | unknown | negative regulation of fat cell differentiation | Ankyrin repeats (3 copies) | ankyrin repeats | ubiquitin protein ligase binding | GTP-binding protein | Ankyrin repeats (3 copies) | Zinc finger, C3HC4 type (RING finger) | ankyrin repeats | Ankyrin repeats (3 copies) | Ankyrin repeat | Ankyrin repeat | DIL | Ankyrin repeat | Ankyrin repeats (3 copies) | temperature-gated cation channel activity | Ankyrin repeat | ankyrin repeats | negative regulation of vitamin D receptor signaling pathway | Putative S-adenosyl-L-methionine-dependent methyltransferase | protein ubiquitination | ankyrin repeats | Ankyrin repeat | Ankyrin repeats (3 copies) | unknown | nerve growth factor signaling pathway | GA binding protein transcription factor beta subunit | Ankyrin repeats (many copies) | Ankyrin repeat | Prolyl 4-hydroxylase alpha subunit homologues. | Ankyrin repeat | Ankyrin repeat | ankyrin repeats | Ankyrin repeat | ankyrin repeats | Domain with 2 conserved Trp (W) residues | protein ubiquitination | ankyrin repeats | glycerophosphocholine phosphodiesterase activity | ankyrin repeats | ankyrin repeats | regulation of barbed-end actin filament capping | NAD+ ADP-ribosyltransferase activity | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | Ankyrin repeat | Ankyrin repeats (many copies) | SH3 domain binding | Ankyrin repeats (3 copies) | Ankyrin repeats (many copies) | unknown | ankyrin repeats | Ankyrin repeat | Ankyrin repeats (many copies) | ubiquitin protein ligase binding | Subtilase family | structural constituent of ribosome | C-terminal of Roc, COR, domain | unknown | unknown | Ankyrin repeats (3 copies) | ankyrin repeats | ankyrin repeats | GTPase activator activity | Ankyrin repeat | Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases. | EP4 subtype prostaglandin E2 receptor binding | Ankyrin repeat | Ankyrin repeat | Ankyrin repeats (many copies) | Ankyrin repeats (3 copies) | determination of affect | positive regulation of pinocytosis | unknown | unknown | ankyrin repeats | Ankyrin repeat | Ankyrin repeats (many copies) | ankyrin repeats | ankyrin repeats | face morphogenesis | Ankyrin repeats (3 copies) | Ankyrin repeat | Fungal N-terminal domain of STAND proteins | endoplasmic reticulum unfolded protein response | Ankyrin repeats (3 copies) | unknown | Zinc finger, C3HC4 type (RING finger) | ankyrin repeats | Ankyrin repeats (many copies) | ankyrin repeats | glycine rich nucleic binding domain | Ankyrin repeat | Lysine methyltransferase | Ankyrin repeat | protein ubiquitination | ankyrin repeats | Ankyrin repeat and sterile alpha motif | ankyrin repeats | Ankyrin repeats (3 copies) | Ankyrin repeat | Ankyrin repeats (3 copies) | Ankyrin repeat | Protein kinase C conserved region 2 (CalB) | unknown | Ankyrin repeat | BCL6 co-repressor-like | ankyrin repeats | proteasome regulatory particle assembly | Fn3 associated | Ankyrin repeat | store-operated calcium channel activity | calcium-dependent cysteine-type endopeptidase activity | Ankyrin repeats (many copies) | MYND finger | Ankyrin repeats (3 copies) | lipid transport | ankyrin repeats | negative regulation of endothelial cell apoptotic process | N-acetylgalactosaminyltransferase 7 | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | ankyrin repeats | zinc finger | protein ubiquitination | protein kinase C activity | Ankyrin repeat | Ankyrin repeat | Ankyrin repeat | ankyrin repeats | integrin-mediated signaling pathway | Ankyrin repeats (3 copies) | Ankyrin repeat domain-containing protein 2. Source PGD | unknown | positive regulation of MDA-5 signaling pathway | Ankyrin Repeat Protein | Ankyrin repeat | Ankyrin repeat | FAM220 family | negative regulation of lipopolysaccharide-mediated signaling pathway | DNA binding | Ankyrin repeats (3 copies) | SH3 domain binding | Ankyrin repeats (many copies) | ankyrin repeats | Ankyrin repeats (many copies) | Ankyrin repeat | protein phosphatase 2A binding | unknown | ankyrin repeat | unknown | unknown | Ankyrin repeat | proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific | Ankyrin repeats (many copies) | Ankyrin repeats (many copies) | ankyrin repeats | regulation of smoothened signaling pathway | fatty-acyl-CoA binding | Ankyrin repeat | protein ubiquitination | ankyrin repeats | Ankyrin repeat | ankyrin repeats | diacylglycerol kinase activity | Ankyrin repeat | regulation of NIK/NF-kappaB signaling | ankyrin repeats | protein tyrosine kinase inhibitor activity | spermatogenesis | Ankyrin repeats (many copies) | Ankyrin repeats (3 copies) | Heterokaryon incompatibility protein (HET) | ARF GTPase-activating protein | ankyrin repeats | Ankyrin repeats (many copies)	DTZ | C | E | KLT | M | S | U | EJ | Q | A | BQ | O | L | T | Z | H | I | J | K | G | DZ	PF13606 | PF00023 | PF13857 | PF12796 | PF13637	Ank; Ank_3; Ankyrin repeat | Ank; Ank; Ankyrin repeat | Ank; Ank_5; Ankyrin repeats (many copies) | Ank; Ank_2; Ankyrin repeats (3 copies) | Ank; Ank_4; Ankyrin repeats (many copies)
GVOG04010	8	168.5	no_annot	no_annotation	32D51 | 339FP | 33KDV | 332TF | 32CS2 | arCOG11838 | 32RTH | 33F0H | 32TJ4 | 334E1	CHRD domain | CHRD domain | CHRD domain | PFAM CHRD domain | CHRD domain | CHRD domain | CHRD domain | A domain in the BMP inhibitor chordin and in microbial proteins. | CHRD domain | CHRD domain	S	PF07452	; CHRD; CHRD domain
GVOG11729	8	460	NCVOG4533 | NCVOG4587 | NCVOG4355 | NCVOG0021	collagen triple helix repeat motif-containing protein | uncharacterized protein | uncharacterized protein | collagen triple helix repeat containing protein	31NKK | 2QV37 | 2QT1U | 2S76I | 309P3 | 2QSM1 | 2RRBA | 32QYM | 2TCUH | 33B0P | 2QSK2 | 2QRY3 | 2RIZH | 2RTNK | 33K1Z | 2QQKQ | 2R68F | 2QS5V | 2ZPHS | 2QRFR | 2QUW0 | 2RZM2 | 2QT5D | 2ZRW4 | 33E85 | 2R2C0 | 33F5M | KOG3546 | 2SDVG | KOG4295 | 2RUDW | 2ZPVI | 30I51 | 2RYR2 | 33NDP | 33S9Q | 310DR | 338JJ | COG5164 | 2QSR5 | 2QRPC | 2ZG6U | 2S2X9 | 2QWN1 | 32T5J | KOG3544 | 2QVBU | 2QRST | 2QSKV | 2SHDX | 2SK5K | 2R9YJ	Collagen triple helix repeat (20 copies) | unknown | protein heterotrimerization | Collagen triple helix repeat (20 copies) | unknown | ferritin receptor activity | Complement component C1q domain. | unknown | unknown | unknown | positive regulation of adiponectin secretion | negative regulation of metanephric mesenchymal cell migration | integrin binding involved in cell-matrix adhesion | unknown | unknown | toll-like receptor 3 signaling pathway | Complement component C1q domain. | skeletal system development | Collagen triple helix repeat (20 copies) | angiogenesis | positive regulation of cholesterol storage | complement activation, classical pathway | protein heterotrimerization | Collagen triple helix repeat (20 copies) | Collagen triple helix repeat (20 copies) | positive regulation of cell-substrate adhesion | unknown | biological adhesion | unknown | serine-type endopeptidase inhibitor activity | unknown | unknown | unknown | complement activation, classical pathway | unknown | unknown | unknown | unknown | cell wall organization | EMI domain | otolin 1 | Collagen triple helix repeat (20 copies) | Complement component C1q domain. | amyloid-beta clearance | Domain of unknown function (DUF4183) | structural constituent of cuticle | negative regulation of cell size | epithelial cell proliferation | motor learning | Complement component C1q domain. | protein HP-25 homolog | Collagen triple helix repeat (20 copies)	S | U | L | O | D | K	PF01391	; Collagen; Collagen triple helix repeat (20 copies)
GVOG05767	8	160	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG04793	8	361	no_annot	no_annotation	arCOG03056 | arCOG00040 | COG2065 | 338TY | arCOG00028	PFAM phosphoesterase, PA-phosphatase related | phosphoribosyltransferase | Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant | Phosphoribosyl transferase domain | Belongs to the purine pyrimidine phosphoribosyltransferase family	I | S | F	PF01569 | PF00156	pap2; PAP2; PAP2 superfamily | PRTase-like; Pribosyltran; Phosphoribosyl transferase domain
GVOG03120	8	61	no_annot	no_annotation	no_annot	no_annote	no_annote	no_annot	no_annote
GVOG11497	8	82			no_annot	no_annote	no_annote	no_annot	no_annote
