#hmm_accession	TC1	TC2	gene_symbol	length	hmm_description	scope	type	subtype	class	subclass	db_version	hierarchy_node
NF000395.3	          550.000000	          550.000000	blaOXA	271	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-60_fam
NF000435.2	          540.000000	          540.000000	blaOXA	252	OXA-61 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-61_fam
NF000430.2	          560.000000	          560.000000	blaOXA	286	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-62_fam
NF000429.2	          560.000000	          560.000000	blaOXA	269	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-63_fam
NF038333.1	          570.000000	          570.000000	blaOXA	276	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-679_fam
NF033666.1	          600.000000	          600.000000	blaOXA	283	OXA-727 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-727_fam
NF040805.1	          585.000000	          585.000000	blaOXA	261	OXA-732 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-732_fam
NF042983.1	          575.000000	          575.000000	blaOXA	301	OXA-837 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-837_fam
NF000502.2	          550.000000	          500.000000	blaOXA	261	OXA-85 family oxacillin-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-85_fam
NF038183.1	          575.000000	          575.000000	blaOXA	275	OXA-919 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-919_fam
NF040532.1	          575.000000	          575.000000	blaOXA	274	OXA-9 family oxacillin-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-9_fam
NF000270.1	          280.000000	          280.000000	blaOXA	240	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA-PR
NF040784.1	          400.000000	          400.000000	blaOXA	268	OXA-1090 family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaOXA-VL06
NF000463.2	          390.000000	          390.000000	blaOXA	248	class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaOXA_Campy
NF000271.2	          600.000000	          600.000000	blaOXY	290	OXY family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaOXY
NF012156.1	          660.000000	          660.000000	blaP	307	class A beta-lactamase BlaP	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaP
NF033159.0	          850.000000	          850.000000	blaPAC	380	PAC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPAC
NF040472.1	          575.000000	          575.000000	blaPAD	297	PAD family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPAD
NF040644.1	          615.000000	          615.000000	blaPAM	287	PAM family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPAM
NF033867.1	          640.000000	          640.000000	blaPAU	293	PAU family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPAU
NF000422.6	          865.000000	          500.000000	blaPDC	397	PDC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaPDC
NF000519.2	          900.000000	          900.000000	blaPDC	397	PDC variant family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaPDC_var
NF041143.1	          640.000000	          640.000000	blaPEN-A	302	PEN-A family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPEN-A
NF041138.1	          685.000000	          685.000000	blaPEN-B	312	PEN-B family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPEN-B
NF041253.1	          600.000000	          600.000000	blaPEN-N	304	PEN-N family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPEN-N
NF000320.3	          540.000000	          540.000000	blaPEN-bcc	300	PEN family class A beta-lactamase, Bcc-type	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPEN-bcc
NF000321.3	          580.000000	          580.000000	blaPEN-bpc	295	PEN family class A beta-lactamase, Bpc-type	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPEN-bpc
NF000389.2	          650.000000	          650.000000	blaPER	308	PER family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaPER
NF038003.1	          555.000000	          555.000000	blaPFM	253	PFM family subclass B2 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPFM
NF040874.1	          630.000000	          630.000000	blaPJM	301	PJM family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPJM
NF038398.1	          670.000000	          670.000000	blaPLA	291	PLA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPLA
NF000414.2	          650.000000	          650.000000	blaPME	309	PME family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaPME
NF000438.2	          610.000000	          610.000000	blaPOM	286	POM family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPOM
NF038359.1	          820.000000	          820.000000	blaPRC	379	PRC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPRC
NF000480.2	          580.000000	          580.000000	blaPSE	288	PSE family carbenicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPSE
NF033584.1	          525.000000	          525.000000	blaPST	242	PST family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaPST
NF033174.0	          550.000000	          550.000000	blaPSV	283	PSV family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPSV
NF041665.1	          850.000000	          850.000000	blaPSZ	379	PSZ family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaPSZ
NF033108.1	         1200.000000	         1200.000000	blaR1	585	beta-lactam sensor/signal transducer BlaR1	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaR1
NF000326.1	          400.000000	          400.000000	blaR1	585	BlaR1 family beta-lactam sensor/signal transducer	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaR1_gen
NF040467.1	          590.000000	          590.000000	blaRAA	290	RAA family extended-spectrum beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaRAA
NF041187.1	          570.000000	          570.000000	blaRAD	258	RAD family carbapenem-hydrolyzing class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaRAD
NF040934.1	          590.000000	          590.000000	blaRAHN	295	RAHN family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaRAHN
NF040609.1	          600.000000	          600.000000	blaRASA	295	RASA family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaRASA
NF041445.1	          660.000000	          660.000000	blaRATA	302	RATA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaRATA
NF033466.0	          600.000000	          600.000000	blaRCP	293	RCP family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaRCP
NF033575.1	          825.000000	          825.000000	blaRHO	380	RHO family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaRHO
NF033568.1	          675.000000	          675.000000	blaROB	305	ROB family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaROB
NF000284.1	          600.000000	          600.000000	blaRTG	298	RTG family carbenicillin-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaRTG
NF033204.1	          635.000000	          635.000000	blaRUB	284	RUB family broad-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaRUB
NF000327.2	          600.000000	          600.000000	blaSCO	288	SCO family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaSCO
NF000328.2	          570.000000	          570.000000	blaSED	294	SED family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaSED
NF040547.1	          680.000000	          680.000000	blaSFC	309	SFC family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaSFC
NF038366.1	          840.000000	          840.000000	blaSFDC	382	SFDC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaSFDC
NF012224.1	          550.000000	          550.000000	blaSFH	250	SFH family subclass B2 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaSFH
NF000512.2	          500.000000	          500.000000	blaSGM	285	SGM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaSGM
NF000285.3	          640.000000	          640.000000	blaSHV	285	SHV family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaSHV
NF012143.0	          535.000000	          535.000000	blaSHV	285	SHV/LEN/OKP family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaSHV-LEN
NF000426.2	          560.000000	          560.000000	blaSIM	246	SIM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaSIM
NF000287.1	          400.000000	          400.000000	blaSMB	280	SMB-1 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaSMB
NF012142.0	          650.000000	          650.000000	blaSME	294	SME family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaSME
NF000459.2	          550.000000	          550.000000	blaSPG	285	SPG-1 family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaSPG-1_fam
NF012150.3	          500.000000	          500.000000	blaSPM	272	SPM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaSPM
NF041137.1	          650.000000	          650.000000	blaSPR	299	SPR family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaSPR
NF000423.2	          860.000000	          860.000000	blaSRT	378	SRT/SST family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaSRT
NF000531.2	          625.000000	          625.000000	blaTEM	286	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaTEM
NF038400.1	          620.000000	          620.000000	blaTER	284	TER family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaTER
NF000440.2	          700.000000	          700.000000	blaTHIN	316	THIN family subclass B3 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaTHIN
NF000298.2	          640.000000	          640.000000	blaTLA	309	TLA family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaTLA
NF000443.2	          550.000000	          550.000000	blaTMB	245	TMB family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaTMB
NF033585.1	          525.000000	          525.000000	blaTTU	243	TTU family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaTTU
NF000442.2	          550.000000	          550.000000	blaTUS	248	TUS family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaTUS
NF000518.2	          625.000000	          625.000000	blaVCC	284	VCC family carbapenem-hydrolyzing class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaVCC
NF000390.2	          670.000000	          670.000000	blaVEB	299	VEB family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaVEB
NF012100.0	          500.000000	          500.000000	blaVIM	266	VIM family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaVIM
NF038184.1	          500.000000	          500.000000	blaVMB	242	VMB family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaVMB
NF040860.1	          540.000000	          540.000000	blaWUS	246	WUS family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaWUS
NF038166.1	          535.000000	          535.000000	blaYEM	246	YEM family subclass B2 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	blaYEM
NF038089.1	          870.000000	          870.000000	blaYRC	381	YRC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	blaYRC
NF033139.1	          580.000000	          580.000000	blaZ	281	penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaZ
NF033140.0	          600.000000	          600.000000	blaZ	283	mecC-type penicillin-hydrolyzing class A beta-lactamase BlaZ	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	blaZ-mecC
NF033156.1	          140.000000	          140.000000	ble	121	BLMA family bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	2024-01-31.1	ble
NF012202.0	          250.000000	          250.000000	ble	121	bleomycin binding protein Ble-MBL	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	2024-01-31.1	ble-MBL
NF000028.1	          250.000000	          250.000000	ble	122	BLMA family bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	2024-01-31.1	ble-Sv
NF000005.4	          210.000000	          210.000000	ble	117	BLMT family bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	2024-01-31.1	ble_BLMT_gen
NF000489.1	          260.000000	          260.000000	ble-Sh	124	phleomycin/bleomycin binding protein Ble-Sh	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	2024-01-31.1	ble-Sh
NF000027.1	          275.000000	          275.000000	bleO	134	bleomycin binding protein	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	2024-01-31.1	bleO
NF000483.1	          625.000000	          625.000000	blmB	301	bleomycin family antibiotic N-acetyltransferase BlmB	core	AMR	AMR	BLEOMYCIN	BLEOMYCIN	2024-01-31.1	blmB
NF000166.1	         1050.000000	         1050.000000	car(A)	556	ABC-F type ribosomal protection protein Car(A)	core	AMR	AMR	MACROLIDE	MACROLIDE	2024-01-31.1	car(A)
NF000491.1	          270.000000	          270.000000	catA	208	type A chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	catA
NF000490.1	          350.000000	          350.000000	catB	210	type B chloramphenicol O-acetyltransferase	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	catB
NF033098.1	          625.000000	          625.000000	cblA	296	CblA family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	cblA
NF033102.1	          660.000000	          660.000000	cepA	300	CepA family extended-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	2024-01-31.1	cepA
NF000322.2	          550.000000	          550.000000	cfiA	249	CfiA family subclass B1 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	cfiA_fam
NF000424.3	          550.000000	          550.000000	cfr	338	Cfr family 23S rRNA (adenine(2503)-C(8))-methyltransferase	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	2024-01-31.1	cfr_gen
NF033100.1	          625.000000	          625.000000	cfxA	319	CfxA family broad-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	2024-01-31.1	cfxA_fam
NF000488.1	          620.000000	          620.000000	chrB	280	23S rRNA (guanine(748)-N(1))-methyltransferase ChrB	core	AMR	AMR	MACROLIDE	MACROLIDE	2024-01-31.1	chrB_rRNA_meth
NF033606.1	         1900.000000	         1900.000000	clpK	949	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT			2024-01-31.1	clpK
NF033134.0	          450.000000	          450.000000	cml	388	CmlA/FloR family chloramphenicol efflux MFS transporter	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	cmlA_floR
NF033135.1	          400.000000	          400.000000	cml	374	Cmx/CmrA family chloramphenicol efflux MFS transporter	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	cmx_cmrA
NF000509.1	          875.000000	          835.000000	cmlA	419	CmlA family chloramphenicol efflux MFS transporter	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	cmlA
NF012203.0	          900.000000	          900.000000	cmlB1	407	chloramphenicol efflux MFS transporter CmlB1	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	cmlB1
NF012199.0	          830.000000	          830.000000	cmlV	412	chloramphenicol efflux MFS transporter CmlV	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	cmlV
NF000510.1	          800.000000	          700.000000	cmx	391	chloramphenicol efflux MFS transporter Cmx	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	cmx
NF033781.1	          112.000000	          112.000000	copP	65	copper-binding metallochaperone CopP	plus	STRESS	METAL	COPPER	COPPER	2024-01-31.1	copP
NF041268.1	          390.000000	          390.000000	cph	285	capreomycin phosphotransferase	plus	AMR	AMR	TUBERACTINOMYCIN	CAPREOMYCIN/VIOMYCIN	2024-01-31.1	cph
NF000329.2	          500.000000	          500.000000	cphA	253	CphA family subclass B2 metallo-beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	2024-01-31.1	cphA
NF043038.1	          780.000000	          780.000000	cplR	544	ABC-F type ribosomal protection protein CplR	plus	AMR	AMR	LINCOSAMIDE/PLEUROMUTILIN/STREPTOGRAMIN	CLINDAMYCIN/LINCOMYCIN/RETAPAMULIN/VIRGINIAMYCIN	2024-01-31.1	cplR
NF033114.1	          250.000000	          250.000000	cpt	171	chloramphenicol phosphotransferase CPT	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	2024-01-31.1	cpt
NF000332.1	          300.000000	          300.000000	dfr	161	DfrD/DfrG/DfrK family trimethoprim-resistant dihydrofolate reductase	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfr_DGK
NF000008.1	          420.000000	          420.000000	dfrA	187	trimethoprim-resistant repeat-containing dihydrofolate reductase DfrA1	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfr1_rpt
NF000330.1	          250.000000	          250.000000	dfrA	157	trimethoprim-resistant dihydrofolate reductase DfrA	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA
NF000055.3	          330.000000	          330.000000	dfrA	165	DfrA12/DfrA21 family trimethoprim-resistant dihydrofolate reductase	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA12_A21
NF000018.2	          400.000000	          400.000000	dfrA10	187	trimethoprim-resistant dihydrofolate reductase DfrA10	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA10
NF000053.2	          360.000000	          360.000000	dfrA12	165	trimethoprim-resistant dihydrofolate reductase DfrA12	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA12
NF000039.1	          375.000000	          375.000000	dfrA18	184	trimethoprim-resistant dihydrofolate reductase DfrA18	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA18
NF000041.1	          400.000000	          400.000000	dfrA19	189	trimethoprim-resistant dihydrofolate reductase DfrA19	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA19
NF000127.2	          325.000000	          325.000000	dfrA20	169	trimethoprim-resistant dihydrofolate reductase DfrA20	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA20
NF000134.2	          375.000000	          375.000000	dfrA23	186	trimethoprim-resistant dihydrofolate reductase DfrA23	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA23
NF000146.2	          375.000000	          375.000000	dfrA24	185	trimethoprim-resistant dihydrofolate reductase DfrA24	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA24
NF000006.2	          350.000000	          350.000000	dfrA26	183	trimethoprim-resistant dihydrofolate reductase DfrA26	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA26
NF000019.2	          350.000000	          350.000000	dfrA3	162	trimethoprim-resistant dihydrofolate reductase DfrA3	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA3
NF033851.1	          360.000000	          360.000000	dfrA35	170	trimethoprim-resistant dihydrofolate reductase DfrA35	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA35
NF033868.0	          360.000000	          360.000000	dfrA36	170	trimethoprim-resistant dihydrofolate reductase DfrA36	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA36
NF000065.1	          320.000000	          320.000000	dfrA3b	159	trimethoprim-resistant dihydrofolate reductase DfrA3b	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA3b
NF000126.2	          325.000000	          325.000000	dfrA8	169	trimethoprim-resistant dihydrofolate reductase DfrA8	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA8
NF000109.2	          350.000000	          350.000000	dfrA9	177	trimethoprim-resistant dihydrofolate reductase DfrA9	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrA9
NF000331.2	          137.000000	          137.000000	dfrB	78	trimethoprim-resistant dihydrofolate reductase DfrB	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrB
NF000159.1	          350.000000	          350.000000	dfrD	166	trimethoprim-resistant dihydrofolate reductase DfrD	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrD
NF040541.1	          347.000000	          347.000000	dfrE	157	trimethoprim-resistant dihydrofolate reductase DfrE	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrE
NF000333.1	          320.000000	          320.000000	dfrF	164	trimethoprim-resistant dihydrofolate reductase DfrF	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrF
NF000143.1	          365.000000	          365.000000	dfrG	165	trimethoprim-resistant dihydrofolate reductase DfrG	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrG
NF000012.1	          400.000000	          400.000000	dfrI	191	trimethoprim-resistant dihydrofolate reductase DfrI	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrI
NF041668.1	          370.000000	          370.000000	dfrL	176	trimethoprim-resistant dihydrofolate reductase DfrL	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	2024-01-31.1	dfrL
NF033639.1	         2050.000000	         2050.000000	eae	940	intimin type alpha	plus	VIRULENCE	VIRULENCE	INTIMIN	ALPHA	2024-01-31.1	alpha
NF033627.3	         1400.000000	         1400.000000	eae	939	intimin	plus	VIRULENCE	VIRULENCE	INTIMIN	INTIMIN	2024-01-31.1	eae_typing_E._coli
NF042984.1	          226.000000	          226.000000	emrE	110	multidrug efflux SMR transporter EmrE	plus	STRESS	BIOCIDE	EFFLUX	EFFLUX	2024-01-31.1	SMR_efflux_emrE
NF033398.1	          625.000000	          625.000000	emt	336	EmtA family 23S rRNA (guanine(2470)) methyltransferase	core	AMR	AMR	AVILAMYCIN	AVILAMYCIN	2024-01-31.1	emtA_fam
NF040678.1	          720.000000	          720.000000	entFM	430	enterotoxin EntFM	plus	VIRULENCE	VIRULENCE			2024-01-31.1	entFM
NF000208.1	          750.000000	          750.000000	ere(A)	408	EreA family erythromycin esterase	core	AMR	AMR	MACROLIDE	ERYTHROMYCIN	2024-01-31.1	ere(A)
NF000209.1	          750.000000	          750.000000	ere(B)	419	EreB family erythromycin esterase	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	2024-01-31.1	ere(B)
NF000516.1	          800.000000	          600.000000	ere(D)	408	EreD family erythromycin esterase	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	2024-01-31.1	ere(D)
NF000499.1	          215.000000	          215.000000	erm	244	23S ribosomal RNA methyltransferase Erm	core	AMR	AMR	MACROLIDE	MACROLIDE	2024-01-31.1	erm-23S_rRNA
NF000337.1	          320.000000	          320.000000	erm	248	ErmE/ErmH/ErmO/ErmR family 23S rRNA (adenine(2058)-N(6))-methyltransferase	core	AMR	AMR	MACROLIDE	MACROLIDE	2024-01-31.1	erm_SHROVE
NF000133.1	          550.000000	          550.000000	erm(32)	280	23S rRNA (guanine(748)-N(1))-methyltransferase Erm(32)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	2024-01-31.1	erm(32)
NF000468.1	          350.000000	          350.000000	erm(37)	179	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(37)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE	AZITHROMYCIN/CLARITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/TELITHROMYCIN	2024-01-31.1	erm(37)
