LBYQ01000006.1_13	f6d459b0ffac2bf5365b431bf1942f2e	118	Pfam	PF18924	Protein of unknown function (DUF5674)	7	103	7.1E-23	T	10-07-2023	IPR043731	Protein of unknown function DUF5674
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	Gene3D	G3DSA:1.10.287.130	-	122	199	9.9E-20	T	10-07-2023	-	-
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	PANTHER	PTHR43711	TWO-COMPONENT HISTIDINE KINASE	125	356	7.7E-69	T	10-07-2023	-	-
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	Pfam	PF02518	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	246	355	5.7E-25	T	10-07-2023	IPR003594	Histidine kinase/HSP90-like ATPase
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	ProSiteProfiles	PS50109	Histidine kinase domain profile.	138	357	45.458	T	10-07-2023	IPR005467	Histidine kinase domain
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	TIGRFAM	TIGR00229	sensory_box: PAS domain S-box protein	10	129	7.5E-15	T	10-07-2023	IPR000014	PAS domain
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	Pfam	PF00512	His Kinase A (phospho-acceptor) domain	131	199	7.5E-15	T	10-07-2023	IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	ProSiteProfiles	PS50112	PAS repeat profile.	17	58	10.586275	T	10-07-2023	IPR000014	PAS domain
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	Pfam	PF00989	PAS fold	15	122	6.6E-14	T	10-07-2023	IPR013767	PAS fold
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	Gene3D	G3DSA:3.30.565.10	-	200	357	1.8E-43	T	10-07-2023	IPR036890	Histidine kinase/HSP90-like ATPase superfamily
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	PRINTS	PR00344	Bacterial sensor protein C-terminal signature	300	310	9.1E-15	T	10-07-2023	IPR004358	Signal transduction histidine kinase-related protein, C-terminal
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	PRINTS	PR00344	Bacterial sensor protein C-terminal signature	282	296	9.1E-15	T	10-07-2023	IPR004358	Signal transduction histidine kinase-related protein, C-terminal
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	PRINTS	PR00344	Bacterial sensor protein C-terminal signature	317	335	9.1E-15	T	10-07-2023	IPR004358	Signal transduction histidine kinase-related protein, C-terminal
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	PRINTS	PR00344	Bacterial sensor protein C-terminal signature	341	354	9.1E-15	T	10-07-2023	IPR004358	Signal transduction histidine kinase-related protein, C-terminal
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	SMART	SM00387	HKATPase_4	245	357	8.2E-29	T	10-07-2023	IPR003594	Histidine kinase/HSP90-like ATPase
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	SUPERFAMILY	SSF55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	188	355	7.86E-44	T	10-07-2023	IPR036890	Histidine kinase/HSP90-like ATPase superfamily
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	Gene3D	G3DSA:3.30.450.20	PAS domain	5	121	1.1E-19	T	10-07-2023	-	-
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	SMART	SM00388	HisKA_10	131	199	2.6E-15	T	10-07-2023	IPR003661	Signal transduction histidine kinase, dimerisation/phosphoacceptor domain
LBYQ01000021.1_3	d10c6e1d1735e6b823d666132c9e1792	369	CDD	cd00130	PAS	22	122	1.56035E-9	T	10-07-2023	IPR000014	PAS domain
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	Pfam	PF00482	Type II secretion system (T2SS), protein F	69	191	1.1E-21	T	10-07-2023	IPR018076	Type II secretion system protein GspF domain
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	Pfam	PF00482	Type II secretion system (T2SS), protein F	272	395	9.4E-22	T	10-07-2023	IPR018076	Type II secretion system protein GspF domain
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	PANTHER	PTHR30012	GENERAL SECRETION PATHWAY PROTEIN	1	402	2.6E-95	T	10-07-2023	IPR003004	GspF/PilC family
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	Gene3D	G3DSA:1.20.81.30	Type II secretion system (T2SS), domain F	255	368	1.0E-21	T	10-07-2023	IPR042094	Type II secretion system GspF domain superfamily
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	Gene3D	G3DSA:1.20.81.30	Type II secretion system (T2SS), domain F	56	170	4.3E-22	T	10-07-2023	IPR042094	Type II secretion system GspF domain superfamily
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	PRINTS	PR00812	Bacterial general secretion pathway protein F signature	368	382	6.6E-14	T	10-07-2023	IPR003004	GspF/PilC family
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	PRINTS	PR00812	Bacterial general secretion pathway protein F signature	384	403	6.6E-14	T	10-07-2023	IPR003004	GspF/PilC family
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	PRINTS	PR00812	Bacterial general secretion pathway protein F signature	64	76	6.6E-14	T	10-07-2023	IPR003004	GspF/PilC family
LBYQ01000001.1_10	0b881703b5dea3c04720f4f2219623a7	403	PRINTS	PR00812	Bacterial general secretion pathway protein F signature	163	191	6.6E-14	T	10-07-2023	IPR003004	GspF/PilC family
LBYQ01000001.1_25	1e6c7d94e246e6ed7ec95e511bc8ec7b	152	Pfam	PF02130	Endoribonuclease YbeY	16	144	8.4E-25	T	10-07-2023	IPR002036	Endoribonuclease YbeY
LBYQ01000001.1_25	1e6c7d94e246e6ed7ec95e511bc8ec7b	152	Hamap	MF_00009	Endoribonuclease YbeY [ybeY].	3	151	17.472235	T	10-07-2023	IPR002036	Endoribonuclease YbeY
LBYQ01000001.1_25	1e6c7d94e246e6ed7ec95e511bc8ec7b	152	Gene3D	G3DSA:3.40.390.30	Metalloproteases ("zincins"), catalytic domain	1	148	1.0E-31	T	10-07-2023	IPR023091	Metalloprotease catalytic domain superfamily, predicted
LBYQ01000001.1_25	1e6c7d94e246e6ed7ec95e511bc8ec7b	152	PANTHER	PTHR46986	ENDORIBONUCLEASE YBEY, CHLOROPLASTIC	5	148	2.0E-13	T	10-07-2023	IPR002036	Endoribonuclease YbeY
LBYQ01000001.1_25	1e6c7d94e246e6ed7ec95e511bc8ec7b	152	ProSitePatterns	PS01306	Uncharacterized protein family UPF0054 signature.	115	125	-	T	10-07-2023	IPR020549	Endoribonuclease YbeY, conserved site
LBYQ01000001.1_25	1e6c7d94e246e6ed7ec95e511bc8ec7b	152	SUPERFAMILY	SSF55486	Metalloproteases ("zincins"), catalytic domain	11	146	2.44E-27	T	10-07-2023	-	-
LBYQ01000001.1_25	1e6c7d94e246e6ed7ec95e511bc8ec7b	152	TIGRFAM	TIGR00043	TIGR00043: rRNA maturation RNase YbeY	38	143	1.1E-22	T	10-07-2023	IPR002036	Endoribonuclease YbeY
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	ProSitePatterns	PS00760	Signal peptidases I lysine active site.	85	97	-	T	10-07-2023	IPR019757	Peptidase S26A, signal peptidase I, lysine active site
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	Pfam	PF10502	Signal peptidase, peptidase S26	12	164	7.1E-45	T	10-07-2023	IPR019533	Peptidase S26
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	Gene3D	G3DSA:2.10.109.10	Umud Fragment, subunit A	28	178	2.9E-38	T	10-07-2023	-	-
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	TIGRFAM	TIGR02227	sigpep_I_bact: signal peptidase I	16	166	2.9E-47	T	10-07-2023	IPR000223	Peptidase S26A, signal peptidase I
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	CDD	cd06530	S26_SPase_I	34	159	1.50898E-26	T	10-07-2023	IPR019533	Peptidase S26
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	ProSitePatterns	PS00761	Signal peptidases I signature 3.	131	144	-	T	10-07-2023	IPR019758	Peptidase S26A, signal peptidase I, conserved site
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	PRINTS	PR00727	Bacterial leader peptidase 1 (S26A) family signature	31	47	3.9E-17	T	10-07-2023	IPR000223	Peptidase S26A, signal peptidase I
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	PRINTS	PR00727	Bacterial leader peptidase 1 (S26A) family signature	126	145	3.9E-17	T	10-07-2023	IPR000223	Peptidase S26A, signal peptidase I
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	PRINTS	PR00727	Bacterial leader peptidase 1 (S26A) family signature	83	95	3.9E-17	T	10-07-2023	IPR000223	Peptidase S26A, signal peptidase I
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	SUPERFAMILY	SSF51306	LexA/Signal peptidase	31	172	8.72E-50	T	10-07-2023	IPR036286	LexA/Signal peptidase-like superfamily
LBYQ01000018.1_6	36117ce0ec61d736f36901ce8966525f	183	PANTHER	PTHR43390	SIGNAL PEPTIDASE I	12	169	6.2E-41	T	10-07-2023	IPR000223	Peptidase S26A, signal peptidase I
LBYQ01000001.1_47	1ec0cf395663b52a33733877a974e1ae	459	MobiDBLite	mobidb-lite	consensus disorder prediction	136	150	-	T	10-07-2023	-	-
LBYQ01000001.1_47	1ec0cf395663b52a33733877a974e1ae	459	SUPERFAMILY	SSF50969	YVTN repeat-like/Quinoprotein amine dehydrogenase	160	424	7.38E-8	T	10-07-2023	IPR011044	Quinoprotein amine dehydrogenase, beta chain-like
LBYQ01000001.1_47	1ec0cf395663b52a33733877a974e1ae	459	MobiDBLite	mobidb-lite	consensus disorder prediction	133	160	-	T	10-07-2023	-	-
LBYQ01000001.1_47	1ec0cf395663b52a33733877a974e1ae	459	Pfam	PF08309	LVIVD repeat	213	245	0.0014	T	10-07-2023	IPR013211	LVIVD
LBYQ01000001.1_47	1ec0cf395663b52a33733877a974e1ae	459	Pfam	PF08309	LVIVD repeat	304	341	2.0E-6	T	10-07-2023	IPR013211	LVIVD
LBYQ01000001.1_47	1ec0cf395663b52a33733877a974e1ae	459	Pfam	PF08309	LVIVD repeat	263	290	0.1	T	10-07-2023	IPR013211	LVIVD
LBYQ01000001.1_47	1ec0cf395663b52a33733877a974e1ae	459	Pfam	PF08309	LVIVD repeat	164	203	0.02	T	10-07-2023	IPR013211	LVIVD
LBYQ01000001.1_47	1ec0cf395663b52a33733877a974e1ae	459	Pfam	PF08309	LVIVD repeat	388	424	0.0059	T	10-07-2023	IPR013211	LVIVD
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	Gene3D	G3DSA:3.40.50.10050	-	290	388	2.7E-23	T	10-07-2023	IPR036925	Translation initiation factor IF-2, domain 3 superfamily
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	TIGRFAM	TIGR00487	IF-2: translation initiation factor IF-2	3	473	1.4E-132	T	10-07-2023	IPR000178	Translation initiation factor IF-2, bacterial-like
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	TIGRFAM	TIGR00231	small_GTP: small GTP-binding protein domain	10	134	4.7E-30	T	10-07-2023	IPR005225	Small GTP-binding protein domain
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	ProSitePatterns	PS01176	Initiation factor 2 signature.	434	456	-	T	10-07-2023	IPR000178	Translation initiation factor IF-2, bacterial-like
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	FunFam	G3DSA:3.40.50.300:FF:000019	Translation initiation factor IF-2	4	175	8.5E-74	T	10-07-2023	-	-
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	Pfam	PF11987	Translation-initiation factor 2	270	373	2.1E-23	T	10-07-2023	IPR023115	Translation initiation factor IF- 2, domain 3
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	Gene3D	G3DSA:3.40.50.300	-	5	176	4.0E-62	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	PANTHER	PTHR43381	TRANSLATION INITIATION FACTOR IF-2-RELATED	5	471	3.7E-127	T	10-07-2023	IPR015760	Translation initiation factor IF- 2
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	SUPERFAMILY	SSF50447	Translation proteins	180	255	6.09E-16	T	10-07-2023	IPR009000	Translation protein, beta-barrel domain superfamily
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	SUPERFAMILY	SSF52156	Initiation factor IF2/eIF5b, domain 3	288	391	2.62E-22	T	10-07-2023	IPR036925	Translation initiation factor IF-2, domain 3 superfamily
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	Coils	Coil	Coil	370	390	-	T	10-07-2023	-	-
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	ProSiteProfiles	PS51722	Translational (tr)-type guanine nucleotide-binding (G) domain profile.	7	175	51.566261	T	10-07-2023	IPR000795	Translational (tr)-type GTP-binding domain
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	SUPERFAMILY	SSF50447	Translation proteins	386	473	6.09E-16	T	10-07-2023	IPR009000	Translation protein, beta-barrel domain superfamily
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	FunFam	G3DSA:3.40.50.10050:FF:000001	Translation initiation factor IF-2	284	385	2.2E-20	T	10-07-2023	-	-
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	Gene3D	G3DSA:2.40.30.10	Translation factors	179	289	2.1E-24	T	10-07-2023	-	-
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	CDD	cd01887	IF2_eIF5B	10	172	5.26074E-79	T	10-07-2023	-	-
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	7	170	2.62E-50	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	Pfam	PF00009	Elongation factor Tu GTP binding domain	12	167	3.3E-34	T	10-07-2023	IPR000795	Translational (tr)-type GTP-binding domain
LBYQ01000006.1_9	38a868db3560e0180cae8c51e0a87010	475	Gene3D	G3DSA:2.40.30.10	Translation factors	389	475	8.2E-17	T	10-07-2023	-	-
LBYQ01000003.1_17	27ffcf9c342169cdaddf5649f9c944bd	149	SUPERFAMILY	SSF52080	Ribosomal proteins L15p and L18e	9	147	1.44E-30	T	10-07-2023	IPR036227	Ribosomal L18e/L15P superfamily
LBYQ01000003.1_17	27ffcf9c342169cdaddf5649f9c944bd	149	MobiDBLite	mobidb-lite	consensus disorder prediction	1	68	-	T	10-07-2023	-	-
LBYQ01000003.1_17	27ffcf9c342169cdaddf5649f9c944bd	149	Hamap	MF_01341	50S ribosomal protein L15 [rplO].	3	149	16.834597	T	10-07-2023	IPR030878	Ribosomal protein L15
LBYQ01000003.1_17	27ffcf9c342169cdaddf5649f9c944bd	149	ProSitePatterns	PS00475	Ribosomal protein L15 signature.	114	143	-	T	10-07-2023	IPR001196	Ribosomal protein L15, conserved site
LBYQ01000003.1_17	27ffcf9c342169cdaddf5649f9c944bd	149	Pfam	PF00828	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	25	146	4.6E-24	T	10-07-2023	IPR021131	Ribosomal protein L18e/L15P
LBYQ01000003.1_17	27ffcf9c342169cdaddf5649f9c944bd	149	TIGRFAM	TIGR01071	rplO_bact: ribosomal protein uL15	3	147	5.4E-37	T	10-07-2023	IPR005749	Ribosomal protein L15, bacterial-type
LBYQ01000003.1_17	27ffcf9c342169cdaddf5649f9c944bd	149	Gene3D	G3DSA:3.100.10.10	-	76	149	6.9E-15	T	10-07-2023	-	-
LBYQ01000003.1_17	27ffcf9c342169cdaddf5649f9c944bd	149	PANTHER	PTHR12934	50S RIBOSOMAL PROTEIN L15	3	146	1.4E-25	T	10-07-2023	IPR005749	Ribosomal protein L15, bacterial-type
LBYQ01000006.1_19	aa047bef914fcf5890a56e43fb1bfd04	300	CDD	cd21173	NucC-like	19	237	3.12375E-54	T	10-07-2023	-	-
LBYQ01000006.1_19	aa047bef914fcf5890a56e43fb1bfd04	300	Pfam	PF20247	Domain of unknown function (DUF6602)	28	129	1.0E-27	T	10-07-2023	IPR046537	Domain of unknown function DUF6602
LBYQ01000013.1_22	b6bcbb3fa025193d6d7e279207ff8a54	209	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	29	201	1.53E-33	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
LBYQ01000013.1_22	b6bcbb3fa025193d6d7e279207ff8a54	209	PANTHER	PTHR43591	METHYLTRANSFERASE	28	190	5.6E-20	T	10-07-2023	-	-
LBYQ01000013.1_22	b6bcbb3fa025193d6d7e279207ff8a54	209	Pfam	PF13649	Methyltransferase domain	47	143	3.8E-22	T	10-07-2023	IPR041698	Methyltransferase domain 25
LBYQ01000013.1_22	b6bcbb3fa025193d6d7e279207ff8a54	209	CDD	cd02440	AdoMet_MTases	47	148	3.20208E-12	T	10-07-2023	-	-
LBYQ01000013.1_22	b6bcbb3fa025193d6d7e279207ff8a54	209	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	16	209	7.1E-34	T	10-07-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	PANTHER	PTHR11252	POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE	5	717	1.9E-256	T	10-07-2023	IPR012162	Polyribonucleotide nucleotidyltransferase
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SUPERFAMILY	SSF50249	Nucleic acid-binding proteins	623	694	4.99E-17	T	10-07-2023	IPR012340	Nucleic acid-binding, OB-fold
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Gene3D	G3DSA:2.40.50.140	-	621	693	7.8E-21	T	10-07-2023	IPR012340	Nucleic acid-binding, OB-fold
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like	302	468	9.11E-47	T	10-07-2023	IPR020568	Ribosomal protein S5 domain 2-type fold
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	MobiDBLite	mobidb-lite	consensus disorder prediction	702	726	-	T	10-07-2023	-	-
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Gene3D	G3DSA:3.30.1370.10	K Homology domain, type 1	553	620	2.0E-24	T	10-07-2023	IPR036612	K Homology domain, type 1 superfamily
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	CDD	cd02393	KH-I_PNPase	554	623	2.85363E-27	T	10-07-2023	-	-
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SUPERFAMILY	SSF46915	Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3	227	326	2.49E-11	T	10-07-2023	IPR036456	Polyribonucleotide nucleotidyltransferase, RNA-binding domain superfamily
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SUPERFAMILY	SSF55666	Ribonuclease PH domain 2-like	138	230	3.53E-22	T	10-07-2023	IPR036345	Exoribonuclease, PH domain 2 superfamily
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Pfam	PF00575	S1 RNA binding domain	622	692	5.1E-15	T	10-07-2023	IPR003029	S1 domain
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Gene3D	G3DSA:3.30.230.70	-	2	236	5.4E-74	T	10-07-2023	IPR027408	PNPase/RNase PH domain superfamily
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	TIGRFAM	TIGR03591	polynuc_phos: polyribonucleotide nucleotidyltransferase	11	692	4.8E-265	T	10-07-2023	IPR012162	Polyribonucleotide nucleotidyltransferase
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	CDD	cd11364	RNase_PH_PNPase_2	323	547	4.20193E-127	T	10-07-2023	-	-
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	ProSiteProfiles	PS50126	S1 domain profile.	625	693	18.626225	T	10-07-2023	IPR003029	S1 domain
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SUPERFAMILY	SSF55666	Ribonuclease PH domain 2-like	450	550	1.57E-25	T	10-07-2023	IPR036345	Exoribonuclease, PH domain 2 superfamily
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	ProSiteProfiles	PS50084	Type-1 KH domain profile.	556	615	13.942198	T	10-07-2023	-	-
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Pfam	PF03725	3' exoribonuclease family, domain 2	147	210	3.9E-12	T	10-07-2023	IPR015847	Exoribonuclease, phosphorolytic domain 2
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Pfam	PF03725	3' exoribonuclease family, domain 2	460	532	1.1E-7	T	10-07-2023	IPR015847	Exoribonuclease, phosphorolytic domain 2
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SMART	SM00322	kh_6	555	620	1.4E-13	T	10-07-2023	IPR004087	K Homology domain
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Pfam	PF01138	3' exoribonuclease family, domain 1	15	144	1.1E-18	T	10-07-2023	IPR001247	Exoribonuclease, phosphorolytic domain 1
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Pfam	PF01138	3' exoribonuclease family, domain 1	324	456	2.4E-19	T	10-07-2023	IPR001247	Exoribonuclease, phosphorolytic domain 1
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SUPERFAMILY	SSF54791	Eukaryotic type KH-domain (KH-domain type I)	559	643	2.5E-21	T	10-07-2023	IPR036612	K Homology domain, type 1 superfamily
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Pfam	PF00013	KH domain	559	616	1.1E-11	T	10-07-2023	IPR004088	K Homology domain, type 1
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	MobiDBLite	mobidb-lite	consensus disorder prediction	693	726	-	T	10-07-2023	-	-
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	CDD	cd11363	RNase_PH_PNPase_1	6	233	4.94394E-110	T	10-07-2023	-	-
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Hamap	MF_01595	Polyribonucleotide nucleotidyltransferase [pnp].	3	696	26.933182	T	10-07-2023	IPR012162	Polyribonucleotide nucleotidyltransferase
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	Gene3D	G3DSA:3.30.230.70	-	238	552	8.6E-118	T	10-07-2023	IPR027408	PNPase/RNase PH domain superfamily
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SMART	SM00316	S1_6	623	693	2.4E-20	T	10-07-2023	IPR022967	RNA-binding domain, S1
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	FunFam	G3DSA:3.30.1370.10:FF:000001	Polyribonucleotide nucleotidyltransferase	553	621	5.2E-23	T	10-07-2023	-	-
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like	4	144	8.1E-42	T	10-07-2023	IPR020568	Ribosomal protein S5 domain 2-type fold
LBYQ01000006.1_6	f0c69374e6f42fbd6570a0e587296ab3	726	FunFam	G3DSA:3.30.230.70:FF:000001	Polyribonucleotide nucleotidyltransferase	3	234	1.7E-87	T	10-07-2023	-	-
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	Gene3D	G3DSA:3.90.79.10	Nucleoside Triphosphate Pyrophosphohydrolase	2	154	3.0E-51	T	10-07-2023	-	-
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	Pfam	PF00293	NUDIX domain	13	124	2.5E-14	T	10-07-2023	IPR000086	NUDIX hydrolase domain
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	ProSitePatterns	PS00893	Nudix box signature.	35	56	-	T	10-07-2023	IPR020084	NUDIX hydrolase, conserved site
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR01403	7,8-dihydro-8-oxoguanine triphosphatase signature	80	99	1.7E-43	T	10-07-2023	IPR003563	Oxidized purine nucleoside triphosphate
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR01403	7,8-dihydro-8-oxoguanine triphosphatase signature	137	152	1.7E-43	T	10-07-2023	IPR003563	Oxidized purine nucleoside triphosphate
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR01403	7,8-dihydro-8-oxoguanine triphosphatase signature	19	35	1.7E-43	T	10-07-2023	IPR003563	Oxidized purine nucleoside triphosphate
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR01403	7,8-dihydro-8-oxoguanine triphosphatase signature	100	118	1.7E-43	T	10-07-2023	IPR003563	Oxidized purine nucleoside triphosphate
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR01403	7,8-dihydro-8-oxoguanine triphosphatase signature	2	19	1.7E-43	T	10-07-2023	IPR003563	Oxidized purine nucleoside triphosphate
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR01403	7,8-dihydro-8-oxoguanine triphosphatase signature	59	80	1.7E-43	T	10-07-2023	IPR003563	Oxidized purine nucleoside triphosphate
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR01403	7,8-dihydro-8-oxoguanine triphosphatase signature	119	137	1.7E-43	T	10-07-2023	IPR003563	Oxidized purine nucleoside triphosphate
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR00502	NUDIX hydrolase family signature	30	44	7.7E-6	T	10-07-2023	IPR020476	NUDIX hydrolase
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	PRINTS	PR00502	NUDIX hydrolase family signature	44	59	7.7E-6	T	10-07-2023	IPR020476	NUDIX hydrolase
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	SUPERFAMILY	SSF55811	Nudix	6	139	9.07E-28	T	10-07-2023	IPR015797	NUDIX hydrolase-like domain superfamily
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	ProSiteProfiles	PS51462	Nudix hydrolase domain profile.	1	127	12.788563	T	10-07-2023	IPR000086	NUDIX hydrolase domain
LBYQ01000001.1_60	31428cda3278d2bb9823ad05f5426e66	154	CDD	cd03427	MTH1	3	137	2.35244E-56	T	10-07-2023	-	-
