pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG4563	Bacteria	451	385	3	20	-; 32 kDa protein; Hoc; Hoc head outer capsid protein; IG-like virion protein; Ig domain-containing protein; Ig-like domain containing protein; Ig-like domain-containing protein; Ig-like phage tail protein; Ig-like virion protein; ORF023; ORF024; ORF028; ORF031; ORF178; PKD domain protein; Phi92_gp152; Putative head outer capsid protein; Hoc; Putative tail protein; TP901-1 family major tail protein; TmpH; TmpI; Tsh; bacteriophage major tail protein; Lambda gpV homolog; bacteriophage major tail subunit; Lambda gpV homolog; capsid and scaffold protein; capsid decorating protein; capsid decoration protein; capsid protein; cell adhesion domain-containing protein; chitinase; conserved structural protein; decorating protein; decoration protein; fibronectin type III domain protein; gene transfer aget (GTA) orfg9-like phage major tail protein; gp008; gp055; gp108; gp11; gp12; gp13; gp145; gp154; gp154.1; gp155; gp16; gp77; head outer capsid protein; head protein; hoc head outer capsid protein; hydrolase domain protein; hypothetical protein; hypothetical protein, contains bacterial Ig-like and invasin/intimin cell-adhesion domains; ig-like virion protein; immunoglobulin I-set domain protein; kappa-carrageenase precursor; large head outer capsid protein; large outer capsid protein; main tail protein; main tail protein gp19; major capsid protein; major capsid protein gpP; major tail protein; major tail protein 2; major tail protein V; major tail protein2; major tail shaft protein; major tail subunit; minor capsid protein; minor capsid protein 10B; minor tail protein; minor tail protein V; multidomain protein; neck whiskers protein; outer capsid protein; outer capsid protein Hoc; phage capsid and scaffold; phage capsid and scaffold protein; phage capsid and scaffold protein [Enterobacteria phage ime09]; phage neck whiskers; phage protein; phage related protein; phage tail protein; putative DNA polymerase; putative Ig domain-containing protein; putative Ig-like domain-containing protein; putative Ig-like protein; putative bacterial adhesin/Ig-like protein; putative bacteriophage major tail protein; Lambda gpV homolog; putative capsid decorating protein; putative capsid decoration protein; putative head outer capsid protein, Hoc; putative major capsid protein; putative major tail protein; putative major tail shaft protein; putative major tail subunit; putative phage major tail protein; putative phage structural protein; putative phage tail fiber; putative predicted product; putative split head outer capsid protein; putative structural protein; putative structural protein with bacterial Ig-like domain group 2; putative tail component; putative tail fiber; putative tail fibre; putative tail morphogenetic protein; putative tail morphogenetic protein (Ig-like domain); putative tail protein; putative tail shaft protein; putative tail shaft protein Tsh; structural protein; tail component; tail fiber; tail fiber (whisker) protein; tail fiber protein; tail protein; tail shaft protein; unknown; unknown structural protein; whisker protein	Partial union of: POG0137; POG0470; POG2286; POG1524; POG0699; POG0138; POG0841; POG1268; POG4454; POG2472
VOG4564	Bacteria+Archaea	407	406	3	18	AB1gp27; F-like head morphogenesis protein; HmpH; Mu gpF-like protein; MuF-like protein; ORF009; ORF011; ORF012; ORF013; ORF014; ORF33; Pas6; Phage minor capsid protein; SPP1 family phage head morphogenesis protein; capsid; capsid and scaffold protein; capsid morphogenesis protein; coat protein; gp12; gp13; gp16; gp17; gp18; gp20; gp25 putative head protein; gp27; gp284; gp4; gp6; gp7; gpF-like protein; head morphogenesis; head morphogenesis domain protein; head morphogenesis protein; head morphogenesis/minor structural protein; head protein; hypothetical protein; hypothetical protein ORF008; hypothetical protein ORF015; hypothetical protein ORF018; minor capsid protein; minor head protein; minor head protein-like; minor head protein-like protein; minor structural protein; morphogenesis protein; orf7; phage Mu protein F-like protein; phage head morphogeneisis protein; phage head morphogenesis; phage head morphogenesis protein; phage head protein; phage minor capsid protein; phage minor head protein; phage putative head morphogenesis protein; phi Mu50B-like protein; prohead assembly protein; prohead protease; prophage minor head protein; protein F-like protein; protein of unknown function; putative NAD-asparagine ribosyltransferase; putative capsid morphogenesis protein; putative capsid protein; putative head assembly protein; putative head morphogenesis domain protein; putative head morphogenesis protein; putative head morphogenesis protein, SPP1 gp7 family; putative head protein; putative head protein, SPP1 gp7 family; putative minor capsid protein; putative minor head protein; putative phage head morphogenesis protein; putative phage head protein; putative phage minor capsid protein; putative phage minor head protein; putative predicted product; putative structural protein; similar to phage Spp1 gp7 (product required for head morphogenesis); structural phage protein	Partial union of: POG0721; POG1913; POG2799; POG4225; POG2615
VOG4565	Bacteria	407	406	3	25	1,4-beta-N-acetylmuramidase; Gp19; Lys; LysN; Lysin (lysozyme); Lysozyme; Lysozyme murein hydrolase; Lyz; N-acetylmuramoyl-L-alanine amidase; P13; P28; Phage lysozyme; Phage-related lysozyme; Phi92_gp061; R; SAR domain lysozyme; SAR endolysin; T4-like lysozyme; T4-like lyzozyme; T4-like phage baseplate hub + tail lysozyme; bacteriophage lysin protein; endolysin; bacteriophage lysis protein; endolysin; lysozyme; baseplate hub protein; baseplate hub subunit and tail lysozyme; cell lysis protein; chain A, crystal structure of T4 lysozyme mutant T152v; e; e Lysozyme murein hydrolase; e lysozyme; e lysozyme murein hydrolase; endolysin; gene 19 protein; glycoside hydrolase family protein; gp03 R; gp15 putative lysozyme; gp19; gp24; gp25, phage lysozyme; gp54; gp56; gp58; gp76; gp8; hypothetical phage-related lysozyme; hypothetical protein; hypothetical protein ORF033; lys; lysin; lysis protein; lysis protein, lysozyme; lysozyme; lysozyme [Escherichia phage wV7]; lysozyme murein hydrolase; lysozyme murein hydrolase E; lysozyme murein hydrolase e; lysozyme protein R; lysozyme-like domain; lysozyme-like protein; morphogenesis protein; morphogenesis protein B; muraminidase; p28; peptidoglycan hydrolase; phage SAR endolysin; phage baseplate hub; phage baseplate hub [Enterobacteria phage ime09]; phage endolysin; phage lysozyme; phage related lysozyme; phage-type lysozyme; predicted phage lysozyme; prophage lysozyme; Phage lysin; putative R protein; putative SAR endolysin; putative bacteriophage T4-like lysozyme; putative baseplate hub protein; putative endolysin; putative endolysin R; putative endolysin/autolysin; putative lysin; putative lysis protein; putative lysozyme; putative lysozyme protein, glycoside hydrolase family; putative lyzozyme; putative phage lysozyme; putative phage-related lysozyme; putative predicted product; putative soluble lysozyme; putative ysozyme; soluble lysozyme	Partial union of: POG0225; POG0732
VOG4566	Bacteria	394	393	3	19	77ORF016; AB1gp53; DNA damage-inducible protein; DNA replication initiation protein O; DNA replication protein; DNA replication protein O; DNA-binding protein; DNAD domain protein; DnaA; DnaA analog, DnaD domain protein; DnaB/DnaD family replication initiation and membrane attachment protein; DnaD; DnaD and phage-associated domain protein; DnaD domain protein; DnaD domain-containing protein; DnaD protein; DnaD-like replication protein; DnaD/DnaB repication protein; DnaD/DnaB replication protein; Gp18; Gp34 protein; Gp54; HTH DNA binding domain protein; N-terminal phage replisome organiser; O; O protein; O protein family protein; ORF012; ORF014; ORF015; ORF016; ORF017; ORF018; ORF019; ORF4; Phage replication initiation; Phage replication protein; PrpO; Putative replication protein O; REP; Rep protein; bacteriophage DNA replication protein; Lambda gpo homolog; bacteriophage replication protein O; chromosome replication initiation protein DnaD; conserved hypothetical protein; dD and phage-associated domain protein; gene 18 protein; gene 43 protein; gene O protein; gp11; gp18; gp19; gp32; gp37; gp43; gp45; gp46; gp49; gp52; gp59; gp60; gp71; gp74; gp81; helix-turn-helix domain containing protein; helix-turn-helix domain protein; hypothetical protein; origin specific replication initiation factor; phage regulatory protein; phage replication protein; phage replication protein DnaD; phage replication protein O; phage replisome organizer protein, putative; phi ETA orf 22-like protein; phi PV83 orf 20-like protein; primosomal protein 1; primosomal protein I; primosome; primosome component-like protein; primosome protein; putative DNA binding protein; putative DNA replication protein; putative DNA replication protein O; putative DnaA recombination protein; putative DnaD; putative DnaD protein; putative dnaA analog; putative phage O family protein; putative phage replication protein; putative phage replisome organizer; putative phage replisome organizer protein; putative predicted product; putative primosomal protein; putative primosome component; putative primosome component-like protein; putative regulatory protein; putative replicase; putative replication initiation protein; putative replication initiator protein; putative replication initiator protein A; putative replication protein; putative replication protein O; putative replisome organizer; recombinase; regulatory protein; rep protein; rep_org_N domain protein; replication initiation; replication initiation and membrane attachment; replication initiation protein; replication initiation protein 15; replication initiator protein A; replication protein; replication protein DnaD; replication protein O; replication protein gp46; replisome organizer; similar to O protein of bacteriophage HK022; similar to phage r1t ORF11	Partial union of: POG0636; POG0516; POG0515; POG0858; POG0187; POG0619; POG0289; POG2082; POG0829; POG0738; POG0188; POG0708; POG3489; POG0290; POG4331; POG1310; POG1239; POG0599; POG2093; POG3587; POG2229; POG1944
VOG4567	Bacteria+Archaea	380	355	3	27	AdoMet-MTase; C-5 cytosine-specific DNA methylase; C-5 cytosine-specific DNA methylase I; C-5 cytosine-specific DNA methylase II; C5 cytosine-specific DNA methylase; C5 methyltransferase alpha subunit; DNA (cytosine-5-)-methyltransferase; DNA cytosine methyltransferase; DNA methylase; DNA methyltransferase; DNA methyltransferase domain protein; DNA-cytosine methyltransferase; DNA-cytosine methyltransferase-like protein; DNA-cytosine-methyltransferase; DNA_methylase domain protein; Dam; Dcm; Dcm methylase; Dmt; Gp42; M.PhiCh1-II; Methyltransferase; Mth; Phi92_gp043; Putative DNA methylase; conserved phage protein; cytosine DNA methylase; cytosine methyl transferase; cytosine methylase; cytosine methyltransferase; cytosine-specific methyltransferase; gp112; gp12; gp121; gp127; gp30; gp301; gp32; gp47; gp54; gp56; gp58; gp6; gp64; gp65; gp67; gp69; gp7; gp70; gp71; gp72; gp74; gp75; gp76; gp77; gp78; gp79; gp80; gp81; gp82; gp83; gp84; gp87; gp88; gp9.1; gp90; gp91; gp92; hyphothetical protein; hypothetical protein; hypothetical protein ORF028; methylase; methyltransferase; modification methylase; modification methylase HhaI; modification methylase NgoFVII; phage protein; probable DNA methylase; putative BsuMI modification methylase subunit YdiP; putative C-5 cytosine DNA methylase; putative C-5 cytosine-specific DNA methylase; putative C-5 cytosine-specific DNA methylase I; putative C-5 cytosine-specific DNA methylase II; putative C-5 cytosine-specific DNA methylase III; putative C-specific methylase; putative C5 methylase MarMP; putative DNA cytosine C5 methyltransferase; putative DNA cytosine methyltransferase; putative DNA methylase; putative DNA methylase 1; putative DNA methylase protein; putative DNA-methyltransferase; putative DNA-methyltransferase, type II restriction-modification system; putative DNA-methyltransferase, type II restriction-modification system (Enterobacteria phage RB16); putative S-adenosylmethionine-dependent methyltransferases; putative cytosine-C5 specific DNA methylase; putative methyl transferase protein; putative methylase; putative modification methylase; putative phage DNA modification methylase; putative predicted product; putative site specific DNA methylase; putative site-specific DNA methylase; putative site-specific DNA-methylase; site specific DNA modification methylase Dcm; site-specific DNA methylase	Partial union of: POG0191; POG2509; POG1340; POG3414
VOG4568	Bacteria	371	368	2	15	LEMA protein; ORF040; Pro; Pro-head protease; assembly protease; capsid maturation protease; capsid protease; coat protein; conserved uncharacterised protein; gene transfer agent prohead protease; gp10; gp12; gp13; gp14; gp142; gp15; gp3.2; gp35; gp4; gp5; gp5, head maturation protease; gp6; gp84; gp86; gp9; head maturation protease; head protease; hypothetical protein; l5; major capsid protein; p004; phage capsid and scaffold; phage head maturation protease; phage prohead; phage prohead protease; phage prohead protease protein; portal protein; probable prohead protease; procapsid protease; prohead maturation protease; prohead peptidase; prohead protease; prohead protease protein; prohead protease, HK97 family; prohead protein; protease; putative Caudovirales phage prohead protease; putative ClpP protease; putative capsid maturation peptidase; putative capsid maturation protein; putative head maturation protease; putative head protease; putative phage pro-head protease; putative phage prohead protease; putative portal protein; putative predicted product; putative prehrad protease; putative prohead peptidase; putative prohead protease; putative prohead protein; putative protease; putative structural caudovirus prohead protease; structural protein; tape measure protein	Partial union of: POG0060; POG1848; POG2818
VOG4569	Bacteria	363	363	2	6	Gp15; Minor tail protein; Putative minor tail protein; distal tail protein; gp15; gp17; gp18; gp20; gp21; gp22; gp23; gp24; gp25; gp26; gp27; gp28; gp29; gp30; gp31; gp39; gp46; gp47; hypothetical protein; miinor tail protein; minor tail protein; minor tail subunit; phage tail protein; putative minor tail protein; putative minor tail subunit; putative tail protein; structural minor tail protein; structural protein; structural protein/ putative minor tail protein; tail protein; tail subunit; virion protein	Partial union of: POG1164; POG1588; POG2047
VOG4570	Bacteria+Archaea	359	357	3	14	ABC transport-like domain protein; Calcineurin-like phosphoesterase superfamily domain protein; DNA PolI-like protein; DNA polymerase; DNA polymerase I; DNA polymerase II small subunit; DNA repair exonuclease; GcrA cell cycle regulator; Gp27; HTH domain protein; Mre11 nuclease; ORF020; ORF020 Staphylococcus phi-Twort-like protein; YonJ-like protein; conserved hypothetical protein; endonuclease subunit; exonuclease; gp113; gp12; gp148; gp151; gp157; gp163; gp165; gp166; gp175; gp176; gp27; gp35; gp36; gp58; gp66; gp80; hypothetical protein; hypothetical protein RDJLphi1_gp04; metal-dependent hydrolase; metallo-dependent phosphatase; metallophosphatase; metallophosphoesterase; metallophosphoesterase domain containing protein; metallophosphoesterase domain-containing protein; p044; phosphatase; phosphoesterase; prophage protein; putative DNA polymerase; putative DNA polymerase 1; putative DNA polymerase II small subunit; putative DNA repair exonuclease; putative DNA repair nuclease; putative metal-dependent hydrolase; putative metallo-dependent phosphatase; putative metallo-dependent phosphatase 2; putative metallophosphatase; putative metallophosphoesterase; putative oxidoreductase; putative phosphoesterase; putative predicted product; putative prophage protein; putative recombination endonuclease subunit protein; putative serine/threonine protein phosphatase; recombination exonuclease; recombination nuclease; similar to YonJ	Partial union of: POG0140; POG1059
VOG4571	Bacteria+Archaea	351	328	4	21	Cytosine methylase, similar to N4-cytosine methylase; DNA adenine methylase; DNA adenine methylase Mox; DNA adenine-methylase; DNA methyl transferase; DNA methylase; DNA methylase family protein; DNA methylase/helicase; DNA methyltransferase; DNA modification methylase; DNA-methylase; M.PhiCh1-III; Mod; Modification methylase BamHI; N-6 adenine-specific DNA methylase; ORF10; ORF13; ORF17; Phi92_gp155; Possible phage DNA methylase; adenine DNA methyltransferase; adenine methyltransferase; adenine-specific DNA methyltransferase; adenine-specific methyltransferase; cytosine MTase; cytosine methyltransferase; cytosine specific DNA methyltransferase; gp10; gp100; gp142; gp151; gp155; gp20; gp28; gp37, DNA methylase; gp40, DNA methylase; gp42; gp52; gp53 protein; gp54 protein; gp55; gp57; gp59; gp60; gp61; gp62; gp66; gp67; gp70; gp71; gp72; gp73; gp75; gp76; gp77; gp78; gp79; gp96; gp97; gp98; gp99; hypothetical protein; methylase; methyltransferase; modification methylase; modification methylase BamHI; modification methylase BamHII; modification methylase DpnIIB; modification methylase RSRI; nuclease; p097; possible methylase; putative DNA adenine methylase; putative DNA cytosine methylase; putative DNA methyl transferase; putative DNA methylase; putative DNA methylase 2; putative DNA methylase N-4/N-6; putative DNA methylase N-4/N-6 domain protein; putative DNA methylase/helicase; putative DNA methyltransferase; putative DNA modification methylase; putative DNA-cytosine methyltransferase; putative N-4 cytosine-specific methyltransferase; putative N-6 adenine-specific DNA methylase; putative N4-cytosine methylase; putative N6-methyltransferase; putative N6A methyltransferase; putative adenine methyltransferase; putative adenine methyltransferase [Escherichia phage 2 JES-2013]; putative adenine-specific DNA methyltransferase; putative adenine-specific methyltransferase; putative methylase; putative methyltransferase; putative modification methylase HindIII; putative predicted product; putative site-specific DNA-methyltransferase or methylase; putative type II restriction modification system, methylation subunit; site-specific DNA-methyltransferase; transferase	Partial union of: POG0990; POG0222
VOG4572	Bacteria	349	334	3	13	31; CBM_5_12 domain protein; Capsid; Capsid protein; Coat protein; Cps; Gp5; Gp6-like protein; Gp7; Major Capsid; ORF011; ORF012; P22 coat protein; P22 coat protein 5; P22 coat-protein 5 family protein; PfWMP4_37; Phage capsid and scaffold; T7-like capsid protein; capsid and scaffold protein; capsid protein; carbohydrate binding domain protein; coat protein; conserved phage protein; gene 5 protein; gp10A; gp10a; gp18; gp22; gp27; gp30; gp6; gp7; gp8; head protein; hypothetical protein; hypothetical protein ORF044; main capsid protein; major capsid; major capsid protein; major capsid protein 10A; major capsid protein gp34; major capsid-like protein; major head protein; major/minor capsid protein; minor capsid protein; minor capsid protein 10B; p22 coat protein; phage capsid and scaffold protein; phage capsid protein; phage coat protein gp6; phage major head protein; predicted major capsid protein; predicted minor capsid protein; predicted minor capside protein; predicted translation by a-1 internal frameshift converts CR44b_39 in CR44b_40; predicted phage capsid protein; putative capsid coat protein; putative capsid protein; putative carbohydrate binding domain protein; putative coat protein; putative main capsid protein; putative major capsid; putative major capsid protein; putative major capsid-like protein; putative major head protein; putative minor capsid protein; putative phage major capsid protein; putative predicted product; virion structural protei	Partial union of: POG0032; POG0256; POG1264; POG0137
VOG4573	Bacteria	344	337	3	21	36K type signal peptide peptidase SppA; 77ORF015; ATP-dependent Clp endopeptidase; ATP-dependent Clp endopeptidase proteolytic subunit; ATP-dependent Clp protease; ATP-dependent Clp protease proteolytic subunit; ATP-dependent Clp protease proteolytic subunit 1; ATP-dependent Clp protease proteolytic subunit 2; ATP-dependent endopeptidase clp proteolytic subunit clpP; ATP-dependent protease; ATP-dependent protease subunit; CLP protease; ClP protease; CliP protease; Clp protease; Clp protease-like protein; Clp protein; Clp proteolytic subunit-like protein; Clp-like protease; ClpP; ClpP ATP-dependent protease subunit; ClpP family protein; ClpP protease; ClpP-like protease; ClpP-like protein; ORF013; ORF015; ORF016; ORF24; ORF25; P05; Predicted clp-protease; Probable phage ClpP protease; S14 family endopeptidase ClpP; S49 family serine protease; SohB protein; bacteriophage prohead protease; Lambda gpC homolog; capsid component; capsid maturation protease; capsid protein; capsid serine protease; clp protease; clp protease family protein; clpP protease; gp05 protein; gp100; gp101; gp102; gp103; gp140; gp150; gp152; gp159; gp163; gp257; gp4; gp5; gp5, prophage LambdaMc01, peptidase, U7 family; gp58; gp65; gp68; gp7; gp77; gp86; gp90; gp98; gp99; head maturation protease; head maturation protease C; hypothetical protein; p08; peptidase; peptidase S14; peptidase S14 ClpP; peptidase S49; periplasmic serine protease; periplasmic serine proteases (ClpP class); prohead Clp protease; prohead protease; prohead protease ClpP; prohead protease-like protein; prophage Clp protease-like protein; protease; protease domain protein; protease of the ClpP family; protease subunit of ATP-dependent Clp protease; protease-like protein; protease/scaffold protein; protease/scaffold protein gp4; putative ATP-dependent Clp protease; putative ATP-dependent Clp protease proteolytic subunit; putative ATP-dependent Clp protease subunit; putative ATP-dependent ClpP protein; putative ATP-dependent protease subunit; putative ATP-dependent protease subunit P; putative Clp peptidase; putative Clp protease; putative Clp protease protein; putative ClpP ATP-dependent protease subunit; putative ClpP ATP-dependent protease subunit [Escherichia phage 2 JES-2013]; putative ClpP protease; putative ClpP-like protease; putative capsid assembly protein/protease; putative capsid protein; putative endopeptidase; putative head maturation protease; putative pahge ClpP protease; putative peptidase; putative periplasmic serine protease; putative phage ClpP protease; putative predicted product; putative prohead protease; putative prohead protease ClpP; putative protease; putative protease subunit; putative scaffold protein; putative scaffolding protein; putative scaffolding protein/Clp protease; putative signal peptide peptidase; scaffolding protein; signal peptide peptidase A	Partial union of: POG0304; POG0834
VOG4574	Bacteria	342	339	3	9	Gp20; LysA; endolysin; gp20; gp236; gp239; gp240; gp242; gp246; gp247; gp248; gp249; gp25; gp250; gp254; gp256; gp257; gp27; gp29; gp29 LysA; gp30; gp31; gp32; gp35; gp37; gp39; gp40; gp41; gp42; gp43; gp44; gp46; gp47; gp48; gp49; gp50; gp51; gp67; gp69; hypothetical protein; lysA; lysin; lysin A; lysozyme; minor tail protein; negative regulator of beta-lactamase expression; putative LysA; putative amidase; putative endolysiin; putative endolysin; putative lysin; putative lysozyme	Partial union of: POG0110; POG1202; POG1203; POG0728; POG1204; POG0056; POG1368
VOG4575	Bacteria	336	336	2	8	Calcineurin-like phosphoesterase superfamily domain protein; DNA repair exonuclease; Gp47 recombination protein subunit; ORF027; ORF065; Putative recombination endonuclease subunit; RncA; SbcD type exonuclease; calcineurin-like phosphoesterase superfamily domain protein; endonuclease; endonuclease subunit; exonuclease; exonuclease II; exonuclease subunit 1; exonuclease subunit D; gp116; gp21.3; gp356; gp47; gp47 endonuclease subunit; gp47 recombination endonuclease; gp47 recombination endonuclease subunit; gp48; gp70; hypothetical protein; metallophosphatase; metallophosphoesterase; nuclease SbcCD subunit D; nuclease SbcCD subunit D-like protein; nuclease SbcCD, D subunit; phage recombination-related endonuclease Gp47; phage recombination-related endonuclease subunit; phosphatase; phosphoesterase; putative DNA repair exonuclease; putative DNA repair exonuclease protein, subunit 1; putative SbcD; putative SbcD-type recombination nuclease; putative endonuclease; putative endonuclease gp47; putative endonuclease subunit; putative exonuclease; putative exonuclease 2; putative exonuclease II; putative exonuclease SbcCD D subunit; putative exonuclease subunit 1; putative metaldependent exonuclease; putative nuclease SbcCD D subunit; putative predicted product; putative recombination endonuclease; putative recombination endonuclease subunit; putative recombination endonuclease subunit D12; putative recombination endonuclease subunit [Shigella phage Shfl2]; putative recombination endonuclease, subunit D12; putative recombination exonuclease; putative recombination protein subunit; putative recombination subunit D12; recombination endonucelase Gp47; recombination endonuclease; recombination endonuclease like protein; recombination endonuclease subunit; recombination endonuclease subunit [Enterobacteria phage vB_EcoM_ACG-C40]; recombination endonuclease sunbunit; recombination exonuclease; recombination nuclease; recombination protein; recombination protein subunit; recombination-related endonuclease; recombination-related endonuclease II; recombination/repair endonuclease subunit	Partial union of: POG0082; POG0386; POG3975
VOG4576	Bacteria	334	334	3	7	Capsid Maturation Protease; DNA-binding protein; Gp4; Head Assembly Protease; capsid assembly protease; capsid maturation protease; capsid maturation protein; capsid morphogenesis protein; conserved possible DNA-binding protein; gp10; gp11; gp12; gp13; gp14; gp15; gp16; gp17; gp20; gp28; gp35; gp4; gp5; gp6; head maturation protease; hypothetical protein; protease; putative DNA-binding protein	Partial union of: POG1579; POG2158; POG2563; POG2985
VOG4577	Bacteria+Archaea	306	305	3	5	ATPase; B-family DNA-polymerase; BcepGomrgp26; DNA Polymerase; DNA polymerase; DNA polymerase B; DNA polymerase B region; DNA polymerase B region protein; DNA polymerase I; DNA polymerase II; DNA polymerase [Escherichia phage wV7]; DNA polymerase elongation subunit (family B); DNA polymerase elongation subunit 1; DNA polymerase elongation subunit 1 [Enterobacteria phage 9g]; DNA polymerase family B exonuclease domain protein; DNA polymerase family B, exonuclease domain protein; DNA polymerase subunit; DNA polymerase subunit A; DNA polymerase, phage-associated; DNA primase; DNA-directed DNA polymerase type II; Gp43 DNA polymerase; PolB elongation subunit; Possible phage DNA polymerase; Putative DNA polymerase; core DNA polymerase of replisome; gp105; gp31; gp33; gp43 DNA polymerase; gp43A core DNA polymerase of replisome; gp43A split DNA polymerase; gp60; gp69; hypothetical protein; hypothetical protein ORF026; phage-associated DNA polymerase; putative DNA polymerase; putative DNA polymerase gp43; putative DNA polymerase protein; putative DNA polymerase subunit; putative DNA-dependent DNA polymerase; putative predicted product; putative split hinge connector of DNA polymerase; similar to DNA-directed DNA polymerase; split DNA polymerase	Partial union of: POG0359; POG1291
VOG4578	Bacteria	290	289	2	2	Gp35; Hypothetical Protein; RecB; gp15; gp16; gp17; gp18; gp19; gp20; gp21; gp22; gp23; gp35; gp68; head to tail connector; head-tail connector; head-to-tail connector; head-to-tail connector protein; hypothetical protein; putative predicted product	Partial union of: POG1582; POG1158
VOG4579	Bacteria	289	138	3	14	DNA-binding protein; HNH endonuclease domain protein; HNH homing endonuclease III; Hef-like homing endonuclease; Hef15; Hef168; Hef34; Hef53; Hef58; Hef59; Hef60; Hef71; Hef73; Hef74; Hef85; I-MsaI; Ioh; ORF018; ORF031; P15; Phi92_gp222; Possible homing endonuclease; VSR homing endonuclease; conserved phage protein; exonuclease ABC C subunit; group I intron; group I intron protein; homing endonuclease; hypothetical group I intron protein; hypothetical protein; putative HNH nuclease; putative Hef-like homing endonuclease; putative group 1 intron; putative group I intron protein; putative holliday junction resolvase; putative homing endonuclease; putative homing endonuclease F-LimIII; putative homing endonuclease F-LimVII; putative homing endonuclease F-LimVIII; putative homing endonuclease F-LimX; putative intron-encoded nuclease; putative predicted product	Partial union of: POG0262; POG0358; POG0383; POG1360; POG0361; POG1830; POG0357; POG0360
VOG4580	Bacteria	271	271	3	13	gp019; gp21; gp22; gp23; gp24; gp28; gp29; gp30; gp31; gp32; gp33; gp34; gp35; gp36; gp38; gp39; gp40; gp41; gp42; hypothetical protein; major capsid protein; minor tail protein; minor tail subunit; portal protein; virion associated protein; virion-associated phage protein	Partial union of: POG1205; POG1118; POG2394
VOG4581	Bacteria	260	258	3	10	HNH endonuclease; ORF037; ORF038; ORF043; ORF079; ORF21; Orf38; Orf40; P27 family phage terminase small subunit; P27 family terminase small subunit; PhaC_N domain protein; TerS; gp1; gp1, phage terminase, small subunit, P27 family; gp138; gp166; gp31; gp5; gp6; gp7; gp97; gpORF140; hypothetical protein; phage terminase small subunit; phage terminase small subunit, P27 family; phage terminase, small subunit, P27 family; phage terminase-small subunit; phi PVL orf 4-like protein; putative phage terminase small subunit; putative predicted product; putative small subunit terminase; putative small terminase; putative small terminase subunit; putative structural protein; putative terminase (small subunit); putative terminase small subunit; putative terminase subunit; small subunit terminase; small terminase subunit; structural protein; terminase; terminase small subunit; terminase subunit; terminase-small subunit; virion component	Partial union of: POG0200; POG0146
VOG4582	Bacteria	232	228	3	3	RER2; RGL3; Tail assembly chaperone; gp14; gp15; gp17; gp18; gp19; gp20; gp20-gp21 fusion protein; gp21; gp22; gp23; gp24; gp25; gp26; gp27; gp28; hypothetical protein; potential virion protein; putative tail assembly protein; tail assembly chaperone; tail assembly chaperone protein; tail assmebly chaperone; tail scaffold protein	Partial union of: POG1586; POG1162
VOG4583	Bacteria	231	185	3	9	WhiB; WhiB family transcription factor; WhiB family transcriptional regulator; WhiB transcription factor; WhiB transcriptional regulator; WhiB-like protein; WhiB-like transcription factor; WhiB-like transcriptional regulator; gp113; gp122; gp124; gp132; gp139; gp24; gp26; gp44; gp49; gp50; gp51; gp52; gp53; gp54; gp55; gp56; gp57; gp58; gp59; gp60; gp61; gp62; gp63; gp64; gp65; gp66; gp67; gp68; gp69; gp70; gp72; gp77; gp78; gp79; gp81; gp91; gp92; gp93; gp94; gp95; gp96; gp97; hypothetical protein; putative WhiB family protein; putative WhiB family regulatory protein; putative predicted product; transcription factor WhiB; transcriptional factor WhiB-like	Partial union of: POG1247; POG3192
VOG4584	Bacteria	225	225	3	3	Gp5 baseplate hub subunit and tail lysozyme; Gp5 baseplate hub subunit and tail lysozyme (Shigella phage phiSboM-AG3); Gp5-tail associated lysozyme; Putative baseplate hub subunit; T4-like baseplate hub and tail lysozyme; T4-like phage baseplate hub + tail lysozyme; TIGR02594 family protein; base plate hub subunit and lysozyme; base plate hub subunit and tail lysozyme protein; baseplate hub; baseplate hub + tail lysozyme; baseplate hub structural protein and tail lysozyme; baseplate hub subunit; baseplate hub subunit and lysozyme; baseplate hub subunit and tail lysozyme; baseplate hub subunit and tail lysozyme [Escherichia phage e11/2]; baseplate hub subunit and tail lysozyme protein; baseplate hub subunit tail lysozyme; baseplate hub subunit with lysozyme motif; baseplate hub tail lysozyme; baseplate lysozyme; baseplate wedge initiator; cell wall-associated hydrolase; endolysin; gp5; gp5 base plate hub subunit and tail lysozyme; gp5 baseplate hub + tail lysozyme; gp5 baseplate hub subunit; gp5 baseplate hub subunit and tail lysozyme; hypothetical protein; hypothetical protein ORF003; peptidoglycan-binding domain 1 protein; peptidoglycan-binding protein; phage baseplate hub; putative Gp5 baseplate hub subunit and tail lysozyme; putative base plate hub subunit and tail lysozyme; putative baseplate hub and tail lysozyme; putative baseplate hub subunit; putative baseplate hub subunit & tail lysozyme gp5; putative baseplate hub subunit and tail lysozyme; putative endolysin; putative predicted product; tail associated lysozyme; tail-associated lysozyme	Partial union of: POG0453; POG4076; POG2369; POG1015; POG4392
