KO	prodigal_RW1	prodigal_GIC31	prodigal_Rleg	prodigal_RW2	prodigal_DJ
K04564: SOD2; superoxide dismutase, Fe-Mn family	0	6	6	6	6
K11229: BCK1; mitogen-activated protein kinase kinase kinase	0	3	3	3	3
K08856: STK16; serine/threonine kinase 16	0	36	36	36	36
K08853: AAK; AP2-associated kinase	0	36	33	36	36
K08286: E2.7.11.-; protein-serine/threonine kinase	0	164	156	164	164
K08854: BMP2K, BIKE; BMP2 inducible kinase	0	36	33	36	36
K08855: GAK; cyclin G-associated kinase	0	36	33	36	36
K01951: guaA, GMPS; GMP synthase (glutamine-hydrolysing)	0	1	1	1	1
K05349: bglX; beta-glucosidase	0	12	12	12	12
K08840: TNIK; TRAF2 and NCK interacting kinase	0	42	42	42	42
K04407: MAP4K4, HGK; mitogen-activated protein kinase kinase kinase kinase 4	0	42	42	42	42
K04413: MINK; misshapen/NIK-related kinase	0	42	42	42	42
K08834: MYO3, DFNB30; myosin III	0	42	42	42	42
K08836: SLK; STE20-like kinase	0	42	42	42	42
K08837: STK10, LOK; serine/threonine kinase 10	0	42	42	42	42
K01744: aspA; aspartate ammonia-lyase	0	1	1	1	1
K08805: DCLK1_2; doublecortin-like kinase 1/2	0	9	9	9	9
K08963: mtnA; methylthioribose-1-phosphate isomerase	0	1	0	1	1
K01515: nudF; ADP-ribose pyrophosphatase	0	5	5	5	5
K02218: CSNK1, CKI; casein kinase 1	0	21	15	21	21
K01081: E3.1.3.5; 5'-nucleotidase	0	20	18	20	14
K03781: katE, CAT, catB, srpA; catalase	0	4	4	4	4
K01176: AMY, amyA, malS; alpha-amylase	0	8	6	8	6
K12647: IFIH1, MDA5; interferon-induced helicase C domain-containing protein 1	0	1	1	1	1
K01182: IMA, malL; oligo-1,6-glucosidase	0	3	3	3	3
K02778: ptsGb; glucose PTS system EIIB component	0	224	0	224	0
K02779: ptsG; glucose PTS system EIICB or EIICBA component	0	27	0	27	0
K02777: crr; sugar PTS system EIIA component	0	624	0	624	0
K05343: treS; maltose alpha-D-glucosyltransferase / alpha-amylase	0	4	4	4	4
K13530: adaA; AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase	0	2	2	2	2
K08812: CAMKV; CaM kinase-like vesicle-associated	0	20	20	20	20
K08957: CSNK1A; casein kinase 1, alpha	0	12	6	12	12
K08960: CSNK1E; casein kinase 1, epsilon	0	15	9	15	15
K00011: AKR1B; aldehyde reductase	0	4	4	4	4
K08832: SRPK3, STK23; serine/threonine-protein kinase SRPK3	0	15	6	15	15
K05708: hcaE, hcaA1; 3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha	0	2	2	2	2
K02760: celA, chbB; cellobiose PTS system EIIB component	0	14	0	14	7
K12771: SPS1; sporulation-specific protein 1	0	3	3	3	3
K01933: purM; phosphoribosylformylglycinamidine cyclo-ligase	0	5	5	5	5
K01838: pgmB; beta-phosphoglucomutase	0	10	10	10	10
K01609: trpC; indole-3-glycerol phosphate synthase	0	3	3	3	3
K01188: E3.2.1.21; beta-glucosidase	0	20	20	20	12
K03040: rpoA; DNA-directed RNA polymerase subunit alpha	0	2	2	2	2
K04441: P38; p38 MAP kinase	0	12	8	12	12
K07304: msrA; peptide-methionine (S)-S-oxide reductase	0	21	21	21	21
K01905: acdA; acetate---CoA ligase (ADP-forming) subunit alpha	0	4	4	4	4
K01657: trpE; anthranilate synthase component I	0	48	48	48	48
K13497: trpGD; anthranilate synthase/phosphoribosyltransferase	0	171	171	171	171
K07516: fadN; 3-hydroxyacyl-CoA dehydrogenase	0	70	70	70	70
K13529: ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II	0	10	10	10	6
K14498: SNRK2; serine/threonine-protein kinase SRK2	0	6	6	6	6
K01928: murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	0	6	6	6	6
K13987: NUDT5; ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase	0	3	3	3	3
K07250: gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase	0	6	6	6	6
K00974: cca; tRNA nucleotidyltransferase (CCA-adding enzyme)	0	3	3	3	3
K01449: cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase	0	6	6	6	6
K00700: GBE1, glgB; 1,4-alpha-glucan branching enzyme	0	1	1	1	1
K02822: ulaB, sgaB; ascorbate PTS system EIIB component	0	21	0	35	0
K10778: ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase	0	8	8	8	8
K07258: dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)	0	6	6	6	6
K01286: E3.4.16.4; D-alanyl-D-alanine carboxypeptidase	0	8	6	8	6
K02803: nagEb; N-acetylglucosamine PTS system EIIB component	0	182	0	182	0
K02804: nagE; N-acetylglucosamine PTS system EIICBA or EIICB component	0	20	0	20	0
K01825: fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase	0	85	85	85	85
K00962: pnp, PNPT1; polyribonucleotide nucleotidyltransferase	0	2	2	2	2
K01451: hipO; hippurate hydrolase	0	2	2	2	1
K13954: yiaY; alcohol dehydrogenase	0	40	40	40	40
K00705: malQ; 4-alpha-glucanotransferase	0	3	3	3	6
K15634: gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0	44	44	44	44
K02025: ABC.MS.P; multiple sugar transport system permease protein	0	3	3	3	3
K08857: NEK1_4_5; NIMA (never in mitosis gene a)-related kinase 1/4/5	0	9	9	9	9
K00823: puuE; 4-aminobutyrate aminotransferase	0	6	6	6	6
K13415: BRI1; protein brassinosteroid insensitive 1	0	6	6	6	6
K04443: MAPKAPK2; mitogen-activated protein kinase-activated protein kinase 2	0	18	18	18	18
K04444: MAPKAPK3; mitogen-activated protein kinase-activated protein kinase 3	0	18	18	18	18
K04442: MAPKAPK5, PRAK; mitogen-activated protein kinase-activated protein kinase 5	0	18	18	18	18
K04373: RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6	0	27	27	27	27
K04445: RPS6KA5, MSK1; ribosomal protein S6 kinase alpha-5	0	27	27	27	27
K04372: MKNK, MNK; MAP kinase interacting serine/threonine kinase	0	21	21	21	21
K13412: CPK; calcium-dependent protein kinase	0	6	6	6	6
K01090: E3.1.3.16; protein phosphatase	0	10	26	10	14
K12993: wbdA, mtfA; O-antigen biosynthesis alpha-1,2-mannosyltransferase	0	6	6	6	6
K00608: pyrBI; aspartate carbamoyltransferase	0	2	2	2	2
K00610: pyrI; aspartate carbamoyltransferase regulatory subunit	0	2	2	2	2
K01226: treC; trehalose-6-phosphate hydrolase	0	1	1	1	1
K01208: cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase	0	8	8	8	8
K05992: amyM; maltogenic alpha-amylase	0	3	3	3	3
K00380: cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	0	8	13	11	13
K11755: hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase	0	18	18	18	18
K01496: hisI; phosphoribosyl-AMP cyclohydrolase	0	14	14	14	14
K02774: gatB, sgcB; galactitol PTS system EIIB component	0	35	7	35	14
K02755: bglFa; beta-glucoside PTS system EIIA component	0	273	0	273	0
K02757: bglF, bglP; beta-glucoside PTS system EIICBA component	0	27	0	27	0
K01491: folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	0	6	6	6	6
K12132: prkC, stkP; eukaryotic-like serine/threonine-protein kinase	0	9	9	9	9
K04371: ERK, MAPK1_3; mitogen-activated protein kinase 1/3	0	60	44	60	60
K08293: SMK1; sporulation-specific mitogen-activated protein kinase SMK1	0	68	40	68	68
K14512: MPK6; mitogen-activated protein kinase 6	0	16	4	16	16
K13745: ddc; L-2,4-diaminobutyrate decarboxylase	0	1	2	1	1
K01802: E5.2.1.8; peptidylprolyl isomerase	0	1	4	1	1
K02216: CHEK1; serine/threonine-protein kinase CHEK1	0	3	3	3	3
K10773: NTH; endonuclease III	0	15	18	15	18
K00493: XANG; xanthocillin biosynthesis cytochrome P450 monooxygenase	0	2	4	2	4
K01212: sacC, levB; levanase	0	6	6	6	6
K01656: TRP3; anthranilate synthase / indole-3-glycerol phosphate synthase	0	50	50	50	50
K13501: TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase	0	99	99	99	99
K01215: dexB; glucan 1,6-alpha-glucosidase	0	2	2	2	2
K04428: MAP3K4, MEKK4; mitogen-activated protein kinase kinase kinase 4	0	1	1	1	1
K01525: apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	0	1	1	1	1
K07305: msrB; peptide-methionine (R)-S-oxide reductase	0	12	12	12	12
K02305: norC; nitric oxide reductase subunit C	0	1	1	1	1
K08959: CSNK1D; casein kinase 1, delta	0	6	0	6	6
K02335: polA; DNA polymerase I	0	8	8	8	8
K08877: UHMK1, KIS; serine/threonine-protein kinase Kist	0	6	6	6	6
K08299: caiD; crotonobetainyl-CoA hydratase	0	16	16	16	16
K01619: deoC, DERA; deoxyribose-phosphate aldolase	0	1	1	1	0
K03824: yhbS; putative acetyltransferase	0	2	2	2	2
K04429: TAO; thousand and one amino acid protein kinase	0	24	24	24	24
K04414: MAP4K2, GCK; mitogen-activated protein kinase kinase kinase kinase 2	0	36	36	36	36
K08833: MAP4K5, KHS1; mitogen-activated protein kinase kinase kinase kinase 5	0	39	39	39	39
K04408: MAP4K1, HPK1; mitogen-activated protein kinase kinase kinase kinase 1	0	39	39	39	39
K04406: MAP4K3, GLK; mitogen-activated protein kinase kinase kinase kinase 3	0	39	39	39	39
K00013: hisD; histidinol dehydrogenase	0	2	2	2	2
K01582: E4.1.1.18, ldcC, cadA; lysine decarboxylase	0	2	2	2	2
K11927: rhlE; ATP-dependent RNA helicase RhlE	0	6	6	6	6
K05605: HIBCH; 3-hydroxyisobutyryl-CoA hydrolase	0	2	2	2	2
K01584: adiA; arginine decarboxylase	0	3	3	3	3
K01844: kamD; beta-lysine 5,6-aminomutase alpha subunit	0	1	1	1	1
K13766: liuC; methylglutaconyl-CoA hydratase	0	2	2	2	2
K13131: DDX20, GEMIN3; ATP-dependent RNA helicase DDX20	0	2	2	2	2
K12614: DDX6, RCK, DHH1; ATP-dependent RNA helicase DDX6/DHH1	0	3	3	3	3
K12812: DDX39B, UAP56, SUB2; ATP-dependent RNA helicase UAP56/SUB2	0	2	2	2	2
K13182: DDX39; ATP-dependent RNA helicase DDX39	0	2	2	2	2
K08847: RIPK3; receptor-interacting serine/threonine-protein kinase 3	0	24	24	24	24
K08848: RIPK4; receptor-interacting serine/threonine-protein kinase 4	0	24	27	24	27
K08846: RIPK2; receptor-interacting serine/threonine-protein kinase 2	0	24	24	24	24
K05744: LIMK2; LIM domain kinase 2	0	24	24	24	24
K05743: LIMK1; LIM domain kinase 1	0	24	24	24	24
K04367: MOS; proto-oncogene serine/threonine-protein kinase mos	0	9	9	9	9
K01115: PLD1_2; phospholipase D1/2	0	1	1	1	1
K02533: lasT; tRNA/rRNA methyltransferase	0	2	2	2	2
K07252: DOLPP1; dolichyldiphosphatase	0	1	1	1	1
K00848: rhaB; rhamnulokinase	0	1	1	1	1
K02501: hisH; imidazole glycerol-phosphate synthase subunit HisH	0	4	4	4	4
K05341: E2.4.1.4; amylosucrase	0	3	3	3	3
K05845: opuC; osmoprotectant transport system substrate-binding protein	0	1	1	1	1
K00368: nirK; nitrite reductase (NO-forming)	0	17	13	17	15
K00854: xylB, XYLB; xylulokinase	0	3	3	3	3
K01735: aroB; 3-dehydroquinate synthase	0	9	9	9	9
K13829: aroKB; shikimate kinase / 3-dehydroquinate synthase	0	4	4	4	4
K08852: ERN1; serine/threonine-protein kinase/endoribonuclease IRE1	0	6	9	6	9
K02515: HSL1; serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase	0	4	4	4	4
K04427: MAP3K7, TAK1; mitogen-activated protein kinase kinase kinase 7	0	3	3	3	3
K06632: WEE1; wee1-like protein kinase	0	21	21	21	21
K06633: PKMYT; membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	0	21	21	21	21
K03114: SWE1; mitosis inhibitor protein kinase SWE1	0	21	21	21	21
K12316: GAA; lysosomal alpha-glucosidase	0	5	0	5	0
K00262: E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)	0	4	4	4	4
K03829: yedL; putative acetyltransferase	0	2	2	2	2
K15864: nirS; nitrite reductase (NO-forming) / hydroxylamine reductase	0	16	12	16	12
K01915: glnA, GLUL; glutamine synthetase	0	3	3	3	3
K08835: OXSR1, STK39; serine/threonine-protein kinase OSR1/STK39	0	3	3	3	3
K00284: GLU, gltS; glutamate synthase (ferredoxin)	0	3	3	3	3
K01236: treZ, glgZ; maltooligosyltrehalose trehalohydrolase	0	1	1	1	1
K01424: E3.5.1.1, ansA, ansB; L-asparaginase	0	2	0	2	2
K02053: ABC.SP.P; putative spermidine/putrescine transport system permease protein	0	2	2	2	2
K01684: dgoD; galactonate dehydratase	0	1	1	1	1
K00639: kbl, GCAT; glycine C-acetyltransferase	0	3	3	3	3
K06683: CDC15; cell division control protein CDC15	0	3	3	3	3
K01952: PFAS, purL; phosphoribosylformylglycinamidine synthase	0	1	1	1	1
K11751: ushA; 5'-nucleotidase / UDP-sugar diphosphatase	0	16	16	16	12
K00766: trpD; anthranilate phosphoribosyltransferase	0	12	12	12	12
K02819: treB, treP; trehalose PTS system EIIBC or EIIBCA component	0	18	0	18	0
K02810: scrA, sacP, sacX, ptsS; sucrose PTS system EIIBCA or EIIBC component	0	27	0	27	0
K14170: pheA; chorismate mutase / prephenate dehydratase	0	18	39	18	36
K02765: gamP; D-glucosamine PTS system EIICBA component	0	18	0	18	0
K02523: ispB; octaprenyl-diphosphate synthase	0	14	14	14	14
K08831: SRPK2; serine/threonine-protein kinase SRPK2	0	6	0	6	6
K00615: E2.2.1.1, tktA, tktB; transketolase	0	12	12	12	12
K04468: NLK; nemo like kinase	0	12	0	12	12
K10527: MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	0	63	63	63	63
K07514: EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase	0	98	98	98	98
K12776: MEK1; meiosis-specific serine/threonine-protein kinase MEK1	0	3	3	3	3
K01119: cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase	0	18	16	18	12
K08693: yfkN; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase	0	4	4	4	4
K00765: hisG; ATP phosphoribosyltransferase	0	2	2	2	2
K02563: murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	0	2	2	2	2
K01523: hisE; phosphoribosyl-ATP pyrophosphohydrolase	0	7	7	7	7
K01513: ENPP1_3, CD203; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3	0	2	2	2	4
K00616: E2.2.1.2, talA, talB; transaldolase	0	8	8	8	8
K05797: pchF; 4-cresol dehydrogenase (hydroxylating) flavoprotein subunit	0	1	1	1	1
K01929: murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	0	6	6	6	6
K03828: yjgM; putative acetyltransferase	0	2	2	2	2
K01624: FBA, fbaA; fructose-bisphosphate aldolase, class II	0	10	10	10	10
K04466: MAP3K14, NIK; mitogen-activated protein kinase kinase kinase 14	0	5	5	5	5
K04415: MAP3K8, COT; mitogen-activated protein kinase kinase kinase 8	0	5	5	5	5
K04416: MAP3K1, MEKK1; mitogen-activated protein kinase kinase kinase 1	0	4	4	4	4
K08093: hxlA; 3-hexulose-6-phosphate synthase	0	15	12	15	9
K08094: hxlB; 6-phospho-3-hexuloisomerase	0	15	12	15	9
K13831: hps-phi; 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase	0	16	12	16	8
K08800: NUAK; NUAK family, SNF1-like kinase	0	9	9	9	9
K04733: IRAK4; interleukin-1 receptor-associated kinase 4	0	9	9	9	9
K08865: PBK; PDZ-binding kinase	0	1	1	1	1
K03763: polC; DNA polymerase III subunit alpha, Gram-positive type	0	4	4	4	4
K05606: MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase	0	2	2	2	1
K01183: E3.2.1.14; chitinase	0	2	2	2	2
K00161: PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	0	3	3	3	3
K00215: dapB; 4-hydroxy-tetrahydrodipicolinate reductase	0	2	2	2	2
K00263: E1.4.1.9; leucine dehydrogenase	0	2	2	2	2
K01703: leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit	0	6	6	6	6
K08827: PRPF4B; serine/threonine-protein kinase PRP4	0	3	3	3	3
K01714: dapA; 4-hydroxy-tetrahydrodipicolinate synthase	0	2	2	2	2
K02750: glvC, malP, aglA; alpha-glucoside PTS system EIICB component	0	11	0	11	0
K02788: lacE; lactose PTS system EIICB component	0	4	0	4	1
K12977: lpxE; lipid A 1-phosphatase	0	6	6	6	6
K00491: nos; nitric-oxide synthase, bacterial	0	2	1	2	1
K06272: ILK; integrin-linked kinase	0	3	3	3	3
K03049: rpoE1; DNA-directed RNA polymerase subunit E'	0	4	4	4	4
K00355: NQO1; NAD(P)H dehydrogenase (quinone)	0	3	3	3	3
K04732: IRAK3; interleukin-1 receptor-associated kinase 3	0	9	9	9	9
K01514: PRUNE, PPX1; exopolyphosphatase	0	2	2	2	2
K00432: gpx, btuE, bsaA; glutathione peroxidase	0	3	3	3	3
K08838: STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4	0	3	3	3	3
K00690: E2.4.1.7; sucrose phosphorylase	0	2	2	2	2
K13714: atl; bifunctional autolysin	0	4	2	4	3
K00939: adk, AK; adenylate kinase	0	4	4	4	4
K14500: BSK; BR-signaling kinase	0	3	3	3	3
K02214: CDC7; cell division control protein 7	0	12	12	12	12
K03097: CSNK2A; casein kinase II subunit alpha	0	9	9	9	9
K08302: gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY	0	6	6	6	6
K01232: glvA; maltose-6'-phosphate glucosidase	0	3	3	3	3
K01214: ISA, treX; isoamylase	0	1	1	1	1
K08844: LRRK2; leucine-rich repeat kinase 2	0	6	6	6	6
K08843: LRRK1; leucine-rich repeat kinase 1	0	6	6	6	6
K10437: PHAA, PHACA, CYP504A1; phenylacetate 2-hydroxylase	0	3	3	3	3
K07313: pphA; serine/threonine protein phosphatase 1	0	8	8	8	8
K08791: LATS1_2, Wts; serine/threonine-protein kinase LATS1/2	0	3	3	3	3
K03856: AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase	0	22	24	22	24
K08850: AURKX; aurora kinase, other	0	12	12	12	12
K13420: FLS2; LRR receptor-like serine/threonine-protein kinase FLS2	0	6	6	6	6
K13428: EFR; LRR receptor-like serine/threonine-protein kinase EFR	0	6	6	6	6
K06116: GPP; glycerol-1-phosphatase	0	4	4	4	4
K04426: MAP3K5, ASK1; mitogen-activated protein kinase kinase kinase 5	0	2	2	2	2
K04425: MAP3K6, ASK2; mitogen-activated protein kinase kinase kinase 6	0	2	2	2	2
K13986: MAP3K15; mitogen-activated protein kinase kinase kinase 15	0	2	2	2	2
K09699: DBT, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)	0	1	1	1	1
K14157: AASS; alpha-aminoadipic semialdehyde synthase	0	1	1	1	1
K13414: MEKK1; mitogen-activated protein kinase kinase kinase 1	0	2	2	2	2
K11175: purN; phosphoribosylglycinamide formyltransferase 1	0	7	7	7	7
K01466: allB; allantoinase	0	2	2	2	2
K14502: BIN2; protein brassinosteroid insensitive 2	0	3	0	3	3
K01705: LYS4; homoaconitate hydratase	0	2	2	2	2
K01837: BPGM; bisphosphoglycerate/phosphoglycerate mutase	0	12	12	12	12
K14581: nahAa, nagAa, ndoR, nbzAa, dntAa; naphthalene 1,2-dioxygenase ferredoxin reductase component	0	3	3	3	3
K02753: ascF; beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component	0	12	0	12	0
K01303: APEH; acylaminoacyl-peptidase	0	1	1	1	1
K10563: mutM, fpg; formamidopyrimidine-DNA glycosylase	0	4	4	4	4
K08789: MAST; microtubule-associated serine/threonine kinase	0	9	9	9	9
K01207: nagZ; beta-N-acetylhexosaminidase	0	2	4	2	2
K06641: CHEK2; serine/threonine-protein kinase CHEK2	0	3	3	3	3
K11481: AURKA; aurora kinase A	0	9	9	9	9
K01585: speA; arginine decarboxylase	0	9	9	9	9
K00632: fadA, fadI; acetyl-CoA acyltransferase	0	5	5	5	5
K08860: EIF2AK3; eukaryotic translation initiation factor 2-alpha kinase 3	0	15	15	15	15
K02337: dnaE; DNA polymerase III subunit alpha	0	8	10	8	8
K01756: purB, ADSL; adenylosuccinate lyase	0	6	6	6	6
K00525: E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	0	4	4	4	4
K00691: mapA; maltose phosphorylase	0	3	0	3	0
K06153: bacA; undecaprenyl-diphosphatase	0	4	4	4	4
K00998: pssA; CDP-diacylglycerol---serine O-phosphatidyltransferase	0	1	1	1	1
K01810: GPI, pgi; glucose-6-phosphate isomerase	0	27	27	27	27
K13810: tal-pgi; transaldolase / glucose-6-phosphate isomerase	0	11	11	11	11
K01222: E3.2.1.86A, celF; 6-phospho-beta-glucosidase	0	1	1	1	1
K08798: MARK; MAP/microtubule affinity-regulating kinase	0	6	6	6	6
K00819: rocD, OAT; ornithine--oxo-acid transaminase	0	2	2	2	2
K04430: MAP2K4, MKK4; mitogen-activated protein kinase kinase 4	0	1	1	1	1
K01611: speD, AMD1; S-adenosylmethionine decarboxylase	0	2	0	2	2
K03827: yjaB; putative acetyltransferase	0	2	2	2	2
K13417: SERK4, BKK1; somatic embryogenesis receptor kinase 4	0	3	3	3	3
K13416: BAK1; brassinosteroid insensitive 1-associated receptor kinase 1	0	3	3	3	3
K13418: SERK1; somatic embryogenesis receptor kinase 1	0	3	3	3	3
K08333: PIK3R4, VPS15; phosphoinositide-3-kinase, regulatory subunit 4	0	12	12	12	12
K05350: bglB; beta-glucosidase	0	12	12	12	0
K01011: TST, MPST, sseA; thiosulfate/3-mercaptopyruvate sulfurtransferase	0	24	24	24	24
K12765: IME2; meiosis induction protein kinase IME2/SME1	0	3	3	3	3
K02301: cyoE; protoheme IX farnesyltransferase	0	2	2	2	2
K00904: DGUOK; deoxyguanosine kinase	0	2	0	2	0
K13419: pknK; serine/threonine-protein kinase PknK	0	9	9	9	9
K04730: IRAK1; interleukin-1 receptor-associated kinase 1	0	6	6	6	6
K04731: IRAK2; interleukin-1 receptor-associated kinase 2	0	6	6	6	6
K13183: DDX50; ATP-dependent RNA helicase DDX50	0	1	1	1	1
K01087: otsB; trehalose 6-phosphate phosphatase	0	3	6	3	6
K01229: LCT; lactase-phlorizin hydrolase	0	3	3	3	0
K01902: sucD; succinyl-CoA synthetase alpha subunit	0	16	16	16	16
K01899: LSC1; succinyl-CoA synthetase alpha subunit	0	8	8	8	8
K01808: rpiB; ribose 5-phosphate isomerase B	0	4	4	4	4
K01782: fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase	0	96	96	96	96
K07515: HADHA; enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase	0	12	12	12	12
K00602: purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase	0	2	2	2	2
K00088: IMPDH, guaB; IMP dehydrogenase	0	2	2	2	2
K03826: yiaC; putative acetyltransferase	0	2	2	2	2
K06103: CASK; calcium/calmodulin-dependent serine protein kinase	0	3	3	3	3
K08325: yqhD; NADP-dependent alcohol dehydrogenase	0	2	2	2	2
K01849: E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain	0	2	12	2	12
K00109: L2HGDH; 2-hydroxyglutarate dehydrogenase	0	1	1	1	1
K04688: RPS6KB; ribosomal protein S6 kinase beta	0	9	9	9	9
K00820: glmS, GFPT; glutamine---fructose-6-phosphate transaminase (isomerizing)	0	2	2	2	2
K00376: nosZ; nitrous-oxide reductase	0	2	2	2	2
K12854: SNRNP200, BRR2; pre-mRNA-splicing helicase BRR2	0	1	1	1	1
K08790: STK38, NDR; serine/threonine kinase 38	0	6	6	6	6
K05714: mhpC; 2-hydroxy-6-oxonona-2,4-dienedioate hydrolase	0	2	2	2	2
K08816: VRK; vaccinia related kinase	0	3	3	3	3
K01079: serB, PSPH; phosphoserine phosphatase	0	3	5	3	5
K03927: CES2; carboxylesterase 2	0	3	3	3	0
K02464: gspO; general secretion pathway protein O	0	8	6	8	8
K12761: SNF1; carbon catabolite-derepressing protein kinase	0	3	3	3	3
K00366: nirA; ferredoxin-nitrite reductase	0	6	14	6	14
K02654: pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase	0	18	18	18	18
K12978: lpxF; lipid A 4'-phosphatase	0	3	3	3	3
K13025: EIF4A3, FAL1; ATP-dependent RNA helicase	0	2	2	2	2
K00605: gcvT, AMT; aminomethyltransferase	0	2	2	2	2
K10231: kojP; kojibiose phosphorylase	0	2	1	2	1
K03825: aaaT; L-phenylalanine/L-methionine N-acetyltransferase	0	2	2	2	2
K03179: ubiA; 4-hydroxybenzoate polyprenyltransferase	0	10	6	10	4
K02323: polB; DNA polymerase II small subunit	0	2	4	2	4
K11889: impN; type VI secretion system protein ImpN	0	12	12	12	12
K01903: sucC; succinyl-CoA synthetase beta subunit	0	12	12	12	12
K00872: thrB; homoserine kinase	0	12	6	12	6
K01198: xynB; xylan 1,4-beta-xylosidase	0	3	6	6	0
K07511: ECHS1; enoyl-CoA hydratase	0	12	12	12	12
K01626: E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase	0	4	6	4	6
K04516: AROA1, aroA; chorismate mutase	0	30	40	30	32
K13853: aroG, aroA; 3-deoxy-7-phosphoheptulonate synthase / chorismate mutase	0	7	7	7	7
K01713: pheC; cyclohexadienyl dehydratase	0	20	56	20	60
K04092: tyrA1; chorismate mutase	0	18	32	18	20
K14187: tyrA; chorismate mutase / prephenate dehydrogenase	0	26	42	26	36
K01850: E5.4.99.5; chorismate mutase	0	32	48	32	40
K08826: HIPK; homeodomain interacting protein kinase	0	3	3	3	3
K04464: MAPK7; mitogen-activated protein kinase 7	0	28	12	28	28
K01803: TPI, tpiA; triosephosphate isomerase (TIM)	0	5	5	5	5
K04431: MAP2K7, MKK7; mitogen-activated protein kinase kinase 7	0	1	1	1	1
K07026: E3.1.3.70; mannosyl-3-phosphoglycerate phosphatase	0	1	1	1	1
K07406: melA; alpha-galactosidase	0	2	2	2	2
K01781: mdlA; mandelate racemase	0	2	2	2	2
K01856: catB; muconate cycloisomerase	0	3	3	3	3
K01583: E4.1.1.19; arginine decarboxylase	0	9	9	9	9
K02178: BUB1; checkpoint serine/threonine-protein kinase	0	24	21	24	24
K00290: LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming)	0	2	2	2	4
K03183: ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase	0	2	2	2	2
K10108: malE; maltose/maltodextrin transport system substrate-binding protein	0	1	1	1	1
