KO	prodigal_RW1	prodigal_GIC31	prodigal_Rleg	prodigal_RW2	prodigal_DJ
K10710: frlD; fructoselysine 6-kinase	1	1	1	1	1
K05841: E2.4.1.173; sterol 3beta-glucosyltransferase	1	1	1	1	1
K02343: dnaX; DNA polymerase III subunit gamma/tau	20	20	20	20	20
K06034: comD; sulfopyruvate decarboxylase subunit alpha	2	0	2	0	2
K15038: K15038; succinyl-CoA reductase	1	1	1	1	1
K00759: APRT, apt; adenine phosphoribosyltransferase	2	2	2	2	2
K11188: PRDX6; peroxiredoxin 6	2	6	6	6	6
K00430: E1.11.1.7; peroxidase	1	3	3	3	3
K12813: DHX16; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	2	6	12	6	12
K12551: sgtA; monofunctional glycosyltransferase	3	3	3	3	3
K00036: G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	5	5	10	5	10
K07538: had; 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase	1	1	1	1	1
K01493: comEB; dCMP deaminase	2	2	2	2	2
K10834: hmuV, phuV, bhuV, hemV; heme transport system ATP-binding protein	1	1	1	1	1
K00026: MDH2; malate dehydrogenase	5	5	5	5	0
K00025: MDH1; malate dehydrogenase	6	6	6	6	0
K01921: ddl; D-alanine-D-alanine ligase	4	4	4	4	4
K01139: spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	2	6	6	6	6
K10440: rbsC; ribose transport system permease protein	2	2	2	2	2
K11995: DNASE1L; deoxyribonuclease-1-like protein	1	0	1	0	0
K01689: ENO, eno; enolase	6	6	6	6	6
K13713: purCD; fusion protein PurCD	2	3	3	3	3
K00164: OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1	3	3	3	3
K02340: holA; DNA polymerase III subunit delta	15	15	15	15	15
K03777: dld; D-lactate dehydrogenase (quinone)	1	1	1	1	1
K11165: DHRS7; dehydrogenase/reductase SDR family member 7	1	1	1	1	1
K08322: rspB; L-gulonate 5-dehydrogenase	1	1	1	1	1
K13356: FAR; alcohol-forming fatty acyl-CoA reductase	3	3	3	3	3
K13761: PDE9; high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9	1	1	1	1	1
K00764: purF, PPAT; amidophosphoribosyltransferase	3	3	3	3	3
K12420: actIII, oxyJ, snoaD, aknA; ketoreductase	4	4	4	4	4
K00174: korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	5	5	5	5	10
K01552: ecfA; energy-coupling factor transport system ATP-binding protein	1	2	2	2	2
K11151: RDH10; retinol dehydrogenase 10	1	1	1	1	1
K00800: aroA; 3-phosphoshikimate 1-carboxyvinyltransferase	1	7	9	7	9
K11717: sufS; cysteine desulfurase / selenocysteine lyase	1	1	1	1	1
K11539: CBR4; carbonyl reductase 4 / 3-oxoacyl-[acyl-carrier protein] reductase beta subunit	1	1	1	1	1
K11149: DHRS9; dehydrogenase/reductase SDR family member 9	1	1	1	1	1
K03336: iolD; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)	1	0	1	0	1
K10536: aguA; agmatine deiminase	1	0	1	0	1
K11164: DHRS2; dehydrogenase/reductase SDR family member 2	1	1	1	1	1
K11185: TRYP; cytosolic tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin	1	1	1	1	1
K13279: PRDX1; peroxiredoxin 1	3	3	3	3	3
K11186: MTRYP; mitochondrial tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin	1	1	1	1	1
K08318: yihU; 4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase	1	1	1	1	1
K12556: pbp2X; penicillin-binding protein 2X	3	3	3	3	3
K08082: algZ; two-component system, LytTR family, sensor histidine kinase AlgZ	3	3	3	3	3
K10004: gltL, aatP; glutamate/aspartate transport system ATP-binding protein	3	3	3	3	3
K00014: aroE; shikimate dehydrogenase	1	8	8	8	8
K00286: proC; pyrroline-5-carboxylate reductase	1	1	1	1	1
K01464: DPYS, dht, hydA; dihydropyrimidinase	5	5	5	5	5
K01637: E4.1.3.1, aceA; isocitrate lyase	1	1	1	1	1
K11146: DHRS3; short-chain dehydrogenase/reductase 3	1	1	1	1	1
K02182: caiC; carnitine-CoA ligase	1	1	1	1	1
K13236: DECR1; 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial	1	1	1	1	1
K01834: PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0	105	105	105	105
K00134: GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	0	18	18	18	18
K00162: PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	0	28	28	28	28
K02791: malX; maltose/glucose PTS system EIICB component	0	105	0	105	0
K11192: murP; N-acetylmuramic acid PTS system EIICB component	0	36	0	36	0
K00314: SARDH; sarcosine dehydrogenase	0	2	2	2	2
K00265: gltB; glutamate synthase (NADPH) large chain	0	12	12	12	12
K01223: E3.2.1.86B, bglA; 6-phospho-beta-glucosidase	0	2	2	2	0
K03574: mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase	0	4	4	4	4
K00261: GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+)	0	7	0	7	7
K12047: MGAM; maltase-glucoamylase	0	3	0	3	0
K01270: pepD; dipeptidase D	0	4	2	4	2
K01200: pulA; pullulanase	0	3	3	3	3
K01439: dapE; succinyl-diaminopimelate desuccinylase	0	2	4	2	2
K00669: AANAT; arylalkylamine N-acetyltransferase	0	1	1	1	1
K01658: trpG; anthranilate synthase component II	0	112	112	112	112
K01187: malZ; alpha-glucosidase	0	4	2	4	2
K01692: paaF, echA; enoyl-CoA hydratase	0	260	260	260	260
K01179: E3.2.1.4; endoglucanase	0	4	6	4	6
K04564: SOD2; superoxide dismutase, Fe-Mn family	0	24	24	24	24
K11229: BCK1; mitogen-activated protein kinase kinase kinase	0	3	3	3	3
K08856: STK16; serine/threonine kinase 16	0	12	12	12	12
K08853: AAK; AP2-associated kinase	0	24	22	24	24
K08286: E2.7.11.-; protein-serine/threonine kinase	0	41	39	41	41
K08854: BMP2K, BIKE; BMP2 inducible kinase	0	24	22	24	24
K08855: GAK; cyclin G-associated kinase	0	24	22	24	24
K01951: guaA, GMPS; GMP synthase (glutamine-hydrolysing)	0	3	3	3	3
K05349: bglX; beta-glucosidase	0	9	9	9	9
K08840: TNIK; TRAF2 and NCK interacting kinase	0	28	28	28	28
K04407: MAP4K4, HGK; mitogen-activated protein kinase kinase kinase kinase 4	0	28	28	28	28
K04413: MINK; misshapen/NIK-related kinase	0	14	14	14	14
K08834: MYO3, DFNB30; myosin III	0	42	42	42	42
K08836: SLK; STE20-like kinase	0	28	28	28	28
K08837: STK10, LOK; serine/threonine kinase 10	0	28	28	28	28
K01744: aspA; aspartate ammonia-lyase	0	1	1	1	1
K08805: DCLK1_2; doublecortin-like kinase 1/2	0	3	3	3	3
K08963: mtnA; methylthioribose-1-phosphate isomerase	0	1	0	1	1
K01515: nudF; ADP-ribose pyrophosphatase	0	5	5	5	5
K02218: CSNK1, CKI; casein kinase 1	0	21	15	21	21
K01081: E3.1.3.5; 5'-nucleotidase	0	30	27	30	21
K03781: katE, CAT, catB, srpA; catalase	0	11	11	11	11
K01176: AMY, amyA, malS; alpha-amylase	0	16	12	16	12
K12647: IFIH1, MDA5; interferon-induced helicase C domain-containing protein 1	0	7	7	7	7
K01182: IMA, malL; oligo-1,6-glucosidase	0	2	2	2	2
K02778: ptsGb; glucose PTS system EIIB component	0	32	0	32	0
K02779: ptsG; glucose PTS system EIICB or EIICBA component	0	135	0	135	0
K02777: crr; sugar PTS system EIIA component	0	364	0	364	0
K05343: treS; maltose alpha-D-glucosyltransferase / alpha-amylase	0	2	2	2	2
K13530: adaA; AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase	0	2	2	2	2
K05869: CAMK4; calcium/calmodulin-dependent protein kinase IV	0	14	14	14	14
K08812: CAMKV; CaM kinase-like vesicle-associated	0	5	5	5	5
K08957: CSNK1A; casein kinase 1, alpha	0	40	20	40	40
K08960: CSNK1E; casein kinase 1, epsilon	0	65	39	65	65
K00011: AKR1B; aldehyde reductase	0	5	5	5	5
K08832: SRPK3, STK23; serine/threonine-protein kinase SRPK3	0	5	2	5	5
K05708: hcaE, hcaA1; 3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha	0	1	1	1	1
K02760: celA, chbB; cellobiose PTS system EIIB component	0	6	0	6	3
K12771: SPS1; sporulation-specific protein 1	0	2	2	2	2
K01933: purM; phosphoribosylformylglycinamidine cyclo-ligase	0	5	5	5	5
K01838: pgmB; beta-phosphoglucomutase	0	5	5	5	5
K01609: trpC; indole-3-glycerol phosphate synthase	0	3	3	3	3
K01188: E3.2.1.21; beta-glucosidase	0	15	15	15	9
K03040: rpoA; DNA-directed RNA polymerase subunit alpha	0	3	3	3	3
K04441: P38; p38 MAP kinase	0	201	134	201	201
K07304: msrA; peptide-methionine (S)-S-oxide reductase	0	7	7	7	7
K01905: acdA; acetate---CoA ligase (ADP-forming) subunit alpha	0	4	4	4	4
K01657: trpE; anthranilate synthase component I	0	96	96	96	96
K13497: trpGD; anthranilate synthase/phosphoribosyltransferase	0	19	19	19	19
K07516: fadN; 3-hydroxyacyl-CoA dehydrogenase	0	30	30	30	30
K13529: ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II	0	15	15	15	9
K14498: SNRK2; serine/threonine-protein kinase SRK2	0	6	6	6	6
K00924: E2.7.1.-; kinase	0	7	6	7	7
K01928: murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	0	6	6	6	6
K13987: NUDT5; ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase / ADP-D-ribose pyrophosphorylase	0	1	1	1	1
K07250: gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase	0	21	21	21	21
K00974: cca; tRNA nucleotidyltransferase (CCA-adding enzyme)	0	6	6	6	6
K01449: cwlJ, sleB; N-acetylmuramoyl-L-alanine amidase	0	3	3	3	3
K00700: GBE1, glgB; 1,4-alpha-glucan branching enzyme	0	2	2	2	2
K02822: ulaB, sgaB; ascorbate PTS system EIIB component	0	9	0	15	0
K10778: ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase	0	8	8	8	8
K07258: dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6)	0	9	9	9	9
K01286: E3.4.16.4; D-alanyl-D-alanine carboxypeptidase	0	4	3	4	3
K02803: nagEb; N-acetylglucosamine PTS system EIIB component	0	26	0	26	0
K02804: nagE; N-acetylglucosamine PTS system EIICBA or EIICB component	0	60	0	60	0
K01825: fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase	0	55	55	55	55
K00962: pnp, PNPT1; polyribonucleotide nucleotidyltransferase	0	3	3	3	3
K01451: hipO; hippurate hydrolase	0	4	4	4	2
K13954: yiaY; alcohol dehydrogenase	0	24	24	24	24
K00705: malQ; 4-alpha-glucanotransferase	0	1	1	1	2
K08252: E2.7.10.1; receptor protein-tyrosine kinase	0	1	1	1	1
K15634: gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	0	33	33	33	33
K02025: ABC.MS.P; multiple sugar transport system permease protein	0	3	3	3	3
K08857: NEK1_4_5; NIMA (never in mitosis gene a)-related kinase 1/4/5	0	9	9	9	9
K00823: puuE; 4-aminobutyrate aminotransferase	0	15	15	15	15
K13415: BRI1; protein brassinosteroid insensitive 1	0	4	4	4	4
K04443: MAPKAPK2; mitogen-activated protein kinase-activated protein kinase 2	0	54	54	54	54
K04444: MAPKAPK3; mitogen-activated protein kinase-activated protein kinase 3	0	18	18	18	18
K04442: MAPKAPK5, PRAK; mitogen-activated protein kinase-activated protein kinase 5	0	12	12	12	12
K04373: RPS6KA; ribosomal protein S6 kinase alpha-1/2/3/6	0	108	108	108	108
K04445: RPS6KA5, MSK1; ribosomal protein S6 kinase alpha-5	0	90	90	90	90
K04372: MKNK, MNK; MAP kinase interacting serine/threonine kinase	0	28	28	28	28
K13412: CPK; calcium-dependent protein kinase	0	6	6	6	6
K01090: E3.1.3.16; protein phosphatase	0	5	13	5	7
K12993: wbdA, mtfA; O-antigen biosynthesis alpha-1,2-mannosyltransferase	0	2	2	2	2
K08794: CAMK1; calcium/calmodulin-dependent protein kinase I	0	5	5	5	5
K00608: pyrBI; aspartate carbamoyltransferase	0	2	2	2	2
K00610: pyrI; aspartate carbamoyltransferase regulatory subunit	0	2	2	2	2
K01226: treC; trehalose-6-phosphate hydrolase	0	1	1	1	1
K01208: cd, ma, nplT; cyclomaltodextrinase / maltogenic alpha-amylase / neopullulanase	0	4	4	4	4
K05992: amyM; maltogenic alpha-amylase	0	3	3	3	3
K00380: cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	0	8	13	11	13
K11755: hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase	0	9	9	9	9
K01496: hisI; phosphoribosyl-AMP cyclohydrolase	0	7	7	7	7
K02774: gatB, sgcB; galactitol PTS system EIIB component	0	15	3	15	6
K02755: bglFa; beta-glucoside PTS system EIIA component	0	39	0	39	0
K02757: bglF, bglP; beta-glucoside PTS system EIICBA component	0	54	0	54	0
K01491: folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase	0	6	6	6	6
K12132: prkC, stkP; eukaryotic-like serine/threonine-protein kinase	0	3	3	3	3
K04371: ERK, MAPK1_3; mitogen-activated protein kinase 1/3	0	1860	1364	1860	1860
K08293: SMK1; sporulation-specific mitogen-activated protein kinase SMK1	0	17	10	17	17
K14512: MPK6; mitogen-activated protein kinase 6	0	16	4	16	16
K13745: ddc; L-2,4-diaminobutyrate decarboxylase	0	1	2	1	1
K01802: E5.2.1.8; peptidylprolyl isomerase	0	1	4	1	1
K02216: CHEK1; serine/threonine-protein kinase CHEK1	0	10	10	10	10
K10773: NTH; endonuclease III	0	10	12	10	12
K00493: XANG; xanthocillin biosynthesis cytochrome P450 monooxygenase	0	2	4	2	4
K01212: sacC, levB; levanase	0	2	2	2	2
K01656: TRP3; anthranilate synthase / indole-3-glycerol phosphate synthase	0	10	10	10	10
K13501: TRP1; anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase	0	11	11	11	11
K01215: dexB; glucan 1,6-alpha-glucosidase	0	1	1	1	1
K04428: MAP3K4, MEKK4; mitogen-activated protein kinase kinase kinase 4	0	5	5	5	5
K01525: apaH; bis(5'-nucleosyl)-tetraphosphatase (symmetrical)	0	1	1	1	1
K07305: msrB; peptide-methionine (R)-S-oxide reductase	0	6	6	6	6
K02305: norC; nitric oxide reductase subunit C	0	1	1	1	1
K08959: CSNK1D; casein kinase 1, delta	0	12	0	12	12
K02335: polA; DNA polymerase I	0	24	24	24	24
K08877: UHMK1, KIS; serine/threonine-protein kinase Kist	0	2	2	2	2
K08299: caiD; crotonobetainyl-CoA hydratase	0	2	2	2	2
K01447: xlyAB; N-acetylmuramoyl-L-alanine amidase	0	6	8	6	8
K01619: deoC, DERA; deoxyribose-phosphate aldolase	0	1	1	1	0
K03824: yhbS; putative acetyltransferase	0	1	1	1	1
K04429: TAO; thousand and one amino acid protein kinase	0	16	16	16	16
K04414: MAP4K2, GCK; mitogen-activated protein kinase kinase kinase kinase 2	0	24	24	24	24
K08833: MAP4K5, KHS1; mitogen-activated protein kinase kinase kinase kinase 5	0	13	13	13	13
K04408: MAP4K1, HPK1; mitogen-activated protein kinase kinase kinase kinase 1	0	26	26	26	26
K04406: MAP4K3, GLK; mitogen-activated protein kinase kinase kinase kinase 3	0	26	26	26	26
K00013: hisD; histidinol dehydrogenase	0	1	1	1	1
K01582: E4.1.1.18, ldcC, cadA; lysine decarboxylase	0	2	2	2	2
K11927: rhlE; ATP-dependent RNA helicase RhlE	0	12	12	12	12
K05605: HIBCH; 3-hydroxyisobutyryl-CoA hydrolase	0	6	6	6	6
K01584: adiA; arginine decarboxylase	0	1	1	1	1
K01844: kamD; beta-lysine 5,6-aminomutase alpha subunit	0	1	1	1	1
K13766: liuC; methylglutaconyl-CoA hydratase	0	2	2	2	2
K13131: DDX20, GEMIN3; ATP-dependent RNA helicase DDX20	0	4	4	4	4
K12614: DDX6, RCK, DHH1; ATP-dependent RNA helicase DDX6/DHH1	0	9	9	9	9
K12812: DDX39B, UAP56, SUB2; ATP-dependent RNA helicase UAP56/SUB2	0	10	10	10	10
K13182: DDX39; ATP-dependent RNA helicase DDX39	0	2	2	2	2
K08847: RIPK3; receptor-interacting serine/threonine-protein kinase 3	0	48	48	48	48
K08848: RIPK4; receptor-interacting serine/threonine-protein kinase 4	0	8	9	8	9
K08846: RIPK2; receptor-interacting serine/threonine-protein kinase 2	0	48	48	48	48
K05744: LIMK2; LIM domain kinase 2	0	40	40	40	40
K05743: LIMK1; LIM domain kinase 1	0	48	48	48	48
K08841: TESK1; testis-specific kinase 1	0	8	8	8	8
K04367: MOS; proto-oncogene serine/threonine-protein kinase mos	0	12	12	12	12
K01115: PLD1_2; phospholipase D1/2	0	15	15	15	15
K02533: lasT; tRNA/rRNA methyltransferase	0	1	1	1	1
K07252: DOLPP1; dolichyldiphosphatase	0	1	1	1	1
K00848: rhaB; rhamnulokinase	0	2	2	2	2
K02501: hisH; imidazole glycerol-phosphate synthase subunit HisH	0	2	2	2	2
K05341: E2.4.1.4; amylosucrase	0	1	1	1	1
K05845: opuC; osmoprotectant transport system substrate-binding protein	0	2	2	2	2
K00368: nirK; nitrite reductase (NO-forming)	0	17	13	17	15
K00854: xylB, XYLB; xylulokinase	0	3	3	3	3
K01735: aroB; 3-dehydroquinate synthase	0	9	9	9	9
K13829: aroKB; shikimate kinase / 3-dehydroquinate synthase	0	4	4	4	4
K08852: ERN1; serine/threonine-protein kinase/endoribonuclease IRE1	0	24	36	24	36
K02515: HSL1; serine/threonine-protein kinase HSL1, negative regulator of Swe1 kinase	0	4	4	4	4
K04427: MAP3K7, TAK1; mitogen-activated protein kinase kinase kinase 7	0	96	96	96	96
K06632: WEE1; wee1-like protein kinase	0	28	28	28	28
K06633: PKMYT; membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	0	35	35	35	35
K03114: SWE1; mitosis inhibitor protein kinase SWE1	0	28	28	28	28
K12316: GAA; lysosomal alpha-glucosidase	0	4	0	4	0
K00262: E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)	0	3	3	3	3
K03829: yedL; putative acetyltransferase	0	1	1	1	1
K15864: nirS; nitrite reductase (NO-forming) / hydroxylamine reductase	0	8	6	8	6
K01915: glnA, GLUL; glutamine synthetase	0	9	9	9	9
K08835: OXSR1, STK39; serine/threonine-protein kinase OSR1/STK39	0	1	1	1	1
K00284: GLU, gltS; glutamate synthase (ferredoxin)	0	9	9	9	9
K04781: mbtI, irp9, ybtS; salicylate synthetase	0	3	3	3	3
K01236: treZ, glgZ; maltooligosyltrehalose trehalohydrolase	0	1	1	1	1
K01424: E3.5.1.1, ansA, ansB; L-asparaginase	0	2	0	2	2
K02053: ABC.SP.P; putative spermidine/putrescine transport system permease protein	0	4	4	4	4
K01684: dgoD; galactonate dehydratase	0	1	1	1	1
K00652: bioF; 8-amino-7-oxononanoate synthase	0	4	4	4	4
K00639: kbl, GCAT; glycine C-acetyltransferase	0	6	6	6	6
K06683: CDC15; cell division control protein CDC15	0	3	3	3	3
K01952: PFAS, purL; phosphoribosylformylglycinamidine synthase	0	1	1	1	1
K11751: ushA; 5'-nucleotidase / UDP-sugar diphosphatase	0	24	24	24	18
K00766: trpD; anthranilate phosphoribosyltransferase	0	6	6	6	6
K02819: treB, treP; trehalose PTS system EIIBC or EIIBCA component	0	54	0	54	0
K02810: scrA, sacP, sacX, ptsS; sucrose PTS system EIIBCA or EIIBC component	0	81	0	81	0
K14170: pheA; chorismate mutase / prephenate dehydratase	0	18	39	18	36
K02765: gamP; D-glucosamine PTS system EIICBA component	0	54	0	54	0
K00787: FDPS; farnesyl diphosphate synthase	0	4	4	4	4
K02523: ispB; octaprenyl-diphosphate synthase	0	14	14	14	14
K08831: SRPK2; serine/threonine-protein kinase SRPK2	0	4	0	4	4
K00615: E2.2.1.1, tktA, tktB; transketolase	0	9	9	9	9
K04468: NLK; nemo like kinase	0	15	0	15	15
K02275: coxB, ctaC; cytochrome c oxidase subunit II	0	4	3	4	4
K00405: ccoO; cytochrome c oxidase cbb3-type subunit II	0	8	8	8	8
K10527: MFP2; enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase	0	14	14	14	14
K07514: EHHADH; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase	0	77	77	77	77
K12776: MEK1; meiosis-specific serine/threonine-protein kinase MEK1	0	2	2	2	2
K01119: cpdB; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase	0	18	16	18	12
K08693: yfkN; 2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase	0	6	6	6	6
K00765: hisG; ATP phosphoribosyltransferase	0	1	1	1	1
K02563: murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	0	4	4	4	4
K01523: hisE; phosphoribosyl-ATP pyrophosphohydrolase	0	7	7	7	7
K01113: phoD; alkaline phosphatase D	0	2	0	2	2
K01513: ENPP1_3, CD203; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3	0	8	8	8	16
K00616: E2.2.1.2, talA, talB; transaldolase	0	2	2	2	2
K05797: pchF; 4-cresol dehydrogenase (hydroxylating) flavoprotein subunit	0	1	1	1	1
K01929: murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	0	6	6	6	6
K03828: yjgM; putative acetyltransferase	0	1	1	1	1
K01624: FBA, fbaA; fructose-bisphosphate aldolase, class II	0	10	10	10	10
K04466: MAP3K14, NIK; mitogen-activated protein kinase kinase kinase 14	0	60	60	60	60
K04415: MAP3K8, COT; mitogen-activated protein kinase kinase kinase 8	0	25	25	25	25
K04416: MAP3K1, MEKK1; mitogen-activated protein kinase kinase kinase 1	0	44	44	44	44
K08093: hxlA; 3-hexulose-6-phosphate synthase	0	10	8	10	6
K08094: hxlB; 6-phospho-3-hexuloisomerase	0	10	8	10	6
K13831: hps-phi; 3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase	0	8	6	8	4
K08800: NUAK; NUAK family, SNF1-like kinase	0	3	3	3	3
K04733: IRAK4; interleukin-1 receptor-associated kinase 4	0	69	69	69	69
K08865: PBK; PDZ-binding kinase	0	1	1	1	1
K03763: polC; DNA polymerase III subunit alpha, Gram-positive type	0	10	10	10	10
K05606: MCEE, epi; methylmalonyl-CoA/ethylmalonyl-CoA epimerase	0	8	8	8	4
K01183: E3.2.1.14; chitinase	0	1	1	1	1
K01616: kgd; multifunctional 2-oxoglutarate metabolism enzyme	0	4	4	4	4
K13995: nicF; maleamate amidohydrolase	0	1	1	1	1
K00161: PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit	0	21	21	21	21
K00215: dapB; 4-hydroxy-tetrahydrodipicolinate reductase	0	2	2	2	2
K00263: E1.4.1.9; leucine dehydrogenase	0	2	2	2	2
K01471: nylA; 6-aminohexanoate-cyclic-dimer hydrolase	0	1	1	1	1
K01703: leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit	0	6	6	6	6
K08827: PRPF4B; serine/threonine-protein kinase PRP4	0	2	2	2	2
K01714: dapA; 4-hydroxy-tetrahydrodipicolinate synthase	0	4	4	4	4
K02750: glvC, malP, aglA; alpha-glucoside PTS system EIICB component	0	33	0	33	0
K02788: lacE; lactose PTS system EIICB component	0	12	0	12	3
K12977: lpxE; lipid A 1-phosphatase	0	4	4	4	4
K00491: nos; nitric-oxide synthase, bacterial	0	4	2	4	2
K06272: ILK; integrin-linked kinase	0	8	8	8	8
K03049: rpoE1; DNA-directed RNA polymerase subunit E'	0	4	4	4	4
K00355: NQO1; NAD(P)H dehydrogenase (quinone)	0	12	12	12	12
K04732: IRAK3; interleukin-1 receptor-associated kinase 3	0	6	6	6	6
K01514: PRUNE, PPX1; exopolyphosphatase	0	2	2	2	2
K00432: gpx, btuE, bsaA; glutathione peroxidase	0	6	6	6	6
K08838: STK24_25_MST4; serine/threonine-protein kinase 24/25/MST4	0	2	2	2	2
K00690: E2.4.1.7; sucrose phosphorylase	0	1	1	1	1
K01227: ENGASE; mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	0	3	2	3	3
K13714: atl; bifunctional autolysin	0	4	2	4	3
K00939: adk, AK; adenylate kinase	0	6	6	6	6
K14500: BSK; BR-signaling kinase	0	2	2	2	2
K02214: CDC7; cell division control protein 7	0	20	20	20	20
K03097: CSNK2A; casein kinase II subunit alpha	0	42	42	42	42
K08302: gatY-kbaY; tagatose 1,6-diphosphate aldolase GatY/KbaY	0	2	2	2	2
K01232: glvA; maltose-6'-phosphate glucosidase	0	1	1	1	1
K01214: ISA, treX; isoamylase	0	1	1	1	1
K08844: LRRK2; leucine-rich repeat kinase 2	0	10	10	10	10
K08843: LRRK1; leucine-rich repeat kinase 1	0	2	2	2	2
K10437: PHAA, PHACA, CYP504A1; phenylacetate 2-hydroxylase	0	3	3	3	3
K07313: pphA; serine/threonine protein phosphatase 1	0	4	4	4	4
K08791: LATS1_2, Wts; serine/threonine-protein kinase LATS1/2	0	5	5	5	5
K03856: AROA2, aroA; 3-deoxy-7-phosphoheptulonate synthase	0	11	12	11	12
K08850: AURKX; aurora kinase, other	0	8	8	8	8
K13420: FLS2; LRR receptor-like serine/threonine-protein kinase FLS2	0	6	6	6	6
K13428: EFR; LRR receptor-like serine/threonine-protein kinase EFR	0	4	4	4	4
K06116: GPP; glycerol-1-phosphatase	0	2	2	2	2
K04426: MAP3K5, ASK1; mitogen-activated protein kinase kinase kinase 5	0	42	42	42	42
K04425: MAP3K6, ASK2; mitogen-activated protein kinase kinase kinase 6	0	4	4	4	4
K13986: MAP3K15; mitogen-activated protein kinase kinase kinase 15	0	2	2	2	2
K09699: DBT, bkdB; 2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)	0	2	2	2	2
K14157: AASS; alpha-aminoadipic semialdehyde synthase	0	1	1	1	1
K13414: MEKK1; mitogen-activated protein kinase kinase kinase 1	0	6	6	6	6
K01664: pabA; para-aminobenzoate synthetase component II	0	10	10	10	10
K11175: purN; phosphoribosylglycinamide formyltransferase 1	0	14	14	14	14
K01466: allB; allantoinase	0	1	1	1	1
K14502: BIN2; protein brassinosteroid insensitive 2	0	2	0	2	2
K01705: LYS4; homoaconitate hydratase	0	1	1	1	1
K01837: BPGM; bisphosphoglycerate/phosphoglycerate mutase	0	6	6	6	6
K14581: nahAa, nagAa, ndoR, nbzAa, dntAa; naphthalene 1,2-dioxygenase ferredoxin reductase component	0	15	15	15	15
K02753: ascF; beta-glucoside (arbutin/salicin/cellobiose) PTS system EIICB component	0	36	0	36	0
K01661: menB; naphthoate synthase	0	1	1	1	1
K01303: APEH; acylaminoacyl-peptidase	0	1	1	1	1
K10563: mutM, fpg; formamidopyrimidine-DNA glycosylase	0	2	2	2	2
K08789: MAST; microtubule-associated serine/threonine kinase	0	3	3	3	3
