L1	L2	L3	KO	Function	EC
Function unknown	Uncharacterized membrane protein		COG2426	:	
Function unknown	Uncharacterized conserved protein YjgD, DUF1641 family		COG2427	YjgD:	
Translation, ribosomal structure and biogenesis	Rps3 or RNA methylase involved in ribosome biogenesis, SPOUT family		COG2428	Sfm1:	
Nucleotide transport and metabolism	Archaeal GTP cyclohydrolase III		COG2429	Gch31:Riboflavin/FAD biosynthesis	
Function unknown	Uncharacterized conserved protein, DUF432 domain		COG2430	:	
Amino acid transport and metabolism	Lysine export protein LysO/YbjE, DUF340 family		COG2431	LysO:	
General function prediction only	Possible nuclease of RNase H fold, RuvC/YqgF family		COG2433	:	
Energy production and conversion	Ferredoxin-like protein FixX		COG2440	FixX:	
General function prediction only	Predicted butyrate kinase, DUF1464 family		COG2441	:	
Defense mechanisms	Predicted antitoxin component of a toxin-antitoxin system, DUF433 family		COG2442	:	
Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit Sss1		COG2443	Sss1:	
General function prediction only	Uncharacterized HEPN domain protein YutE, UPF0331/DUF86 family		COG2445	YutE:	
Cell cycle control, cell division, chromosome partitioning	Predicted archaeal cell division protein, SepF family		COG2450	SepFarc:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L35AE/L33A		COG2451	Rpl35A:Archaeal ribosomal proteins	
Mobilome: prophages, transposons	Predicted site-specific integrase-resolvase		COG2452	:	
Signal transduction mechanisms	Protein-tyrosine phosphatase		COG2453	CDC14:	
General function prediction only	Predicted nuclease, contains PIN domain		COG2454	:	
Function unknown	Uncharacterized conserved protein, DUF2304 domain		COG2456	:	
Function unknown	Uncharacterized conserved protein, DUF447 domain		COG2457	:	
General function prediction only	Uncharacterized conserved protein AF0170, contains SAB, hemerythrin HHE, and PAS domains		COG2461	:	
Signal transduction mechanisms	Archaeal chemotaxis protein CheF		COG2469	CheF:	
Translation, ribosomal structure and biogenesis	Ribosome-associated protein YbcJ, S4-like RNA-binding protein		COG2501	YbcJ:	
Amino acid transport and metabolism	Asparagine synthetase A		COG2502	AsnA:Asparagine biosynthesis	
General function prediction only	Predicted secreted acid phosphatase		COG2503	:	
Transcription	DNA-binding transcriptional regulator, PucR/PutR family		COG2508	PucR:	
General function prediction only	FAD-dependent dehydrogenase		COG2509	:	
Coenzyme transport and metabolism	Riboflavin transporter RibN, EamA domain		COG2510	RibN:	
Translation, ribosomal structure and biogenesis	Archaeal Glu-tRNAGln amidotransferase subunit E, contains GAD domain		COG2511	GatE:	
General function prediction only	Predicted transcriptional regulator, contains CW (cell wall-binding) repeats and an HTH domain		COG2512	:	
Carbohydrate transport and metabolism	2-Methylisocitrate lyase and related enzymes, PEP mutase family		COG2513	PrpB:	
Secondary metabolites biosynthesis, transport and catabolism	Catechol-2,3-dioxygenase		COG2514	CatE:	
Amino acid transport and metabolism	1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family		COG2515	Acd:	
General function prediction only	Biotin synthase-related protein, radical SAM superfamily		COG2516	:	
General function prediction only	Predicted RNA-binding protein, contains C-terminal EMAP domain		COG2517	:	
Posttranslational modification, protein turnover, chaperones	Protein-L-isoaspartate O-methyltransferase		COG2518	Pcm:	
Translation, ribosomal structure and biogenesis	tRNA A58 N-methylase Trm61		COG2519	Gcd14:tRNA modification	
Translation, ribosomal structure and biogenesis	tRNA G37 N-methylase Trm5		COG2520	Trm5:tRNA modification	
General function prediction only	Predicted archaeal methyltransferase		COG2521	:	
Transcription	Predicted transcriptional regulator, contains XRE-type HTH domain		COG2522	AF0184:	
Transcription	Predicted transcriptional regulator, contains C-terminal CBS domains		COG2524	:	
Defense mechanisms	Beta-lactamase class D		COG2602	YbxI:	
Translation, ribosomal structure and biogenesis	tRNA 2-selenouridine synthase SelU, contains rhodanese domain		COG2603	SelU:tRNA modification	
Function unknown	Uncharacterized conserved protein		COG2604	:	
General function prediction only	Predicted kinase related to galactokinase and mevalonate kinase		COG2605	:	
Translation, ribosomal structure and biogenesis	Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC		COG2606	EbsC:	
General function prediction only	Predicted ATPase, AAA+ superfamily		COG2607	Atu1564:	
Inorganic ion transport and metabolism	Copper chaperone CopZ		COG2608	CopZ:	
Energy production and conversion	Pyruvate dehydrogenase complex, dehydrogenase (E1) component		COG2609	AceE:Pyruvate oxidation	
Carbohydrate transport and metabolism	H+/gluconate symporter GntT or related permease, GntP/DsdX family		COG2610	GntT:	
Signal transduction mechanisms	Hemerythrin		COG2703	:	
Carbohydrate transport and metabolism	Anaerobic C4-dicarboxylate transporter		COG2704	DcuA:	
Carbohydrate transport and metabolism	6-phosphogluconolactonase, cycloisomerase 2 family		COG2706	Pgl:	
Function unknown	Uncharacterized membrane protein, DUF441 family		COG2707	YeaL:	
Coenzyme transport and metabolism	Nitrogenase Mo-Fe protein NifD/coenzyme F430 biosynthesis subunit CfbD		COG2710	NifD/CfbD:	
Inorganic ion transport and metabolism	Nitrogenase Mo-Fe protein NifD/coenzyme F430 biosynthesis subunit CfbD		COG2710	NifD/CfbD:	
General function prediction only	Spore maturation protein SpmA (function unknown)		COG2715	SpmA:	
Amino acid transport and metabolism	Glycine cleavage system regulator GcvR		COG2716	GcvR:	
Energy production and conversion	Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases		COG2717	MsrQ:	
General function prediction only	Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family		COG2718	YeaH:	
Cell cycle control, cell division, chromosome partitioning	Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)		COG2719	SpoVR:	
Defense mechanisms	Vancomycin resistance protein YoaR (function unknown), contains peptidoglycan-binding and VanW domains		COG2720	YoaR:	
Carbohydrate transport and metabolism	Altronate dehydratase		COG2721	UxaA:	
Carbohydrate transport and metabolism	Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase		COG2723	BglB:	
Carbohydrate transport and metabolism	Aryl-phospho-beta-D-glucosidase BglC, GH1 family		COG2730	BglC:	
Carbohydrate transport and metabolism	Beta-galactosidase, beta subunit		COG2731	EbgC:	
Transcription	Barstar, RNAse (barnase) inhibitor		COG2732	BarS:	
Function unknown	Uncharacterized membrane-anchored protein YjiN, DUF445 family		COG2733	YjiN:	
Posttranslational modification, protein turnover, chaperones	Zn-dependent membrane protease YugP		COG2738	YugP:	
Transcription	Predicted DNA-binding protein YlxM, UPF0122 family		COG2739	YlxM:	
General function prediction only	Nucleoid-associated protein YlxR, Predicted RNA-binding, DUF448 family		COG2740	YlxR:	
Defense mechanisms	Aminoglycoside N3'-acetyltransferase		COG2746	YokD:	
Transcription	Negative regulator of flagellin synthesis (anti-sigma28 factor)		COG2747	FlgM:	
Cell motility	Negative regulator of flagellin synthesis (anti-sigma28 factor)		COG2747	FlgM:	
Cell cycle control, cell division, chromosome partitioning	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK		COG2755	TesA:	
Lipid transport and metabolism	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK		COG2755	TesA:	
Nucleotide transport and metabolism	Formyltetrahydrofolate synthetase		COG2759	MIS1:	
Posttranslational modification, protein turnover, chaperones	Predicted dithiol-disulfide isomerase, DsbA/YjbH family (virulence, stress resistance)		COG2761	FrnE:	
Energy production and conversion	Zn-dependent glyoxalase, PhnB family		COG2764	PhnB:	
Signal transduction mechanisms	Predicted Ser/Thr protein kinase		COG2766	PrkA:	
Function unknown	Uncharacterized Fe-S cluster protein		COG2768	:	
Signal transduction mechanisms	HAMP domain		COG2770	HAMP:	
Transcription	DNA-binding transcriptional regulator, CsgD family		COG2771	CsgD:	
Mobilome: prophages, transposons	Transposase InsO and inactivated derivatives		COG2801	Tra5:	
Function unknown	Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily		COG2802	LON/PUA:	
Cell motility	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB		COG2804	PulE:	
Intracellular trafficking, secretion, and vesicular transport	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB		COG2804	PulE:	
Extracellular structures	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB		COG2804	PulE:	
Cell motility	Type IV pilus assembly protein PilT, pilus retraction ATPase		COG2805	PilT:	
Extracellular structures	Type IV pilus assembly protein PilT, pilus retraction ATPase		COG2805	PilT:	
Inorganic ion transport and metabolism	Cyanate permease		COG2807	CynX:	
Signal transduction mechanisms	Predicted FMN-binding regulatory protein PaiB		COG2808	PaiB:	
Defense mechanisms	Predicted type IV restriction endonuclease		COG2810	:	
Energy production and conversion	Archaeal/vacuolar-type H+-ATPase subunit H		COG2811	NtpH:A/V-type ATP synthase	
Replication, recombination and repair	DNA polymerase III, gamma/tau subunits		COG2812	DnaX:	
Translation, ribosomal structure and biogenesis	16S rRNA G1207 methylase RsmC		COG2813	RsmC:16S rRNA modification	
Carbohydrate transport and metabolism	Predicted arabinose efflux permease AraJ, MFS family		COG2814	AraJ:	
Cell wall/membrane/envelope biogenesis	PASTA domain, binds beta-lactams		COG2815	PASTA:	
Nucleotide transport and metabolism	NADH pyrophosphatase NudC, Nudix superfamily		COG2816	NPY1:	
Replication, recombination and repair	3-methyladenine DNA glycosylase Tag		COG2818	Tag:	
General function prediction only	Predicted hydrolase of the alpha/beta superfamily		COG2819	YbbA:	
Nucleotide transport and metabolism	Uridine phosphorylase		COG2820	Udp:Pyrimidine salvage	
Cell wall/membrane/envelope biogenesis	Membrane-bound lytic murein transglycosylase		COG2821	MltA:	
Inorganic ion transport and metabolism	Iron uptake system EfeUOB, periplasmic (or lipoprotein) component EfeO/EfeM		COG2822	EfeO:	
Cell wall/membrane/envelope biogenesis	Osmotically-inducible protein OsmY, contains BON domain		COG2823	OsmY:	
General function prediction only	Uncharacterized Zn-ribbon-containing protein		COG2824	PhnA:	
Cell wall/membrane/envelope biogenesis	Periplasmic chaperone for outer membrane proteins, Skp family		COG2825	HlpA:	
Posttranslational modification, protein turnover, chaperones	Periplasmic chaperone for outer membrane proteins, Skp family		COG2825	HlpA:	
Mobilome: prophages, transposons	Transposase and inactivated derivatives, IS30 family		COG2826	Tra8:	
Replication, recombination and repair	Predicted endonuclease, GIY-YIG superfamily		COG2827	YhbQ:	
Energy production and conversion	2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)		COG2828	PrpF:	
Cell wall/membrane/envelope biogenesis	Outer membrane phospholipase A		COG2829	PldA:	
Function unknown	Uncharacterized conserved protein, DUF452 domain		COG2830	:	
Intracellular trafficking, secretion, and vesicular transport	Hemolysin activation/secretion protein		COG2831	FhaC:	
Function unknown	Uncharacterized membrane protein YbaN, DUF454 family		COG2832	YbaN:	
Function unknown	Uncharacterized protein, contains ferritin-like DUF455 domain		COG2833	:	
Cell wall/membrane/envelope biogenesis	Outer membrane lipoprotein-sorting protein		COG2834	LolA:	
Translation, ribosomal structure and biogenesis	RNA methyltransferase activator Trm112/YbaR		COG2835	Trm112:	
Function unknown	Uncharacterized membrane protein, DsbD domain		COG2836	DsbD:	
Inorganic ion transport and metabolism	Periplasmic deferrochelatase/peroxidase EfeB		COG2837	EfeB:	
Energy production and conversion	Monomeric isocitrate dehydrogenase		COG2838	IcdM:TCA cycle	
Function unknown	Uncharacterized conserved protein YqgC, DUF456 family		COG2839	YqgC:	
Replication, recombination and repair	DNA-nicking endonuclease, Smr domain		COG2840	SmrA:	
Function unknown	Uncharacterized conserved protein YdcH, DUF465 family		COG2841	YdcH:	
Mobilome: prophages, transposons	Bacteriophage DNA transposition protein, AAA+ family ATPase		COG2842	:	
Cell wall/membrane/envelope biogenesis	Poly-gamma-glutamate biosynthesis protein CapA/YwtB (capsule formation), metallophosphatase superfamily		COG2843	CapA:	
Posttranslational modification, protein turnover, chaperones	UTP:GlnB (protein PII) uridylyltransferase		COG2844	GlnD:	
Signal transduction mechanisms	UTP:GlnB (protein PII) uridylyltransferase		COG2844	GlnD:	
Function unknown	Uncharacterized conserved protein, DUF459 domain		COG2845	:	
Posttranslational modification, protein turnover, chaperones	Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains		COG2846	RIC:	
Inorganic ion transport and metabolism	Copper(I)-binding protein		COG2847	:	
Cell cycle control, cell division, chromosome partitioning	Uncharacterized conserved protein, UPF0210 family		COG2848	:	
Defense mechanisms	Antitoxin component YwqK of the YwqJK toxin-antitoxin module		COG2849	YwqK:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain		COG2850	RoxA:	
Energy production and conversion	Mg2+/citrate symporter		COG2851	CitM:	
Replication, recombination and repair	Very-short-patch-repair endonuclease		COG2852	YcjD:	
Cell wall/membrane/envelope biogenesis	Lipoprotein subunit MlaA of the ABC-type intermembrane phospholipid transporter Mla		COG2853	MlaA:	
Cell wall/membrane/envelope biogenesis	Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla		COG2854	MlaC:	
Function unknown	Uncharacterized membrane protein YadS, UPF0324 family		COG2855	YeiH:	
Posttranslational modification, protein turnover, chaperones	Zn-dependent peptidase ImmA, M78 family		COG2856	ImmA:	
Energy production and conversion	Cytochrome c1		COG2857	CYT1:	
Cell wall/membrane/envelope biogenesis	Outer membrane channel-forming protein BP26/OMP28, SIMPL family		COG2859	SIMPL:	
Function unknown	Uncharacterized membrane protein YeiH		COG2860	YadS:	
Carbohydrate transport and metabolism	Uncharacterized conserved protein YibQ, putative polysaccharide deacetylase 2 family		COG2861	YibQ:	
Function unknown	Uncharacterized membrane protein YqhA		COG2862	YqhA:	
Energy production and conversion	Cytochrome c553		COG2863	CytC553:	
Energy production and conversion	Cytochrome b subunit of formate dehydrogenase		COG2864	FdnI:	
Transcription	Predicted transcriptional regulator, contains HTH domain		COG2865	:	
Cell wall/membrane/envelope biogenesis	Murein tripeptide amidase MpaA		COG2866	MpaA:	
Translation, ribosomal structure and biogenesis	Ribosome association toxin PasT (RatA) of the RatAB toxin-antitoxin module		COG2867	PasT:	
Function unknown	Uncharacterized conserved protein YsxB, DUF464 family		COG2868	YsxB:	
Energy production and conversion	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC		COG2869	NqrC:Na+-translocating NADH dehydrogenase	
Cell wall/membrane/envelope biogenesis	ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase		COG2870	RfaE:	
Energy production and conversion	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF		COG2871	NqrF:Na+-translocating NADH dehydrogenase	
Translation, ribosomal structure and biogenesis	Ser-tRNA(Ala) deacylase AlaX (editing enzyme)		COG2872	AlaX:	
Amino acid transport and metabolism	O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent		COG2873	MET17:Methionine biosynthesis	
Cell motility	Archaellum biogenesis ATPase ArlH/FlaH		COG2874	FlaH:	
Coenzyme transport and metabolism	Precorrin-4 methylase		COG2875	CobM:Cobalamine/B12 biosynthesis	
Amino acid transport and metabolism	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase		COG2876	AroGA:Aromatic amino acid biosynthesis	
Cell wall/membrane/envelope biogenesis	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase		COG2877	KdsA:Lipid A biosynthesis	
Energy production and conversion	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit		COG2878	RnfB:Na+-translocating Fd:NADH oxidoreductase	
Function unknown	Uncharacterized short protein YbdD, DUF466 family		COG2879	YbdD:	
General function prediction only	Predicted DNA-binding protein, potential antitoxin AbrB/MazE fold		COG2880	:	
General function prediction only	GTPase-interacting Yip1 domain		COG2881	Yip1:	
Cell motility	Flagellar biosynthesis chaperone FliJ		COG2882	FliJ:	
Cell cycle control, cell division, chromosome partitioning	Cell division ATPase FtsE		COG2884	FtsE:	
Cell wall/membrane/envelope biogenesis	Outer membrane protein OmpA and related peptidoglycan-associated (lipo)proteins		COG2885	OmpA:	
General function prediction only	Predicted antitoxin, contains HTH domain		COG2886	:	
Replication, recombination and repair	RecB family exonuclease		COG2887	Slr0479:	
General function prediction only	Predicted RNA-binding protein involved in translation, contains  Zn-ribbon domain, DUF1610 family		COG2888	:	
Translation, ribosomal structure and biogenesis	Methylase of polypeptide chain release factors		COG2890	HemK:	
Cell wall/membrane/envelope biogenesis	Cell shape-determining protein MreD		COG2891	MreD:	
Translation, ribosomal structure and biogenesis	tRNA threonylcarbamoyladenosine modification (KEOPS) complex,  Pcc1 subunit		COG2892	Pcc1:tRNA modification	
Carbohydrate transport and metabolism	Phosphotransferase system, mannose/fructose-specific component IIA		COG2893	ManX:	
Cell cycle control, cell division, chromosome partitioning	Septum site-determining ATPase MinD		COG2894	MinD:	
Inorganic ion transport and metabolism	Sulfate adenylyltransferase subunit 1, EFTu-like GTPase family		COG2895	CysN:Cysteine biosynthesis	
Coenzyme transport and metabolism	GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA)		COG2896	MoaA:Molybdopterin biosynthesis	
Inorganic ion transport and metabolism	3-mercaptopyruvate sulfurtransferase SseA, contains two rhodanese domains		COG2897	SseA:	
Lipid transport and metabolism	Lysylphosphatidylglycerol synthetase MprF, lysyl-tRNA-binding C-terminal domain		COG2898	MprF2:	
Inorganic ion transport and metabolism	Uncharacterized TerC-related membrane protein, DUF475 domain		COG2899	TerC2:	
Function unknown	Uncharacterized coiled-coil protein SlyX (sensitive to lysis X)		COG2900	SlyX:	
Transcription	DNA-binding protein Fis (factor for inversion stimulation)		COG2901	Fis:	
Amino acid transport and metabolism	NAD-specific glutamate dehydrogenase		COG2902	Gdh2:	
Translation, ribosomal structure and biogenesis	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF, N-terminal domain		COG2904	QueFN:	
Signal transduction mechanisms	Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains		COG2905	:	
Inorganic ion transport and metabolism	Bacterioferritin-associated ferredoxin		COG2906	Bfd:	
General function prediction only	Predicted flavin-containing amine oxidase		COG2907	Ppro0129:	
Cell wall/membrane/envelope biogenesis	UDP-2,3-diacylglucosamine pyrophosphatase LpxH		COG2908	LpxH:	
Transcription	ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT		COG2909	MalT:	
General function prediction only	Putative NADH-flavin reductase		COG2910	YwnB:	
Intracellular trafficking, secretion, and vesicular transport	Autotransporter translocation and assembly protein TamB		COG2911	TamB:	
Signal transduction mechanisms	Regulator of sirC expression, contains transglutaminase-like and TPR domains		COG2912	SirB1:	
Cell wall/membrane/envelope biogenesis	Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex		COG2913	BamE:	
Defense mechanisms	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily		COG2914	PasI:	
Mobilome: prophages, transposons	Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation		COG2915	HflD:	
Signal transduction mechanisms	Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation		COG2915	HflD:	
Transcription	DNA-binding protein H-NS		COG2916	Hns:	
Cell cycle control, cell division, chromosome partitioning	Intracellular septation protein A		COG2917	YciB:	
Coenzyme transport and metabolism	Gamma-glutamylcysteine synthetase		COG2918	GshA:	
Cell cycle control, cell division, chromosome partitioning	Cell division protein FtsB		COG2919	FtsB:	
Translation, ribosomal structure and biogenesis	Sulfur transfer complex TusBCD TusE component, DsrC family (tRNA 2-thiouridine synthesizing protein C)		COG2920	TusE:	
Signal transduction mechanisms	Putative lipoate-binding regulatory protein, UPF0250 family		COG2921	YbeD:	
Function unknown	Uncharacterized conserved protein Smg, DUF494 family		COG2922	Smg:	
Translation, ribosomal structure and biogenesis	Sulfur transfer complex TusBCD TusC component, DsrF family		COG2923	DsrF:	
Inorganic ion transport and metabolism	Fe-S cluster biosynthesis and repair protein YggX		COG2924	YggX:	
Posttranslational modification, protein turnover, chaperones	Fe-S cluster biosynthesis and repair protein YggX		COG2924	YggX:	
Replication, recombination and repair	Exonuclease I (degrades ssDNA)		COG2925	SbcB:	
Function unknown	Uncharacterized conserved protein YeeX, DUF496 family		COG2926	YeeX:	
Replication, recombination and repair	DNA polymerase III, chi subunit		COG2927	HolC:	
Function unknown	Uncharacterized membrane protein		COG2928	:	
Function unknown	Uncharacterized conserved protein, DUF497 family		COG2929	:	
Lipid transport and metabolism	Lipid-binding SYLF domain, Ysc84/FYVE family		COG2930	SYLF:	
Secondary metabolites biosynthesis, transport and catabolism	Ca2+-binding protein, RTX toxin-related		COG2931	:	
Mobilome: prophages, transposons	Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains		COG2932	:	
Translation, ribosomal structure and biogenesis	23S rRNA C2498 (ribose-2'-O)-methylase RlmM		COG2933	RlmM:23S rRNA modification	
Posttranslational modification, protein turnover, chaperones	Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase		COG2935	Ate1:	
General function prediction only	Predicted acyl esterase		COG2936	:	
Lipid transport and metabolism	Glycerol-3-phosphate O-acyltransferase		COG2937	PlsB:Phospholipid biosynthesis	
Posttranslational modification, protein turnover, chaperones	Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module		COG2938	SdhE:	
Amino acid transport and metabolism	Carboxypeptidase C (cathepsin A)		COG2939	Kex1:	
General function prediction only	SET domain-containing protein (function unknown)		COG2940	SET:	
Coenzyme transport and metabolism	Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family (ubiquinone biosynthesis)		COG2941	Coq7:Ubiquinone biosynthesis	
Carbohydrate transport and metabolism	Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family		COG2942	YihS:	
Cell wall/membrane/envelope biogenesis	Membrane glycosyltransferase		COG2943	MdoH:	
Carbohydrate transport and metabolism	Membrane glycosyltransferase		COG2943	MdoH:	
Transcription	DNA-binding transcriptional regulator YiaG, XRE-type HTH domain		COG2944	YiaG:	
General function prediction only	Alpha/beta superfamily hydrolase		COG2945	:	
Replication, recombination and repair	DNA relaxase NicK		COG2946	NicK:	
General function prediction only	Predicted RNA-binding protein, contains EVE domain		COG2947	EVE:	
Intracellular trafficking, secretion, and vesicular transport	Type IV secretory pathway, VirB10 component		COG2948	VirB10:	
Cell wall/membrane/envelope biogenesis	Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin		COG2949	SanA:	
Cell wall/membrane/envelope biogenesis	Membrane-bound lytic murein transglycosylase B		COG2951	MltB:	
Function unknown	Uncharacterized conserved protein, DUF507 domain		COG2952	:	
General function prediction only	CYTH domain, found in class IV adenylate cyclase and various triphosphatases		COG2954	CYTH:	
Cell wall/membrane/envelope biogenesis	Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain		COG2956	LapB:	
Amino acid transport and metabolism	Agmatine/peptidylarginine deiminase		COG2957	AguA:	
Function unknown	Uncharacterized conserved protein		COG2958	:	
General function prediction only	Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)		COG2959	HemX:	
Coenzyme transport and metabolism	Ubiquinone biosynthesis accessory factor UbiK		COG2960	UbiK:	
Translation, ribosomal structure and biogenesis	23S rRNA A2030 N6-methylase RlmJ		COG2961	RlmJ:23S rRNA modification	
General function prediction only	Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family		COG2962	RarD:	
Mobilome: prophages, transposons	Transposase InsE and inactivated derivatives		COG2963	InsE:	
Transcription	Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains		COG2964	YheO:	
Replication, recombination and repair	Primosomal replication protein N		COG2965	PriB:	
Function unknown	Uncharacterized membrane protein YjjP, DUF1212 family		COG2966	YjjP:	
Inorganic ion transport and metabolism	Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport		COG2967	ApaG:	
Function unknown	Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain		COG2968	YggE:	
Posttranslational modification, protein turnover, chaperones	Stringent starvation protein B, binds SsrA peptide		COG2969	SspB:	
Carbohydrate transport and metabolism	BadF-type ATPase, related to human N-acetylglucosamine kinase		COG2971	BadF:	
Signal transduction mechanisms	Sensor histidine kinase YesM		COG2972	YesM:	
Transcription	Trp operon repressor		COG2973	TrpR:	
Replication, recombination and repair	DNA recombination-dependent growth factor RdgC		COG2974	RdgC:	
Posttranslational modification, protein turnover, chaperones	Fe-S-cluster formation regulator IscX/YfhJ		COG2975	IscX:	
Signal transduction mechanisms	Putative negative regulator of RcsB-dependent stress response, UPF0070 family		COG2976	YfgM:	
Secondary metabolites biosynthesis, transport and catabolism	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)		COG2977	EntD:	
Coenzyme transport and metabolism	p-Aminobenzoyl-glutamate transporter AbgT		COG2978	AbgT:	
Function unknown	Uncharacterized membrane protein YebE, DUF533 family		COG2979	YebE:	
Cell wall/membrane/envelope biogenesis	Outer membrane lipoprotein LptE/RlpB (LPS assembly)		COG2980	LptE:	
Amino acid transport and metabolism	Sulfate transporter CysZ		COG2981	CysZ:	
Inorganic ion transport and metabolism	Sulfate transporter CysZ		COG2981	CysZ:	
Cell wall/membrane/envelope biogenesis	Uncharacterized conserved protein AsmA involved in outer membrane biogenesis		COG2982	AsmA:	
General function prediction only	Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family		COG2983	YcgN:	
General function prediction only	ABC-type uncharacterized transport system, periplasmic component		COG2984	:	
General function prediction only	Uncharacterized membrane protein YbjL, putative transporter		COG2985	YbjL:	
Amino acid transport and metabolism	Histidine ammonia-lyase		COG2986	HutH:	
Amino acid transport and metabolism	Urocanate hydratase		COG2987	HutU:	
Amino acid transport and metabolism	Succinylglutamate desuccinylase		COG2988	AstE:	
Cell wall/membrane/envelope biogenesis	Murein L,D-transpeptidase YcbB/YkuD		COG2989	YcbB:	
Function unknown	Outer membrane protein VirK/YbjX involved in antimicrobial peptide resistance, DUF535 family		COG2990	VirK:	
Energy production and conversion	Na+-NQR maturation protein NqrM		COG2991	NqrM:Na+-translocating NADH dehydrogenase	
Posttranslational modification, protein turnover, chaperones	Na+-NQR maturation protein NqrM		COG2991	NqrM:Na+-translocating NADH dehydrogenase	
General function prediction only	Uncharacterized FlgJ-related protein		COG2992	Bax:	
Energy production and conversion	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO		COG2993	CcoO:	
Posttranslational modification, protein turnover, chaperones	ACP:hemolysin acyltransferase (hemolysin-activating protein)		COG2994	HlyC:	
Cell wall/membrane/envelope biogenesis	Intermembrane transporter PqiABC subunit PqiA		COG2995	PqiA:	
General function prediction only	Predicted RNA-binding protein YitL, contains S1 domains, virulence factor B family		COG2996	CvfB:	
Inorganic ion transport and metabolism	ABC-type tungstate transport system, permease component TupA		COG2998	TupB:	
Posttranslational modification, protein turnover, chaperones	Glutaredoxin 2		COG2999	GrxB:	
Lipid transport and metabolism	Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily		COG3000	ERG3:	
Carbohydrate transport and metabolism	Fructosamine-3-kinase		COG3001	FN3K:	
Energy production and conversion	Na+-translocating membrane potential-generating system subunit MpsB, UPF0753/DUF2309 family		COG3002	MpsB:	
Energy production and conversion	Na+/H+ antiporter NhaA		COG3004	NhaA:	
Inorganic ion transport and metabolism	Na+/H+ antiporter NhaA		COG3004	NhaA:	
Energy production and conversion	Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase		COG3005	NapC:	
Cell cycle control, cell division, chromosome partitioning	Chromosome condensin MukBEF, kleisin-like MukF subunit		COG3006	MukF:	
