L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG14534	hypothetical protein		
Function unknown	VOG14535	tail protein		
Function unknown	VOG14536	hypothetical protein		
Function unknown	VOG14537	hypothetical protein		
Function unknown	VOG14538	hypothetical protein		
Function unknown	VOG14539	hypothetical protein		
Function unknown	VOG14540	hypothetical protein		
Function unknown	VOG14541	hypothetical protein		
Function unknown	VOG14542	hypothetical protein		
Virus protein with function beneficial for the host	VOG14543	(6-4) photolyase		PHRB_AGRFC
Function unknown	VOG14544	hypothetical protein		
Function unknown	VOG14545	hypothetical protein		
Function unknown	VOG14546	hypothetical protein		
Function unknown	VOG14547	hypothetical protein		
Function unknown	VOG14548	hypothetical protein		
Function unknown	VOG14549	hypothetical protein		
Function unknown	VOG14550	hypothetical protein		
Function unknown	VOG14551	hypothetical protein		
Function unknown	VOG14552	hypothetical protein		
Function unknown	VOG14553	hypothetical protein		
Function unknown	VOG14554	hypothetical protein		
Function unknown	VOG14555	hypothetical protein		
Function unknown	VOG14556	hypothetical protein		
Function unknown	VOG14557	hypothetical protein		
Function unknown	VOG14558	Ring incomplete domain containing protein		
Function unknown	VOG14559	hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG14560	Envelopment polyprotein		GP_BUNYW
Function unknown	VOG14561	hypothetical protein		
Function unknown	VOG14562	hypothetical protein		
Function unknown	VOG14563	hypothetical protein		
Function unknown	VOG14564	hypothetical protein		
Function unknown	VOG14565	hypothetical protein		
Function unknown	VOG14566	hypothetical protein		
Function unknown	VOG14567	hypothetical protein		
Function unknown	VOG14568	hypothetical protein		
Function unknown	VOG14569	holin		
Function unknown	VOG14570	Uncharacterized protein R762		YR762_MIMIV
Function unknown	VOG14571	hypothetical protein		
Function unknown	VOG14572	hypothetical protein		
Function unknown	VOG14573	hypothetical protein		
Function unknown	VOG14574	hypothetical protein		
Function unknown	VOG14575	hypothetical protein		
Function unknown	VOG14576	DUF3519 domain-containing protein		
Function unknown	VOG14577	hypothetical protein		
Function unknown	VOG14578	hypothetical protein		
Function unknown	VOG14579	hypothetical protein		
Function unknown	VOG14580	hypothetical protein		
Function unknown	VOG14581	hypothetical protein		
Function unknown	VOG14582	hypothetical protein		
Function unknown	VOG14583	hypothetical protein		
Function unknown	VOG14584	hypothetical protein		
Function unknown	VOG14585	hypothetical protein		
Function unknown	VOG14586	hypothetical protein		
Function unknown	VOG14587	hypothetical protein		
Function unknown	VOG14588	hypothetical protein		
Function unknown	VOG14589	hypothetical protein		
Virus protein with function beneficial for the host	VOG14590	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 homolog		SAMH1_DICDI
Function unknown	VOG14591	hypothetical protein		
Function unknown	VOG14592	113L		
Function unknown	VOG14593	hypothetical protein		
Function unknown	VOG14594	hypothetical protein		
Function unknown	VOG14595	CxxC motif protein		
Function unknown	VOG14596	putative orfan		
Function unknown	VOG14597	hypothetical protein		
Function unknown	VOG14598	Uncharacterized protein 097R		097R_FRG3G
Function unknown	VOG14599	protein ORF87		
Function unknown	VOG14600	hypothetical protein		
Function unknown	VOG14601	hypothetical protein		
Function unknown	VOG14602	hypothetical protein		
Function unknown	VOG14603	hypothetical protein		
Function unknown	VOG14604	hypothetical protein		
Function unknown	VOG14605	hypothetical protein		
Function unknown	VOG14606	hypothetical protein		
Function unknown	VOG14607	hypothetical protein		
Function unknown	VOG14608	hypothetical protein		
Function unknown	VOG14609	hypothetical protein		
Function unknown	VOG14610	hypothetical protein		
Function unknown	VOG14611	hypothetical protein		
Function unknown	VOG14612	Uncharacterized 7.9 kDa protein in cd-pseT intergenic region		Y13G_BPT4
Function unknown	VOG14613	hypothetical protein		
Function unknown	VOG14614	hypothetical protein		
Function unknown	VOG14615	RNA polymerase RPO35		
Function unknown	VOG14616	hypothetical protein		
Function unknown	VOG14617	hypothetical protein		
Function unknown	VOG14618	hypothetical protein		
Function unknown	VOG14619	hypothetical protein		
Function unknown	VOG14620	hypothetical protein		
Function unknown	VOG14621	hypothetical protein		
Function unknown	VOG14622	hypothetical protein		
Function unknown	VOG14623	hypothetical protein		
Function unknown	VOG14624	membrane protein ORF147B		
Function unknown	VOG14625	hypothetical protein		
Function unknown	VOG14626	hypothetical protein		
Function unknown	VOG14627	hypothetical protein		
Function unknown	VOG14628	hypothetical protein		
Function unknown	VOG14629	hypothetical protein		
Function unknown	VOG14630	hypothetical protein		
Function unknown	VOG14631	hypothetical protein		
Function unknown	VOG14632	tail protein		
Function unknown	VOG14633	hypothetical protein		
Function unknown	VOG14634	hypothetical protein		
Function unknown	VOG14635	hypothetical protein		
Function unknown	VOG14636	hypothetical protein		
Function unknown	VOG14637	hypothetical protein		
Function unknown	VOG14638	hypothetical protein		
Function unknown	VOG14639	hypothetical protein		
Function unknown	VOG14640	baseplate wedge subunit		
Function unknown	VOG14641	hypothetical protein		
Function unknown	VOG14642	hypothetical protein		
Function unknown	VOG14643	hypothetical protein		
Function unknown	VOG14644	hypothetical protein		
Function unknown	VOG14645	hypothetical protein		
Function unknown	VOG14646	hypothetical protein		
Function unknown	VOG14647	protein p7		
Function unknown	VOG14648	hypothetical protein		
Function unknown	VOG14649	hypothetical protein		
Virus protein with function beneficial for the host	VOG14650	Snake venom vascular endothelial growth factor toxin barietin		TXVE_BITAR
Function unknown	VOG14651	hypothetical protein		
Function unknown	VOG14652	hypothetical protein		
Function unknown	VOG14653	hypothetical protein		
Function unknown	VOG14654	hypothetical protein		
Function unknown	VOG14655	hypothetical protein		
Function unknown	VOG14656	hypothetical protein		
Function unknown	VOG14657	lipoprotein		
Function unknown	VOG14658	putative orfan		
Function unknown	VOG14659	hypothetical protein		
Function unknown	VOG14660	endonuclease		
Function unknown	VOG14661	putative orfan		
Function unknown	VOG14662	hypothetical protein		
Function unknown	VOG14663	hypothetical protein		
Function unknown	VOG14664	hypothetical protein		
Function unknown	VOG14665	hypothetical protein		
Function unknown	VOG14666	hypothetical protein		
Function unknown	VOG14667	hypothetical protein		
Function unknown	VOG14668	hypothetical protein		
Function unknown	VOG14669	hypothetical protein		
Function unknown	VOG14670	tail assembly chaperone		
Function unknown	VOG14671	hypothetical protein		
Function unknown	VOG14672	hypothetical protein		
Function unknown	VOG14673	hypothetical protein		
Function unknown	VOG14674	hypothetical protein		
Virus protein with function beneficial for the host	VOG14675	Probable transaldolase		TAL_CAUVN
Function unknown	VOG14676	structural protein		
Function unknown	VOG14677	hypothetical protein		
Function unknown	VOG14678	hypothetical protein		
Function unknown	VOG14679	G-I-Y Y-I-G endonuclease		
Function unknown	VOG14680	hypothetical protein		
Function unknown	VOG14681	hypothetical protein		
Function unknown	VOG14682	hypothetical protein		
Function unknown	VOG14683	hypothetical protein		
Function unknown	VOG14684	hypothetical protein		
Function unknown	VOG14685	hypothetical protein		
Function unknown	VOG14686	hypothetical protein		
Function unknown	VOG14687	hypothetical protein		
Function unknown	VOG14688	hypothetical protein		
Function unknown	VOG14689	hypothetical protein		
Function unknown	VOG14690	Uncharacterized protein 81		Y81_SIRV1
Function unknown	VOG14691	hypothetical protein		
Function unknown	VOG14692	hypothetical protein		
Function unknown	VOG14693	hypothetical protein		
Function unknown	VOG14694	hypothetical protein		
Function unknown	VOG14695	hypothetical protein		
Function unknown	VOG14696	hypothetical protein		
Function unknown	VOG14697	hypothetical protein		
Function unknown	VOG14698	hypothetical protein		
Function unknown	VOG14699	protein E7B		
Function unknown	VOG14700	hypothetical protein		
Function unknown	VOG14701	hypothetical protein		
Function unknown	VOG14702	hypothetical protein		
Function unknown	VOG14703	hypothetical protein		
Function unknown	VOG14704	hypothetical protein		
Function unknown	VOG14705	hypothetical protein		
Function unknown	VOG14706	hypothetical protein		
Function unknown	VOG14707	hypothetical protein		
Function unknown	VOG14708	hypothetical protein		
Function unknown	VOG14709	hypothetical protein		
Function unknown	VOG14710	hypothetical protein		
Function unknown	VOG14711	hypothetical protein		
Function unknown	VOG14712	hypothetical protein		
Function unknown	VOG14713	hypothetical protein		
Function unknown	VOG14714	hypothetical protein		
Function unknown	VOG14715	hypothetical protein		
Function unknown	VOG14716	membrane protein		
Function unknown	VOG14717	hypothetical protein		
Function unknown	VOG14718	hypothetical protein		
Function unknown	VOG14719	hypothetical protein		
Function unknown	VOG14720	hypothetical protein		
Function unknown	VOG14721	hypothetical protein		
Function unknown	VOG14722	hypothetical protein		
Function unknown	VOG14723	hypothetical protein		
Function unknown	VOG14724	hypothetical protein		
Function unknown	VOG14725	hypothetical protein		
Function unknown	VOG14726	Uncharacterized ORF1 protein		YORF1_NORAV
Function unknown	VOG14727	hypothetical protein		
Function unknown	VOG14728	hypothetical protein		
Function unknown	VOG14729	hypothetical protein		
Function unknown	VOG14730	hypothetical protein		
Function unknown	VOG14731	hypothetical protein		
Function unknown	VOG14732	hypothetical protein		
Function unknown	VOG14733	hypothetical protein		
Function unknown	VOG14734	hypothetical protein		
Function unknown	VOG14735	hypothetical protein		
Function unknown	VOG14736	hypothetical protein		
Function unknown	VOG14737	hypothetical protein		
Function unknown	VOG14738	hypothetical protein		
Function unknown	VOG14739	hypothetical protein		
Function unknown	VOG14740	hypothetical protein		
Function unknown	VOG14741	hypothetical protein		
Function unknown	VOG14742	hypothetical protein		
Function unknown	VOG14743	hypothetical protein		
Function unknown	VOG14744	Exodeoxyribonuclease 7 large subunit		EX7L_COREF
Function unknown	VOG14745	hypothetical protein		
Function unknown	VOG14746	hypothetical protein		
Function unknown	VOG14747	ABC-type cobalt transporter		
Function unknown	VOG14748	hypothetical protein		
Function unknown	VOG14749	hypothetical protein		
Function unknown	VOG14750	hypothetical protein		
Function unknown	VOG14751	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG14752	Matrix protein		MATRX_MMVR
Function unknown	VOG14753	hypothetical protein		
Function unknown	VOG14754	virion structural protein		
Function unknown	VOG14755	hypothetical protein		
Function unknown	VOG14756	hypothetical protein		
Function unknown	VOG14757	hypothetical protein		
Function unknown	VOG14758	hypothetical protein		
Function unknown	VOG14759	hypothetical protein		
Function unknown	VOG14760	hypothetical protein		
Function unknown	VOG14761	helix-turn-helix DNA-binding domain protein		
Function unknown	VOG14762	hypothetical protein		
Function unknown	VOG14763	Acetylpolyamine amidohydrolase		APAH_MYCRA
Function unknown	VOG14764	hypothetical protein		
Function unknown	VOG14765	hypothetical protein		
Virus replication | Virus structure	VOG14766	Phosphoprotein		PHOSP_TAVCV
Function unknown	VOG14767	hypothetical protein		
Function unknown	VOG14768	hypothetical protein		
Function unknown	VOG14769	hypothetical protein		
Function unknown	VOG14770	hypothetical protein		
Function unknown	VOG14771	hypothetical protein		
Function unknown	VOG14772	gp197		
Function unknown	VOG14773	hypothetical protein		
Function unknown	VOG14774	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG14775	Genome polyprotein		POLG_SMSV1
Function unknown	VOG14776	gp44		
Function unknown	VOG14777	hypothetical protein		
Function unknown	VOG14778	hypothetical protein		
Function unknown	VOG14779	hypothetical protein		
Function unknown	VOG14780	hypothetical protein		
Function unknown	VOG14781	DNA topoisomerase I		
Function unknown	VOG14782	hypothetical protein		
Function unknown	VOG14783	hypothetical protein		
Function unknown	VOG14784	hypothetical protein		
Function unknown	VOG14785	hypothetical protein		
Function unknown	VOG14786	glutamine amidotransferase domain		
Function unknown	VOG14787	hypothetical protein		
Function unknown	VOG14788	hypothetical protein		
Function unknown	VOG14789	hypothetical protein		
Function unknown	VOG14790	hypothetical protein		
Function unknown	VOG14791	hypothetical protein		
Function unknown	VOG14792	hypothetical protein		
Function unknown	VOG14793	hypothetical protein		
Function unknown	VOG14794	hypothetical protein		
Function unknown	VOG14795	hypothetical protein		
Function unknown	VOG14796	hypothetical protein		
Function unknown	VOG14797	hypothetical protein		
Function unknown	VOG14798	hypothetical protein		
Function unknown	VOG14799	hypothetical protein		
Virus protein with function beneficial for the host	VOG14800	Protein THYLAKOID FORMATION1, chloroplastic		THF1_ORYSJ
Function unknown	VOG14801	hypothetical protein		
Function unknown	VOG14802	hypothetical protein		
Function unknown	VOG14803	hypothetical protein		
Function unknown	VOG14804	Gene 79 protein		VG79_BPML5
Function unknown	VOG14805	hypothetical protein		
Function unknown	VOG14806	hypothetical protein		
Function unknown	VOG14807	methyltransferase		
Function unknown	VOG14808	hypothetical protein		
Function unknown	VOG14809	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG14810	Tail completion protein p143		COMPL_BPT5
Function unknown	VOG14811	hypothetical protein		
Function unknown	VOG14812	hypothetical protein		
Function unknown	VOG14813	hypothetical protein		
Function unknown	VOG14814	hypothetical protein		
Function unknown	VOG14815	hypothetical protein		
Function unknown	VOG14816	hypothetical protein		
Function unknown	VOG14817	hypothetical protein		
Function unknown	VOG14818	hypothetical protein		
Function unknown	VOG14819	hypothetical protein		
Function unknown	VOG14820	hypothetical protein		
Function unknown	VOG14821	hypothetical protein		
Function unknown	VOG14822	hypothetical protein		
Function unknown	VOG14823	hypothetical protein		
Function unknown	VOG14824	hypothetical protein		
Function unknown	VOG14825	hypothetical protein		
Virus protein with function beneficial for the host	VOG14826	Bactoprenol glucosyl transferase		GTRB_BPSF5
Function unknown	VOG14827	hypothetical protein		
Function unknown	VOG14828	hypothetical protein		
Function unknown	VOG14829	hypothetical protein		
Function unknown	VOG14830	hypothetical protein 1		
Function unknown	VOG14831	hypothetical protein		
Function unknown	VOG14832	hypothetical protein		
Function unknown	VOG14833	hypothetical protein		
Function unknown	VOG14834	hypothetical protein		
Function unknown	VOG14835	hypothetical protein		
Virus protein with function beneficial for the host	VOG14836	Killing protein KilR		KILR_ECOLI
Function unknown	VOG14837	hypothetical protein		
Function unknown	VOG14838	hypothetical protein		
Function unknown	VOG14839	protein of unknown function DUF2800		
Function unknown	VOG14840	minor tail protein		
Function unknown	VOG14841	hypothetical protein		
Function unknown	VOG14842	hypothetical protein		
Function unknown	VOG14843	hypothetical protein		
Function unknown	VOG14844	hypothetical protein		
Function unknown	VOG14845	gp48		
Function unknown	VOG14846	polyketide cyclase		
Function unknown	VOG14847	putative ORFan		
Function unknown	VOG14848	hypothetical protein		
Function unknown	VOG14849	hypothetical protein		
Function unknown	VOG14850	hypothetical protein		
Function unknown	VOG14851	hypothetical protein		
Function unknown	VOG14852	hypothetical protein		
Function unknown	VOG14853	hypothetical protein		
Function unknown	VOG14854	hypothetical protein		
Function unknown	VOG14855	hypothetical protein		
Function unknown	VOG14856	envelope and capsid protein		
Function unknown	VOG14857	hypothetical protein		
Function unknown	VOG14858	hypothetical protein		
Function unknown	VOG14859	G protein-coupled receptor-4B		
Function unknown	VOG14860	hypothetical protein		
Function unknown	VOG14861	hypothetical protein		
Function unknown	VOG14862	hypothetical protein		
Function unknown	VOG14863	hypothetical protein		
Function unknown	VOG14864	baseplate hub subunit and tail lysozyme		
Function unknown	VOG14865	hypothetical protein		
Function unknown	VOG14866	Uncharacterized protein R626		YR626_MIMIV
Function unknown	VOG14867	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG14868	Straight fiber protein pb4		FIBC_BPT5
Function unknown	VOG14869	hypothetical protein		
Function unknown	VOG14870	hypothetical protein		
Function unknown	VOG14871	hypothetical protein		
Function unknown	VOG14872	GrBNV_gp61-like protein		
Function unknown	VOG14873	hypothetical protein		
Function unknown	VOG14874	hypothetical protein		
Function unknown	VOG14875	hypothetical protein		
Function unknown	VOG14876	hypothetical protein		
Function unknown	VOG14877	hypothetical protein		
Function unknown	VOG14878	hypothetical protein		
Function unknown	VOG14879	hypothetical protein		
Function unknown	VOG14880	VP10		
Virus protein with function beneficial for the host | Virus structure	VOG14881	Capsid scaffolding protein		SCAF_SCMVC
Function unknown	VOG14882	gp22, hypothetical protein		
Function unknown	VOG14883	hypothetical protein		
Function unknown	VOG14884	hypothetical protein		
Function unknown	VOG14885	hypothetical protein		
Function unknown	VOG14886	hypothetical protein		
Function unknown	VOG14887	hypothetical protein		
Function unknown	VOG14888	hypothetical protein		
Function unknown	VOG14889	hypothetical protein		
Function unknown	VOG14890	hypothetical protein		
Virus structure	VOG14891	Major envelope protein		P9_BPPH6
Function unknown	VOG14892	membrane protein		
Function unknown	VOG14893	hypothetical protein		
Function unknown	VOG14894	hypothetical protein		
Function unknown	VOG14895	hypothetical protein		
Function unknown	VOG14896	hypothetical protein		
Function unknown	VOG14897	hypothetical protein		
Function unknown	VOG14898	hypothetical protein		
Function unknown	VOG14899	putative protease		
Function unknown	VOG14900	hypothetical protein		
Function unknown	VOG14901	hypothetical protein		
Function unknown	VOG14902	unknown similar to AMEV011		
Function unknown	VOG14903	hypothetical protein		
Function unknown	VOG14904	taurine catabolism dioxygenase		
Function unknown	VOG14905	hypothetical protein		
Function unknown	VOG14906	membrane protein		
Function unknown	VOG14907	hypothetical protein		
Function unknown	VOG14908	hypothetical protein		
Function unknown	VOG14909	hypothetical protein		
Function unknown	VOG14910	hypothetical protein		
Function unknown	VOG14911	hypothetical protein		
Function unknown	VOG14912	hypothetical protein		
Function unknown	VOG14913	hypothetical protein		
Virus protein with function beneficial for the host	VOG14914	Protein Tra		TRA_STRLI
Function unknown	VOG14915	hypothetical protein		
Function unknown	VOG14916	hypothetical protein		
Function unknown	VOG14917	hypothetical protein		
Function unknown	VOG14918	hypothetical protein		
Function unknown	VOG14919	hypothetical protein		
Function unknown	VOG14920	hypothetical protein		
Function unknown	VOG14921	hypothetical protein		
Function unknown	VOG14922	hypothetical protein		
Function unknown	VOG14923	hypothetical protein		
Function unknown	VOG14924	hypothetical protein		
Function unknown	VOG14925	hypothetical protein		
Function unknown	VOG14926	hypothetical protein		
Function unknown	VOG14927	hypothetical protein		
Function unknown	VOG14928	hypothetical protein		
Function unknown	VOG14929	hypothetical protein		
Function unknown	VOG14930	putative orfan		
Function unknown	VOG14931	hypothetical protein		
Function unknown	VOG14932	hypothetical protein		
Function unknown	VOG14933	hypothetical protein		
Function unknown	VOG14934	hypothetical protein		
Function unknown	VOG14935	hypothetical protein		
Function unknown	VOG14936	adenine phosphoribosyl transferase		
Function unknown	VOG14937	hypothetical protein		
Function unknown	VOG14938	Non-structural protein 3d		NS3D_BCHK4
Function unknown	VOG14939	hypothetical protein		
Function unknown	VOG14940	transposase		
Function unknown	VOG14941	hypothetical protein		
Function unknown	VOG14942	hypothetical protein		
Function unknown	VOG14943	hypothetical protein		
Function unknown	VOG14944	hypothetical protein		
Function unknown	VOG14945	hypothetical protein		
Function unknown	VOG14946	hypothetical protein		
Function unknown	VOG14947	hypothetical protein		
Function unknown	VOG14948	hypothetical protein		
Function unknown	VOG14949	hypothetical protein		
Function unknown	VOG14950	hypothetical protein		
Function unknown	VOG14951	hypothetical protein		
Function unknown	VOG14952	hypothetical protein		
Function unknown	VOG14953	hypothetical protein		
Function unknown	VOG14954	hypothetical protein		
Function unknown	VOG14955	RusA-like Holliday junction resolvase		
Function unknown	VOG14956	hypothetical protein		
Function unknown	VOG14957	hypothetical protein		
Function unknown	VOG14958	hypothetical protein		
Function unknown	VOG14959	Non-structural protein 1		VNS1_AQRVG
Function unknown	VOG14960	hypothetical protein		
Function unknown	VOG14961	hypothetical protein		
Function unknown	VOG14962	hypothetical protein		
Function unknown	VOG14963	hypothetical protein 2		
Function unknown	VOG14964	hypothetical protein		
Function unknown	VOG14965	hypothetical protein		
Function unknown	VOG14966	hypothetical protein		
Function unknown	VOG14967	hypothetical protein		
Function unknown	VOG14968	hypothetical protein		
Function unknown	VOG14969	Putative transmembrane protein ORF103		Y103_OSHVF
Function unknown	VOG14970	hypothetical protein		
Function unknown	VOG14971	hypothetical protein		
Function unknown	VOG14972	membrane protein		
Function unknown	VOG14973	hypothetical protein		
Function unknown	VOG14974	hypothetical protein		
Function unknown	VOG14975	hypothetical protein		
Function unknown	VOG14976	hypothetical protein		
Function unknown	VOG14977	hypothetical protein		
Function unknown	VOG14978	hypothetical protein		
Function unknown	VOG14979	hypothetical protein		
Function unknown	VOG14980	hypothetical protein		
Function unknown	VOG14981	hypothetical protein		
Function unknown	VOG14982	hypothetical protein		
Function unknown	VOG14983	hypothetical protein		
Function unknown	VOG14984	hypothetical protein		
Function unknown	VOG14985	hypothetical protein		
Function unknown	VOG14986	hypothetical protein		
Function unknown	VOG14987	hypothetical protein		
Function unknown	VOG14988	hypothetical protein		
Function unknown	VOG14989	hypothetical protein		
Virus replication | Virus structure	VOG14990	Phosphoprotein		PHOSP_TIBVC
Virus protein with function beneficial for the host | Virus structure	VOG14991	RNA polymerase-associated transcription-specificity factor RAP94		RAP94_VACCW
Function unknown	VOG14992	EsV-1-172		
Function unknown	VOG14993	virion structural protein		
Function unknown	VOG14994	hypothetical protein		
Function unknown	VOG14995	hypothetical protein		
Function unknown	VOG14996	hypothetical protein		
Function unknown	VOG14997	hypothetical protein		
Function unknown	VOG14998	hypothetical protein		
Function unknown	VOG14999	hypothetical protein		
Function unknown	VOG15000	hypothetical protein		
Function unknown	VOG15001	hypothetical protein		
Function unknown	VOG15002	hypothetical protein		
Function unknown	VOG15003	hypothetical protein		
Function unknown	VOG15004	hypothetical protein		
Function unknown	VOG15005	hypothetical protein		
Function unknown	VOG15006	hypothetical protein		
Function unknown	VOG15007	hypothetical protein		
Function unknown	VOG15008	hypothetical protein		
Function unknown	VOG15009	head protein		
Function unknown	VOG15010	hypothetical protein		
Function unknown	VOG15011	hypothetical protein		
Function unknown	VOG15012	hypothetical protein		
Function unknown	VOG15013	hypothetical protein		
Function unknown	VOG15014	hypothetical protein		
Function unknown	VOG15015	hypothetical protein		
Function unknown	VOG15016	hypothetical protein		
Function unknown	VOG15017	Uncharacterized protein 3R		003R_FRG3G
Function unknown	VOG15018	gp0.5		
Function unknown	VOG15019	hypothetical protein		
Function unknown	VOG15020	hypothetical protein		
Function unknown	VOG15021	hypothetical protein		
Function unknown	VOG15022	hypothetical protein		
Function unknown	VOG15023	hypothetical protein		
Function unknown	VOG15024	hypothetical protein		
Function unknown	VOG15025	hypothetical protein		
Function unknown	VOG15026	coil containing protein		
Function unknown	VOG15027	hypothetical protein		
Function unknown	VOG15028	hypothetical protein		
Function unknown	VOG15029	hypothetical protein		
Function unknown	VOG15030	Non-structural protein of 12.7 kDa		NS12_CVMJH
Function unknown	VOG15031	hypothetical protein		
Function unknown	VOG15032	hypothetical protein		
Function unknown	VOG15033	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG15034	DNA primase TraC		TRAC4_ECOLX
Function unknown	VOG15035	hypothetical protein		
Function unknown	VOG15036	hypothetical protein		
Function unknown	VOG15037	virion structural protein		
Function unknown	VOG15038	hypothetical protein		
Function unknown	VOG15039	Uncharacterized protein L590		YL590_MIMIV
Function unknown	VOG15040	hypothetical protein		
Function unknown	VOG15041	hypothetical protein		
Function unknown	VOG15042	hypothetical protein		
Function unknown	VOG15043	hypothetical protein		
Function unknown	VOG15044	hypothetical protein		
Function unknown	VOG15045	hypothetical protein		
Function unknown	VOG15046	hypothetical protein		
Function unknown	VOG15047	Mu Gam-like end protection		
Function unknown	VOG15048	hypothetical protein		
Function unknown	VOG15049	hypothetical protein		
Function unknown	VOG15050	ORF III		
Function unknown	VOG15051	hypothetical protein		
Function unknown	VOG15052	hypothetical protein		
Function unknown	VOG15053	hypothetical protein		
Function unknown	VOG15054	hypothetical protein		
Virus protein with function beneficial for the host	VOG15055	ATP-dependent DNA helicase uvsW		UVSW_BPT4
Function unknown	VOG15056	hypothetical protein		
Function unknown	VOG15057	hypothetical protein		
Function unknown	VOG15058	hypothetical protein		
Function unknown	VOG15059	hypothetical protein		
Function unknown	VOG15060	hypothetical protein		
Function unknown	VOG15061	hypothetical protein		
Function unknown	VOG15062	hypothetical protein		
Function unknown	VOG15063	hypothetical protein		
Function unknown	VOG15064	hypothetical protein		
Function unknown	VOG15065	hypothetical protein		
Function unknown	VOG15066	hypothetical protein		
Function unknown	VOG15067	hypothetical protein		
Function unknown	VOG15068	hypothetical protein		
Function unknown	VOG15069	hypothetical protein		
Function unknown	VOG15070	hypothetical protein		
Function unknown	VOG15071	hypothetical protein		
Function unknown	VOG15072	hypothetical protein		
Function unknown	VOG15073	hypothetical protein		
Function unknown	VOG15074	hypothetical protein		
Function unknown	VOG15075	hypothetical protein		
Function unknown	VOG15076	transfer protein		
Function unknown	VOG15077	hypothetical protein		
Function unknown	VOG15078	hypothetical protein		
Function unknown	VOG15079	Ankyrin repeat domain containing protein		
Function unknown	VOG15080	endonuclease		
Function unknown	VOG15081	hypothetical protein		
Function unknown	VOG15082	hypothetical protein		
Function unknown	VOG15083	hypothetical protein		
Function unknown	VOG15084	Terminase A protein		PACA_BPP1
Function unknown	VOG15085	hypothetical protein		
Function unknown	VOG15086	hypothetical protein		
Function unknown	VOG15087	hypothetical protein		
Function unknown	VOG15088	hypothetical protein		
Function unknown	VOG15089	hypothetical protein		
Function unknown	VOG15090	hypothetical protein		
Function unknown	VOG15091	hypothetical protein		
Function unknown	VOG15092	hypothetical protein		
Function unknown	VOG15093	hypothetical protein		
Function unknown	VOG15094	hypothetical protein		
Function unknown	VOG15095	hypothetical protein		
Function unknown	VOG15096	hypothetical protein		
Function unknown	VOG15097	hypothetical protein		
Function unknown	VOG15098	Uncharacterized protein ORF41		VG41_ICHVA
Function unknown	VOG15099	hypothetical protein		
Function unknown	VOG15100	hypothetical protein		
Function unknown	VOG15101	hypothetical protein		
Function unknown	VOG15102	hypothetical protein		
Function unknown	VOG15103	hypothetical protein		
Function unknown	VOG15104	hypothetical protein		
Function unknown	VOG15105	hypothetical protein		
Function unknown	VOG15106	hypothetical protein		
Function unknown	VOG15107	hypothetical protein		
Function unknown	VOG15108	hypothetical protein		
Function unknown	VOG15109	hypothetical protein		
Function unknown	VOG15110	hypothetical protein		
Function unknown	VOG15111	hypothetical protein		
Function unknown	VOG15112	hypothetical protein		
Function unknown	VOG15113	hypothetical protein		
Function unknown	VOG15114	hypothetical protein		
Function unknown	VOG15115	hypothetical protein		
Function unknown	VOG15116	hypothetical protein		
Function unknown	VOG15117	hypothetical protein		
Virus protein with function beneficial for the host	VOG15118	C4b-binding protein alpha chain		C4BPA_HUMAN
Function unknown	VOG15119	hypothetical protein		
Function unknown	VOG15120	hypothetical protein		
Function unknown	VOG15121	hypothetical protein		
Function unknown	VOG15122	hypothetical protein		
Function unknown	VOG15123	hypothetical protein		
Function unknown	VOG15124	ParB-like partition protein		
Function unknown	VOG15125	hypothetical protein		
Function unknown	VOG15126	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG15127	Lysis protein E		LYS_BPPHS
Virus structure	VOG15128	Uncharacterized protein R402		YR402_MIMIV
Function unknown	VOG15129	hypothetical protein		
Function unknown	VOG15130	hypothetical protein		
Function unknown	VOG15131	hypothetical protein		
Function unknown	VOG15132	hypothetical protein		
Function unknown	VOG15133	hypothetical protein		
Function unknown	VOG15134	hypothetical protein		
Function unknown	VOG15135	hypothetical protein		
Function unknown	VOG15136	hypothetical protein		
Function unknown	VOG15137	hypothetical protein		
Function unknown	VOG15138	hypothetical protein		
Function unknown	VOG15139	hypothetical protein		
Function unknown	VOG15140	Uncharacterized 5.2 kDa protein in arn-motA intergenic region		Y16B_BPT4
Function unknown	VOG15141	hypothetical protein		
Function unknown	VOG15142	hypothetical protein		
Function unknown	VOG15143	membrane protein		
Function unknown	VOG15144	hypothetical protein		
Function unknown	VOG15145	hypothetical protein		
Function unknown	VOG15146	hypothetical protein		
Function unknown	VOG15147	RuvC-like Holliday junction resolvase		
Function unknown	VOG15148	hypothetical protein		
Function unknown	VOG15149	Uncharacterized protein R342		YR342_MIMIV
Function unknown	VOG15150	hypothetical protein		
Function unknown	VOG15151	hypothetical protein		
Function unknown	VOG15152	hypothetical protein		
Function unknown	VOG15153	hypothetical protein		
Function unknown	VOG15154	hypothetical protein		
