L1	L2	L3	L4	ID	Function	EC
Function unknown				COG2928	Uncharacterized membrane protein	
Function unknown			3U97	COG2929	Uncharacterized conserved protein, DUF497 family	
Lipid transport and metabolism		SYLF		COG2930	Lipid-binding SYLF domain, Ysc84/FYVE family	
Secondary metabolites biosynthesis, transport and catabolism			1AF0	COG2931	Ca2+-binding protein, RTX toxin-related	
Mobilome: prophages, transposons				COG2932	Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains	
Translation, ribosomal structure and biogenesis	23S rRNA modification	RlmM	4AUK	COG2933	23S rRNA C2498 (ribose-2'-O)-methylase RlmM	
Posttranslational modification, protein turnover, chaperones		Ate1		COG2935	Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase	
General function prediction only			1JU3	COG2936	Predicted acyl esterase	
Lipid transport and metabolism	Phospholipid biosynthesis	PlsB		COG2937	Glycerol-3-phosphate O-acyltransferase	
Posttranslational modification, protein turnover, chaperones		SdhE	1PUZ	COG2938	Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module	
Amino acid transport and metabolism		Kex1	1AC5	COG2939	Carboxypeptidase C (cathepsin A)	
General function prediction only		SET	6BX3	COG2940	SET domain-containing protein (function unknown)	
Coenzyme transport and metabolism	Ubiquinone biosynthesis	Coq7		COG2941	Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family (ubiquinone biosynthesis)	
Carbohydrate transport and metabolism		YihS	2ZBL	COG2942	Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family	
Cell wall/membrane/envelope biogenesisCarbohydrate transport and metabolism		MdoH		COG2943	Membrane glycosyltransferase	
Transcription		YiaG	5JAA	COG2944	DNA-binding transcriptional regulator YiaG, XRE-type HTH domain	
General function prediction only			2FUK	COG2945	Alpha/beta superfamily hydrolase	
Replication, recombination and repair		NicK	4CWC	COG2946	DNA relaxase NicK	
General function prediction only		EVE	1ZCE	COG2947	Predicted RNA-binding protein, contains EVE domain	
Intracellular trafficking, secretion, and vesicular transport		VirB10	2BHV	COG2948	Type IV secretory pathway, VirB10 component	
Cell wall/membrane/envelope biogenesis		SanA		COG2949	Uncharacterized periplasmic protein SanA, affects membrane permeability for vancomycin	
Cell wall/membrane/envelope biogenesis		MltB	1D0K	COG2951	Membrane-bound lytic murein transglycosylase B	
Function unknown				COG2952	Uncharacterized conserved protein, DUF507 domain	
General function prediction only		CYTH	2FBL	COG2954	CYTH domain, found in class IV adenylate cyclase and various triphosphatases	
Cell wall/membrane/envelope biogenesis		LapB	4ZLH	COG2956	Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain	
Amino acid transport and metabolism		AguA	1VKP	COG2957	Agmatine/peptidylarginine deiminase	
Function unknown				COG2958	Uncharacterized conserved protein	
General function prediction only		HemX		COG2959	Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)	
Coenzyme transport and metabolism		UbiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK	
Translation, ribosomal structure and biogenesis	23S rRNA modification	RlmJ	2OO3	COG2961	23S rRNA A2030 N6-methylase RlmJ	
General function prediction only		RarD		COG2962	Membrane protein RarD, contains two EamA domains, drug/metabolite transporter family	
Mobilome: prophages, transposons		InsE	2JN6	COG2963	Transposase InsE and inactivated derivatives	
Transcription		YheO		COG2964	Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains	
Replication, recombination and repair		PriB	2PNH	COG2965	Primosomal replication protein N	
Function unknown		YjjP		COG2966	Uncharacterized membrane protein YjjP, DUF1212 family	
Inorganic ion transport and metabolism		ApaG	1TZA	COG2967	Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport	
Function unknown		YggE	4HVZ	COG2968	Uncharacterized conserved protein YggE, contains kinase-interacting SIMPL domain	
Posttranslational modification, protein turnover, chaperones		SspB	1OU8	COG2969	Stringent starvation protein B, binds SsrA peptide	
Carbohydrate transport and metabolism		BadF		COG2971	BadF-type ATPase, related to human N-acetylglucosamine kinase	
Signal transduction mechanisms		YesM		COG2972	Sensor histidine kinase YesM	
Transcription		TrpR	1CO0	COG2973	Trp operon repressor	
Replication, recombination and repair		RdgC	2OWL	COG2974	DNA recombination-dependent growth factor RdgC	
Posttranslational modification, protein turnover, chaperones		IscX	1UJ8	COG2975	Fe-S-cluster formation regulator IscX/YfhJ	
Signal transduction mechanisms		YfgM		COG2976	Putative negative regulator of RcsB-dependent stress response, UPF0070 family	
Secondary metabolites biosynthesis, transport and catabolism		EntD	4QJK	COG2977	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	
Coenzyme transport and metabolism		AbgT	4R0C	COG2978	p-Aminobenzoyl-glutamate transporter AbgT	
Function unknown		YebE		COG2979	Uncharacterized membrane protein YebE, DUF533 family	
Cell wall/membrane/envelope biogenesis		LptE	2JXP	COG2980	Outer membrane lipoprotein LptE/RlpB (LPS assembly)	
Amino acid transport and metabolismInorganic ion transport and metabolism		CysZ	3TX3	COG2981	Sulfate transporter CysZ	
Cell wall/membrane/envelope biogenesis		AsmA		COG2982	Uncharacterized conserved protein AsmA involved in outer membrane biogenesis	
General function prediction only		YcgN		COG2983	Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family	
General function prediction only			3LFT	COG2984	ABC-type uncharacterized transport system, periplasmic component	
General function prediction only		YbjL		COG2985	Uncharacterized membrane protein YbjL, putative transporter	
Amino acid transport and metabolism		HutH	1B8F	COG2986	Histidine ammonia-lyase	
Amino acid transport and metabolism		HutU	1UWK	COG2987	Urocanate hydratase	
Amino acid transport and metabolism		AstE	1YW4	COG2988	Succinylglutamate desuccinylase	
Cell wall/membrane/envelope biogenesis		YcbB	6NTW	COG2989	Murein L,D-transpeptidase YcbB/YkuD	
Function unknown		VirK		COG2990	Outer membrane protein VirK/YbjX involved in antimicrobial peptide resistance, DUF535 family	
Energy production and conversionPosttranslational modification, protein turnover, chaperones	Na+-translocating NADH dehydrogenase	NqrM		COG2991	Na+-NQR maturation protein NqrM	
General function prediction only		Bax		COG2992	Uncharacterized FlgJ-related protein	
Energy production and conversion		CcoO	3MK7	COG2993	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO	
Posttranslational modification, protein turnover, chaperones		HlyC		COG2994	ACP:hemolysin acyltransferase (hemolysin-activating protein)	
Cell wall/membrane/envelope biogenesis		PqiA		COG2995	Intermembrane transporter PqiABC subunit PqiA	
General function prediction only		CvfB	3GO5	COG2996	Predicted RNA-binding protein YitL, contains S1 domains, virulence factor B family	
Inorganic ion transport and metabolism		TupB		COG2998	ABC-type tungstate transport system, permease component TupA	
Posttranslational modification, protein turnover, chaperones		GrxB	1G7O	COG2999	Glutaredoxin 2	
Lipid transport and metabolism		ERG3	4ZR0	COG3000	Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily	
Carbohydrate transport and metabolism		FN3K	3F7W	COG3001	Fructosamine-3-kinase	
Energy production and conversion		MpsB		COG3002	Na+-translocating membrane potential-generating system subunit MpsB, UPF0753/DUF2309 family	
Energy production and conversionInorganic ion transport and metabolism		NhaA	1ZCD	COG3004	Na+/H+ antiporter NhaA	
Energy production and conversion		NapC		COG3005	Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase	
Cell cycle control, cell division, chromosome partitioning		MukF	1T98	COG3006	Chromosome condensin MukBEF, kleisin-like MukF subunit	
Lipid transport and metabolism			3S8M	COG3007	Trans-2-enoyl-CoA reductase	
Cell wall/membrane/envelope biogenesis		PqiB	5UVN	COG3008	Intermembrane transporter PqiABC subunit PqiB	
Cell wall/membrane/envelope biogenesis		PqiC	6OSX	COG3009	Intermembrane transporter PqiABC lipoprotein subunit PqiC	
Carbohydrate transport and metabolism		NanE	1Y0E	COG3010	Putative N-acetylmannosamine-6-phosphate epimerase	
General function prediction only		YuxK		COG3011	Predicted thiol-disulfide oxidoreductase YuxK, DCC family	
Function unknown		YchJ	2I9W	COG3012	Uncharacterized conserved protein YchJ, contains N- and C-terminal SEC-C domains	
Function unknown		YfbU	1WPB	COG3013	Uncharacterized conserved protein YfbU, UPF0304 family	
Function unknown				COG3014	Uncharacterized conserved protein	
Cell wall/membrane/envelope biogenesisDefense mechanisms		CutF	2Z4H	COG3015	Uncharacterized lipoprotein NlpE involved in copper resistance	
General function prediction only		PhuW	2G5G	COG3016	Putative heme-binding protein PhuW	
Cell wall/membrane/envelope biogenesis		LolB	1IWM	COG3017	Outer membrane lipoprotein LolB, involved in outer membrane biogenesis	
Cell motility		FlgP		COG3018	Flagellar basal body lipoprotein FlgP, LPP20 family	
Function unknown				COG3019	Uncharacterized metal-binding protein, DUF411 family	
General function prediction only		YafD		COG3021	Uncharacterized conserved protein YafD, endonuclease/exonuclease/phosphatase (EEP) superfamily	
Replication, recombination and repair		YaaA	5CAJ	COG3022	DNA-binding protein YaaA associated with the oxidative stress response	
Cell wall/membrane/envelope biogenesis		AmpD	2Y28	COG3023	N-acetyl-anhydromuramyl-L-alanine amidase AmpD	
Replication, recombination and repair		YacG	1LV3	COG3024	Endogenous inhibitor of DNA gyrase, YacG/DUF329 family	
Inorganic ion transport and metabolism		PPPi	5A60	COG3025	Inorganic triphosphatase YgiF, contains CYTH and CHAD domains	
Signal transduction mechanisms		RseB	2P4B	COG3026	RseB, negative regulator of sigma E activity	
Cell cycle control, cell division, chromosome partitioning		ZapA	1T3U	COG3027	Cell division protein ZapA, inhibits GTPase activity of FtsZ	
Translation, ribosomal structure and biogenesis		YjgA	2P0T	COG3028	Ribosomal 50S subunit-associated protein YjgA, DUF615 family	
Energy production and conversion		FrdC	4KX6	COG3029	Fumarate reductase subunit C	
General function prediction only		FxsA		COG3030	FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family	
Intracellular trafficking, secretion, and vesicular transport		PulC	2LNV	COG3031	Type II secretory pathway, component PulC	
Amino acid transport and metabolism		TnaA	1AX4	COG3033	Tryptophanase	
Cell wall/membrane/envelope biogenesis		YafK	4XZZ	COG3034	Murein L,D-transpeptidase YafK	
Translation, ribosomal structure and biogenesis		ArfA		COG3036	Stalled ribosome alternative rescue factor ArfA	
Carbohydrate transport and metabolism		UlaA	4RP8	COG3037	Ascorbate-specific PTS system IIC component UlaA	
Energy production and conversion		CybB	5OC0	COG3038	Cytochrome b561	
Mobilome: prophages, transposons		IS5		COG3039	Transposase and inactivated derivatives, IS5 family	
Cell wall/membrane/envelope biogenesis		Blc	1QWD	COG3040	Bacterial lipocalin Blc	
Translation, ribosomal structure and biogenesisDefense mechanisms		YafQ	4MMG	COG3041	mRNA-degrading endonuclease YafQ (mRNA interferase), toxin component of the YafQ-DinJ toxin-antitoxin module	
General function prediction only		Hlx		COG3042	Putative hemolysin	
Energy production and conversionInorganic ion transport and metabolism		NapB	1JNI	COG3043	Nitrate reductase cytochrome c-type subunit NapB	
General function prediction only			4YIX	COG3044	Predicted ATPase of the ABC class	
Signal transduction mechanisms		CreA		COG3045	Periplasmic catabolite regulation protein CreA (function unknown)	
General function prediction only			3ZXS	COG3046	Uncharacterized conserved protein related to deoxyribodipyrimidine photolyase	
Cell wall/membrane/envelope biogenesis		OmpW	2F1T	COG3047	Outer membrane protein OmpW	
Amino acid transport and metabolism		DsdA	3R0Z	COG3048	D-serine dehydratase	
Cell wall/membrane/envelope biogenesisGeneral function prediction only		YxeI	2BJF	COG3049	Penicillin V acylase or related amidase, Ntn superfamily	
Replication, recombination and repair		HolD	3SXU	COG3050	DNA polymerase III, psi subunit	
Energy production and conversion		CitF	1XR4	COG3051	Citrate lyase, alpha subunit	
Energy production and conversion		CitD		COG3052	Acyl-carrier protein (citrate lyase gamma subunit)	
Energy production and conversion		CitC		COG3053	Citrate lyase synthetase CitC	
General function prediction only		YtfJ		COG3054	Predicted transcriptional regulator YtfJ	
Cell wall/membrane/envelope biogenesis		NanM	2UVK	COG3055	N-acetylneuraminic acid mutarotase	
Function unknown		YajG		COG3056	Uncharacterized lipoprotein YajG	
Replication, recombination and repair		SeqA	3FMT	COG3057	Negative regulator of replication initiation SeqA	
Energy production and conversionPosttranslational modification, protein turnover, chaperones		FdhE	2FIY	COG3058	Formate dehydrogenase maturation protein FdhE	
Defense mechanisms		YkgB		COG3059	Reactive chlorine resistance protein RclC/YkgB, DUF417 family	
TranscriptionAmino acid transport and metabolism		MetJ	1CMA	COG3060	Transcriptional regulator MetJ (met regulon)	
Cell cycle control, cell division, chromosome partitioning		OapA		COG3061	Cell division protein YtfB/OapA (opacity-associated protein A)	
Posttranslational modification, protein turnover, chaperones		NapD	2JSX	COG3062	Cytoplasmic chaperone NapD for the signal peptide of periplasmic nitrate reductase NapAB	
Cell motilityExtracellular structures		PilF	2VQ2	COG3063	Type IV pilus assembly protein PilF/PilW	
Cell wall/membrane/envelope biogenesis		TolA	1S62	COG3064	Membrane protein TolA involved in colicin uptake	
Cell wall/membrane/envelope biogenesis		Slp		COG3065	Starvation-inducible outer membrane lipoprotein Slp	
Replication, recombination and repair		MutH	1AZO	COG3066	DNA mismatch repair protein MutH	
Energy production and conversionInorganic ion transport and metabolism		NhaB		COG3067	Na+/H+ antiporter NhaB	
Function unknown		YjaG	2Q9R	COG3068	Uncharacterized conserved protein YjaG, DUF416 family	
Energy production and conversion		DcuC		COG3069	C4-dicarboxylate transporter DcuC	
Transcription		TfoX	2OD0	COG3070	Transcriptional regulator of competence genes, TfoX/Sxy family	
Function unknown		HemYx		COG3071	Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)	
Signal transduction mechanisms		CyaA		COG3072	Adenylate cyclase, class I	
Signal transduction mechanisms		RseA	1OR7	COG3073	RseA, negative regulator of sigma E activity	
Cell cycle control, cell division, chromosome partitioning		ZapB	2JEE	COG3074	Cell division protein ZapB, interacts with FtsZ	
Amino acid transport and metabolism		GlpB		COG3075	Anaerobic glycerol-3-phosphate dehydrogenase	
Translation, ribosomal structure and biogenesis		RraB	1NXI	COG3076	Regulator of RNase E activity RraB	
Defense mechanisms		RelB	4ML0	COG3077	Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module	
Translation, ribosomal structure and biogenesis		YihI		COG3078	Ribosome assembly protein YihI, activator of Der GTPase	
Function unknown		YgfB	1IZM	COG3079	Uncharacterized conserved protein YgfB, UPF0149 family	
Energy production and conversion		FrdD	1KF6	COG3080	Fumarate reductase subunit D	
Replication, recombination and repair		NdpA		COG3081	dsDNA-binding nucleoid-associated protein YejK/NdpA	
Function unknown		YejL	2JPQ	COG3082	Uncharacterized conserved protein YejL, UPF0352 family	
Cell wall/membrane/envelope biogenesisSignal transduction mechanisms		YejM	5I5D	COG3083	Periplasmic protein PbgA/YejM, regulator of the LPS biosynthesis, AlkP superfamily	
Function unknown		YihD	2KO6	COG3084	Uncharacterized conserved protein YihD, DUF1040 family	
Function unknown		YifE		COG3085	Uncharacterized conserved protein YifE, UPF0438 family	
Signal transduction mechanisms		RseC		COG3086	RseC, positive regulator of sigma E activity	
Cell cycle control, cell division, chromosome partitioning		FtsN	1UTA	COG3087	Cell division protein FtsN	
Energy production and conversionPosttranslational modification, protein turnover, chaperones		NrfF	2HL7	COG3088	Cytochrome c-type biogenesis protein CcmH/NrfF	
Function unknown		YheU	1Y0N	COG3089	Uncharacterized conserved protein YheU, UPF0270 family	
Carbohydrate transport and metabolism		DctM		COG3090	TRAP-type C4-dicarboxylate transport system, small permease component YiaM	
General function prediction only		SprT		COG3091	Predicted Zn-dependent metalloprotease, SprT family	
Function unknown		YfbV		COG3092	Uncharacterized membrane protein YfbV, UPF0208 family	
Defense mechanisms		VapI	4MCT	COG3093	Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain	
Function unknown		SirB2		COG3094	Uncharacterized membrane protein SirB2	
Cell cycle control, cell division, chromosome partitioning		MukE	3RPU	COG3095	Chromosome condensin MukBEF, MukE localization factor	
Cell cycle control, cell division, chromosome partitioning		MukB	1QHL	COG3096	Chromosome condensin MukBEF, ATPase and DNA-binding subunit MukB	
Function unknown		YqfB	1TE7	COG3097	Uncharacterized conserved protein YqfB, UPF0267 family	
Function unknown		YqcC	2HGK	COG3098	Uncharacterized conserved protein YqcC, DUF446 family	
Function unknown		YciU	1NNV	COG3099	Uncharacterized conserved protein YciU, UPF0263 family	
Function unknown		YcgL	2H7A	COG3100	Uncharacterized conserved protein YcgL, UPF0745 family	
Translation, ribosomal structure and biogenesis		EpmC	3WTR	COG3101	Elongation factor P hydroxylase EpmC (EF-P beta-lysylation pathway)	
General function prediction only		YecM	1K4N	COG3102	Uncharacterized conserved protein YecM, predicted metalloenzyme	
General function prediction only		YgiM	2KQ8	COG3103	Uncharacterized conserved protein YgiM, contains N-terminal SH3 domain, DUF1202 family	
Amino acid transport and metabolism		PTR2	2XUT	COG3104	Dipeptide/tripeptide permease	
Function unknown		YhcB		COG3105	Uncharacterized membrane-anchored protein YhcB, DUF1043 family	
Signal transduction mechanisms		YcjX	6NZ4	COG3106	Ras-like GTP-binding stress-induced protein YcjX,  DUF463 family	
Cell wall/membrane/envelope biogenesis		LpoA	2MHK	COG3107	Outer membrane lipoprotein LpoA, binds and activates PBP1a	
Function unknown		YcbK		COG3108	Uncharacterized conserved protein YcbK, DUF882 family	
Signal transduction mechanisms		ProQ	1DVO	COG3109	sRNA-binding protein ProQ	
Function unknown		YccT		COG3110	Uncharacterized conserved protein YccT, UPF0319 family	
Function unknown		YdeI	1NNX	COG3111	Predicted periplasmic protein YdeI with OB-fold, BOF family	
Function unknown		YacL		COG3112	Uncharacterized conserved protein YacL, UPF0231 family	
Cell wall/membrane/envelope biogenesis		MlaB		COG3113	Binding protein subunit MlaB of the ABC-type intermembrane phospholipid transporter Mla, contains STAS domain	
Intracellular trafficking, secretion, and vesicular transport		CcmD		COG3114	Heme exporter protein D	
Cell cycle control, cell division, chromosome partitioning		ZipA	1F46	COG3115	Cell division protein ZipA, interacts with FtsZ	
Cell cycle control, cell division, chromosome partitioning		FtsL		COG3116	Cell division protein FtsL, interacts with FtsB and FtsQ	
Cell wall/membrane/envelope biogenesis		YrbK	3MY2	COG3117	Lipopolysaccharide export system protein LptC	
Posttranslational modification, protein turnover, chaperones		CnoX	3QDN	COG3118	Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family	
Inorganic ion transport and metabolism		AslA	1E1Z	COG3119	Arylsulfatase A or related enzyme, AlkP superfamily	
Replication, recombination and repair		MatP	3VEA	COG3120	Macrodomain Ter protein organizer, MatP/YcbG family	
Extracellular structures		FimC	1BF8	COG3121	P pilus assembly protein, chaperone PapD	
Function unknown		YaiL		COG3122	Uncharacterized conserved protein YaiL, DUF2058 family	
Nucleotide transport and metabolism		PpnP	2OYZ	COG3123	Pyrimidine/purine nucleoside phosphorylase YaiE/PpnP, UPF0345/DUF1255 family	
Lipid transport and metabolism		AcpH		COG3124	Acyl carrier protein phosphodiesterase	
Energy production and conversion		CyoD		COG3125	Heme/copper-type cytochrome/quinol oxidase, subunit 4	
Function unknown		YbaY	5WEC	COG3126	Uncharacterized lipoprotein YbaY	
Secondary metabolites biosynthesis, transport and catabolism		YbbP		COG3127	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component	
General function prediction only		PiuC	3DKQ	COG3128	Predicted 2-oxoglutarate- and Fe(II)-dependent dioxygenase YbiX	
Translation, ribosomal structure and biogenesis	23S rRNA modification	RlmF	2H00	COG3129	23S rRNA A1618 N6-methylase RlmF	
Translation, ribosomal structure and biogenesis		Rmf	2JRM	COG3130	Ribosome modulation factor	
Cell wall/membrane/envelope biogenesis		MdoG	1TXK	COG3131	Periplasmic glucan biosynthesis protein OpgG	
Function unknown		YceH	3BZ6	COG3132	Uncharacterized conserved protein YceH, UPF0502 family	
Cell wall/membrane/envelope biogenesis		SlyB		COG3133	Outer membrane lipoprotein SlyB	
Function unknown		YcfJ		COG3134	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	
Secondary metabolites biosynthesis, transport and catabolism		BenE		COG3135	Predicted benzoate:H+ symporter BenE	
Function unknown		GlpM		COG3136	Dual-topology membrane protein YdgC, GlpM family	
Cell wall/membrane/envelope biogenesis		YdiY		COG3137	Putative salt-induced outer membrane protein YdiY	
Amino acid transport and metabolism		AstA	1YLE	COG3138	Arginine/ornithine N-succinyltransferase beta subunit	
Function unknown		yeaC		COG3139	Uncharacterized conserved protein YeaC, DUF1315 family	
Function unknown		yoaH		COG3140	Uncharacterized conserved protein YoaH, UPF0181 family	
Replication, recombination and repair		YebG	3ERM	COG3141	dsDNA-binding SOS-regulon protein YebG, induction by DNA damage requires cAMP	
Inorganic ion transport and metabolism		CutC	1TWD	COG3142	Copper homeostasis protein CutC	
Cell motilitySignal transduction mechanisms		CheZ	1KMI	COG3143	Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P	
Cell motility		FliK	2RRL	COG3144	Flagellar hook-length control protein FliK	
Replication, recombination and repair		AlkB	3KHC	COG3145	Alkylated DNA repair dioxygenase AlkB	
General function prediction only				COG3146	Predicted N-acyltransferase	
Cell cycle control, cell division, chromosome partitioning		DedD		COG3147	Cell division protein DedD (periplasmic protein involved in septation)	
Translation, ribosomal structure and biogenesis		TapT		COG3148	tRNA U47 aminocarboxypropyltransferaseTapT/TuaA/ YfiP, DTW domain	
Intracellular trafficking, secretion, and vesicular transport		PulM	1UV7	COG3149	Type II secretory pathway, component PulM	
General function prediction only		YcfP	4FLE	COG3150	Predicted esterase YcpF, UPF0227 family	
Function unknown		yqiB		COG3151	Uncharacterized conserved protein YqiB, DUF1249 family	
Function unknown		yhaH		COG3152	Uncharacterized membrane protein YhaH, DUF805 family	
General function prediction only		yhbS	4ZBG	COG3153	Predicted N-acetyltransferase YhbS	
Coenzyme transport and metabolism		UbiT	1C44	COG3154	Ubiquinone biosynthesis accessory factor UbiT, lipid carrier SCP2 domain	
Defense mechanisms		ElbB	1VHQ	COG3155	Glyoxalase ElbB, DJ-1 superfamily	
Intracellular trafficking, secretion, and vesicular transport		PulK	5VTM	COG3156	Type II secretory pathway, component PulK	
Intracellular trafficking, secretion, and vesicular transport		Hcp	1Y12	COG3157	Type VI protein secretion system component Hcp (secreted cytotoxin)	
Inorganic ion transport and metabolism		Kup		COG3158	K+ uptake protein Kup	
Function unknown		YigA	3E98	COG3159	Uncharacterized conserved protein YigA, DUF484 family	
Transcription		Rsd	2P7V	COG3160	Regulator of sigma D	
Coenzyme transport and metabolism	Ubiquinone biosynthesis	UbiC	1FW9	COG3161	4-hydroxybenzoate synthetase (chorismate-pyruvate lyase)	
Function unknown		YjcH		COG3162	Uncharacterized membrane protein, DUF485 family	
Function unknown		YhdR		COG3164	Uncharacterized conserved protein YhdP, contains DUF3971 and AsmA2 domains	
Coenzyme transport and metabolism		UbiJ		COG3165	Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain	
Cell motilityExtracellular structures		PilN		COG3166	Type IV pilus assembly protein PilN	
Cell motilityExtracellular structures		PilO	2RJZ	COG3167	Type IV pilus assembly protein PilO	
Cell motilityExtracellular structures		PilP	2IVW	COG3168	Type IV pilus assembly protein PilP	
Function unknown				COG3169	Uncharacterized membrane protein, DMT/DUF486 family	
Cell motilityExtracellular structures		FimV		COG3170	Type IV pilus assembly protein FimV	
Function unknown		YggL		COG3171	Uncharacterized conserved protein YggL, DUF469 family	
Coenzyme transport and metabolism	NAD biosynthesis	NadR3	1LW7	COG3172	Nicotinamide riboside kinase	
General function prediction only		YcbJ		COG3173	Predicted  kinase, aminoglycoside phosphotransferase (APT) family	
Inorganic ion transport and metabolism		MgtC		COG3174	Membrane component of predicted Mg2+ transport system, contains DUF4010 domain	
Energy production and conversionPosttranslational modification, protein turnover, chaperones		COX11	1SO9	COG3175	Cytochrome c oxidase assembly protein Cox11	
General function prediction only				COG3176	Putative hemolysin	
Transcription			3CUC	COG3177	Fic family protein	
General function prediction only				COG3178	Predicted phosphotransferase, aminoglycoside/choline kinase (APH/ChoK) family	
Carbohydrate transport and metabolism		GH19	1WVU	COG3179	Chitinase, GH19 family	
General function prediction only		AbrB		COG3180	Uncharacterized membrane protein AbrB, regulator of aidB expression	
Energy production and conversion		TctC	2DVZ	COG3181	Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC	
Function unknown		PiuB		COG3182	PepSY-associated TM region	
Defense mechanisms			6GHC	COG3183	Predicted restriction endonuclease, HNH family	
Function unknown			2X3O	COG3184	Uncharacterized conserved protein, contains DUF2059 domain	
Amino acid transport and metabolismGeneral function prediction only		HppD		COG3185	4-hydroxyphenylpyruvate dioxygenase and related hemolysins	
Amino acid transport and metabolism		PhhA	1PHZ	COG3186	Phenylalanine-4-hydroxylase	
Posttranslational modification, protein turnover, chaperones		HslJ	2KTS	COG3187	Heat shock protein HslJ	
Cell motilityExtracellular structures		FimD	2KT6	COG3188	Outer membrane usher protein FimD/PapC	
Function unknown		YeaO		COG3189	Uncharacterized conserved protein YeaO, DUF488 family	
Cell motility		FliO		COG3190	Flagellar biogenesis protein FliO	
Amino acid transport and metabolism		DmpA	1B65	COG3191	L-aminopeptidase/D-esterase	
Amino acid transport and metabolism		EutH		COG3192	Ethanolamine transporter EutH, required for ethanolamine utilization at low pH	
Signal transduction mechanisms		GlcG	2A2L	COG3193	Heme-binding protein HbpS, GlcG/HbpS family	
Nucleotide transport and metabolism		AllA	1XSQ	COG3194	Ureidoglycolate hydrolase (allantoin degradation)	
Nucleotide transport and metabolism		PucL	2O70	COG3195	2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation)	
General function prediction only		CbrC		COG3196	Colicin E2 tolerance protein CbrC, UPF0167 family	
Posttranslational modification, protein turnover, chaperones		FixS		COG3197	Cytochrome oxidase maturation protein, CcoS/FixS family	
Function unknown				COG3198	Uncharacterized conserved protein	
Nucleotide transport and metabolism				COG3199	NAD kinase	
Amino acid transport and metabolism	Aromatic amino acid biosynthesis	AroG2	6BMC	COG3200	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II	
Coenzyme transport and metabolism		PnuC	4QTN	COG3201	Nicotinamide riboside transporter PnuC	
Energy production and conversion		TlcC		COG3202	ATP/ADP translocase	
Cell wall/membrane/envelope biogenesis		OmpC	1PHO	COG3203	Outer membrane porin OmpC/OmpF/PhoE	
General function prediction only		YjiK	3QQZ	COG3204	Uncharacterized Ca-binding beta-propeller protein YjiK	
Function unknown				COG3205	Uncharacterized membrane protein, DUF2061 family	
Cell wall/membrane/envelope biogenesis		GumC		COG3206	Exopolysaccharide export protein/domain GumC/Wzc1	
Secondary metabolites biosynthesis, transport and catabolism		Dit1	3E59	COG3207	Pyoverdine/dityrosine biosynthesis protein Dit1	
Secondary metabolites biosynthesis, transport and catabolism		GrsT	6VAP	COG3208	Surfactin synthase thioesterase subunit	
General function prediction only		RhsA	4IGL	COG3209	Uncharacterized conserved protein RhaS, contains 28 RHS repeats	
Intracellular trafficking, secretion, and vesicular transport		FhaB	4RM6	COG3210	Large exoprotein involved in heme utilization or adhesion	
General function prediction only		PhoX	3ZWU	COG3211	Secreted phosphatase, PhoX family	
Posttranslational modification, protein turnover, chaperones		YkoI	4EXR	COG3212	PepSY domain containing protein, regulator of zincin peptidase activity	
Signal transduction mechanisms		NnrS		COG3213	Nitric oxide response protein NnrS	
Replication, recombination and repair		YcaQ		COG3214	DNA glycosylase YcaQ, repair of DNA interstrand crosslinks	
Cell motilityExtracellular structures		PilZ		COG3215	Type IV pilus assembly protein PilZ	
Function unknown				COG3216	Uncharacterized conserved protein, DUF2062 family	
