MZ334524.1_61	77e5b06b1557473c9f9c7d642ac47976	219	Pfam	PF10263	SprT-like family	68	148	5.3E-10	T	10-07-2023	IPR006640	SprT-like
MZ334524.1_97	a52bd0ffdb0f43dc66628a8a3c7be840	347	MobiDBLite	mobidb-lite	consensus disorder prediction	326	347	-	T	10-07-2023	-	-
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	ProSitePatterns	PS00116	DNA polymerase family B signature.	596	604	-	T	10-07-2023	IPR017964	DNA-directed DNA polymerase, family B, conserved site
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	Gene3D	G3DSA:1.10.287.690	Helix hairpin bin	505	554	2.6E-9	T	10-07-2023	-	-
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	542	554	3.0E-8	T	10-07-2023	IPR006172	DNA-directed DNA polymerase, family B
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	594	602	3.0E-8	T	10-07-2023	IPR006172	DNA-directed DNA polymerase, family B
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	PRINTS	PR00106	DNA-directed DNA-polymerase family B signature	436	449	3.0E-8	T	10-07-2023	IPR006172	DNA-directed DNA polymerase, family B
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	Pfam	PF00136	DNA polymerase family B	403	639	4.0E-30	T	10-07-2023	IPR006134	DNA-directed DNA polymerase, family B, multifunctional domain
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	Gene3D	G3DSA:3.90.1600.10	Palm domain of DNA polymerase	414	700	9.3E-38	T	10-07-2023	IPR023211	DNA polymerase, palm domain superfamily
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	MobiDBLite	mobidb-lite	consensus disorder prediction	708	730	-	T	10-07-2023	-	-
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	Pfam	PF03104	DNA polymerase family B, exonuclease domain	63	281	4.7E-17	T	10-07-2023	IPR006133	DNA-directed DNA polymerase, family B, exonuclease domain
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	Gene3D	G3DSA:3.30.342.10	DNA Polymerase, chain B, domain 1	8	122	1.9E-11	T	10-07-2023	-	-
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	SUPERFAMILY	SSF53098	Ribonuclease H-like	7	389	2.0E-44	T	10-07-2023	IPR012337	Ribonuclease H-like superfamily
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	SUPERFAMILY	SSF56672	DNA/RNA polymerases	407	874	5.45E-76	T	10-07-2023	IPR043502	DNA/RNA polymerase superfamily
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	PANTHER	PTHR10322	DNA POLYMERASE CATALYTIC SUBUNIT	12	865	2.0E-74	T	10-07-2023	-	-
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	MobiDBLite	mobidb-lite	consensus disorder prediction	879	908	-	T	10-07-2023	-	-
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	Gene3D	G3DSA:3.30.420.10	-	143	370	5.1E-37	T	10-07-2023	IPR036397	Ribonuclease H superfamily
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	Gene3D	G3DSA:1.10.132.60	-	719	882	9.6E-15	T	10-07-2023	IPR042087	DNA polymerase family B, thumb domain
MZ334524.1_83	7268501d7e79c75019aef6b2aac9537e	908	SMART	SM00486	polmehr3	140	608	2.2E-49	T	10-07-2023	IPR006172	DNA-directed DNA polymerase, family B
MZ334524.1_80	b6dd9681d5f017234e262502aa90e6a6	420	MobiDBLite	mobidb-lite	consensus disorder prediction	399	420	-	T	10-07-2023	-	-
MZ334524.1_80	b6dd9681d5f017234e262502aa90e6a6	420	SMART	SM00382	AAA_5	42	204	0.0016	T	10-07-2023	IPR003593	AAA+ ATPase domain
MZ334524.1_80	b6dd9681d5f017234e262502aa90e6a6	420	Pfam	PF00004	ATPase family associated with various cellular activities (AAA)	47	153	2.9E-11	T	10-07-2023	IPR003959	ATPase, AAA-type, core
MZ334524.1_80	b6dd9681d5f017234e262502aa90e6a6	420	Gene3D	G3DSA:3.40.50.300	-	1	160	1.3E-28	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_80	b6dd9681d5f017234e262502aa90e6a6	420	CDD	cd00009	AAA	24	141	5.60391E-8	T	10-07-2023	-	-
MZ334524.1_80	b6dd9681d5f017234e262502aa90e6a6	420	Coils	Coil	Coil	367	387	-	T	10-07-2023	-	-
MZ334524.1_80	b6dd9681d5f017234e262502aa90e6a6	420	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	9	226	4.5E-27	T	10-07-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
MZ334524.1_80	b6dd9681d5f017234e262502aa90e6a6	420	PANTHER	PTHR23389	CHROMOSOME TRANSMISSION FIDELITY FACTOR 18	6	208	2.7E-25	T	10-07-2023	-	-
MZ334524.1_35	c6f4b86b2ea067118a8b64fa3c75078f	69	Pfam	PF07874	Prophage protein (DUF1660)	1	40	1.6E-4	T	10-07-2023	IPR012455	Protein of unknown function DUF1660
MZ334524.1_127	fd11c2e29dc065fda78f22074fdac57a	1045	Pfam	PF05908	Poly-gamma-glutamate hydrolase	861	1021	6.3E-17	T	10-07-2023	IPR008585	Poly-gamma-glutamate hydrolase
MZ334524.1_127	fd11c2e29dc065fda78f22074fdac57a	1045	Gene3D	G3DSA:3.40.630.100	-	838	1043	8.6E-31	T	10-07-2023	IPR038128	Poly-gamma-glutamate hydrolase, zinc-binding motif superfamily
MZ334524.1_129	ee2f981459c433cc6c05a6d1e4b03d5d	141	MobiDBLite	mobidb-lite	consensus disorder prediction	54	69	-	T	10-07-2023	-	-
MZ334524.1_129	ee2f981459c433cc6c05a6d1e4b03d5d	141	MobiDBLite	mobidb-lite	consensus disorder prediction	51	85	-	T	10-07-2023	-	-
MZ334524.1_44	d720f6b72c575e4a3e55ea95455b64da	103	SUPERFAMILY	SSF101386	all-alpha NTP pyrophosphatases	32	95	1.6E-10	T	10-07-2023	-	-
MZ334524.1_44	d720f6b72c575e4a3e55ea95455b64da	103	Coils	Coil	Coil	71	91	-	T	10-07-2023	-	-
MZ334524.1_44	d720f6b72c575e4a3e55ea95455b64da	103	Pfam	PF01503	Phosphoribosyl-ATP pyrophosphohydrolase	29	90	6.6E-7	T	10-07-2023	IPR021130	Phosphoribosyl-ATP pyrophosphohydrolase-like
MZ334524.1_44	d720f6b72c575e4a3e55ea95455b64da	103	Gene3D	G3DSA:1.10.287.1080	-	1	100	1.6E-12	T	10-07-2023	-	-
